 	elle	parle	la	bouche	pleine	</S>
w	0.957802	0.00591709	0.0183685	0.0154286	0.00198684	0.000497
a	0.96253	0.000860107	0.0176014	0.0156855	0.00310052	0.00022276
l	0.750809	0.170545	0.0483207	0.0124991	0.0059327	0.0118936
á	0.157161	0.100991	0.114731	0.027812	0.0829105	0.516394
a	0.385091	0.072278	0.121216	0.0766072	0.128799	0.216009
t	0.017147	0.953759	0.012167	0.00298316	0.00162943	0.0123143
i	0.00620743	0.950772	0.0184632	0.00218922	0.000943071	0.0214247
á	0.00978569	0.894304	0.0643119	0.00541306	0.0010322	0.0251534
l	0.063147	0.119718	0.411013	0.264349	0.104161	0.0376123
a	0.0232714	0.0591656	0.55904	0.192357	0.093383	0.0727839
n	0.0572441	0.0341996	0.25733	0.239179	0.386084	0.0259635
g	0.00327009	0.0013858	0.0623094	0.292667	0.630085	0.0102826
á	0.00184661	0.000686412	0.0292813	0.304153	0.645092	0.0189405
o	0.00494662	0.0040512	0.343032	0.233826	0.264516	0.149629
n	0.000650336	0.0193558	0.289443	0.147308	0.0924243	0.450819
ω	0.00288499	0.00631939	0.179098	0.284253	0.217186	0.310258
ω	0.0039368	0.00631977	0.218426	0.153906	0.330603	0.286809
o	0.00917177	0.00226306	0.175497	0.164176	0.104627	0.544266
n	0.00551002	0.211264	0.317117	0.0345388	0.032471	0.399099
y	0.00358595	0.00566961	0.0963498	0.0516199	0.212138	0.630637
á	0.00268139	0.00194106	0.0413643	0.164112	0.468652	0.321249
á	0.00115547	0.00224507	0.0397676	0.0474538	0.0873787	0.821999
n	0.00527751	0.0055831	0.0468042	0.0248074	0.623882	0.293646
á	0.00394329	0.000633678	0.0226248	0.0490042	0.767698	0.156096
n	0.00922537	0.00465864	0.0452379	0.0363971	0.732493	0.171988
y	0.00510942	0.000373304	0.013647	0.0380573	0.858703	0.0841097
a	0.000729692	7.38195e-05	0.00196321	0.0204703	0.953691	0.0230719
a	0.000365149	0.000828581	0.0151644	0.0525723	0.505831	0.425239
n	0.00270815	0.00181352	0.0717273	0.0285668	0.344606	0.550578
a	0.0153275	0.00448265	0.083314	0.0696596	0.360532	0.466684
</S>	0.0134553	0.005018	0.0602128	0.0198838	0.392196	0.509234
