 	il	frit	des	bananes	</S>
w	0.976557	0.0146835	0.00829283	0.000290522	0.000176228
a	0.967759	0.00914671	0.0209612	0.00160963	0.000522931
l	0.745172	0.118413	0.115951	0.00309429	0.0173703
á	0.292123	0.0798105	0.301776	0.00268432	0.323607
a	0.436262	0.293509	0.162295	0.0030557	0.104878
k	0.0196543	0.961813	0.006983	0.0060837	0.00546648
á	0.0103558	0.973029	0.00488763	0.00281283	0.0089151
n	0.0248621	0.941719	0.00417552	0.0054231	0.02382
g	0.119083	0.830367	0.0188245	0.00155151	0.0301735
á	0.0980161	0.762995	0.0472286	0.001639	0.0901213
l	0.085425	0.151332	0.64808	0.100565	0.0145981
á	0.0508681	0.521202	0.221331	0.0576364	0.148963
a	0.136022	0.088269	0.546385	0.196019	0.0333041
k	0.00400688	0.150155	0.030202	0.805784	0.00985219
ω	0.000142779	0.0119625	0.00181623	0.972298	0.0137803
</S>	0.000128672	0.00515359	0.00297783	0.973611	0.0181285
