 	je	sais	lire	la	langue	mbochi	</S>
n	0.982707	0.00805027	0.00340726	0.00363253	0.00149558	0.000634284	7.33599e-05
g	0.998205	0.00118615	0.00011749	0.000256973	9.10924e-05	0.000135172	8.11015e-06
á	0.988117	0.00767661	0.00122906	0.000875728	0.000390337	0.00160773	0.000104049
l	0.396075	0.317546	0.034563	0.0479416	0.0508959	0.0570094	0.0959692
í	0.566952	0.150162	0.0658898	0.0442874	0.0306699	0.050326	0.0917133
i	0.00720509	0.269184	0.238133	0.0901026	0.0620392	0.0666498	0.266686
y	0.00664251	0.756513	0.144628	0.0232777	0.0179691	0.00924542	0.0417243
é	0.00100545	0.925988	0.0521942	0.00586361	0.0013802	0.00183292	0.011736
b	0.00330912	0.789864	0.0830459	0.0296479	0.0116425	0.007489	0.0750012
h	0.0147097	0.621271	0.244231	0.0939937	0.0116209	0.00165844	0.0125151
á	0.0222754	0.112501	0.0744129	0.270766	0.0698329	0.0450582	0.405154
o	0.00620516	0.181923	0.240545	0.410913	0.125527	0.0227671	0.0121207
t	0.000972302	0.0915051	0.482322	0.304437	0.0550193	0.0493792	0.0163654
á	5.92687e-05	0.0263051	0.552029	0.29548	0.0387154	0.0417888	0.0456225
n	0.000102477	0.11884	0.292677	0.401863	0.066814	0.0141172	0.105587
g	0.000765289	0.0594736	0.483997	0.357353	0.0423065	0.00462077	0.0514837
á	0.0176017	0.0714009	0.29999	0.337806	0.0932895	0.0798855	0.100027
e	0.000233877	0.0126568	0.0104469	0.149947	0.489361	0.213208	0.124146
m	0.000705817	0.013344	0.0160764	0.0428017	0.230514	0.578218	0.11834
b	2.73271e-05	0.00141156	0.000199178	0.0071957	0.133937	0.744183	0.113047
ώ	3.20559e-05	0.00029801	0.00037806	0.00706161	0.0266227	0.924456	0.0411517
s	1.33261e-06	0.000467328	0.00121888	0.0442602	0.0785349	0.616235	0.259283
í	4.5533e-05	0.00186933	0.00747289	0.0844137	0.159884	0.290951	0.455363
</S>	3.83863e-05	0.00548846	0.00208702	0.0353263	0.109555	0.125135	0.72237
