 	il	fut	traité	avec	bonté	</S>
á	0.42387	0.554452	0.0161365	0.00411034	0.00139873	3.22416e-05
k	0.035131	0.539713	0.299961	0.0837385	0.0325751	0.00888068
y	0.0155745	0.0644184	0.226706	0.465476	0.0931071	0.134718
á	0.0539536	0.0866977	0.414478	0.375792	0.0255084	0.0435706
ω	0.086254	0.108061	0.307272	0.119837	0.024232	0.354344
b	0.0165099	0.045016	0.325683	0.488822	0.0901645	0.0338044
v	0.00781655	0.0116316	0.182623	0.127436	0.647772	0.0227209
έ	0.0483237	0.0468447	0.160524	0.270054	0.370377	0.103877
l	0.0260114	0.0303591	0.0521463	0.131485	0.268363	0.491635
a	0.0215029	0.0216079	0.292134	0.374185	0.0812024	0.209368
w	0.0146441	0.00882294	0.0892021	0.310096	0.168972	0.408263
a	0.19764	0.107381	0.466449	0.138653	0.040481	0.0493967
</S>	0.00691442	0.00462497	0.0617743	0.108111	0.118543	0.700032
