 	c'	est	toi	qui	lèche	les	assiettes	dans	cette	maison	</S>
o	0.549719	0.114392	0.276317	0.0427528	0.000388662	0.00303741	0.00149901	0.00561742	0.00490862	0.000798774	0.000569063
l	0.0220654	0.0330035	0.0328893	0.17032	0.632438	0.0170595	0.0435016	0.019353	0.0118523	0.0044102	0.0131071
έ	0.000354874	0.00467311	0.00148401	0.0241366	0.92994	0.00834327	0.00262726	0.00843886	0.00206961	0.000109413	0.017823
r	0.00147213	0.0228712	0.0109016	0.11761	0.799051	0.013428	0.00557139	0.0117905	0.00307477	0.000412518	0.0138168
i	0.120208	0.230195	0.203298	0.0565051	0.0360391	0.116297	0.0314102	0.0299784	0.098212	0.0614935	0.0163639
a	0.0771865	0.120503	0.0829702	0.0318399	0.00669206	0.425413	0.0833873	0.0590737	0.0460627	0.0110539	0.055818
s	0.0014694	0.00468339	0.00929751	0.016664	0.0211409	0.205541	0.541823	0.116756	0.0330842	0.021049	0.0284918
a	0.0006858	0.00155464	0.00378108	0.0052362	0.0122556	0.15604	0.544687	0.12315	0.0881331	0.0431787	0.0212969
á	0.000680783	0.00339782	0.00490895	0.00425158	0.0130686	0.215657	0.131217	0.298179	0.105221	0.0296147	0.193803
n	0.00146422	0.00259762	0.00419148	0.00925255	0.0161595	0.184496	0.417688	0.219821	0.0695602	0.0625845	0.0121846
i	0.000449865	0.000586522	0.00466358	0.00137076	0.000840204	0.0543214	0.742739	0.0647815	0.0178917	0.0910774	0.0212778
s	0.00034561	0.0017726	0.00863289	0.0198178	0.0355177	0.0673117	0.040453	0.621685	0.102582	0.0121704	0.0897113
á	0.00128075	0.00263924	0.000660788	0.0046836	0.02463	0.0870713	0.0755187	0.273826	0.341518	0.0658314	0.122341
n	0.00403659	0.00614995	0.0125117	0.00551859	0.00436563	0.0630664	0.0229337	0.0767856	0.429273	0.354234	0.0211253
d	2.16715e-05	7.76311e-05	0.000746778	0.000238226	0.000469716	0.0205716	0.171869	0.0480425	0.0738844	0.660113	0.0239655
é	0.000560908	0.000605245	0.00318563	0.00238527	0.00212986	0.022254	0.0797864	0.0896354	0.16047	0.564762	0.0742254
e	0.000191684	0.00137106	0.010765	0.00701765	0.00831913	0.0437723	0.0190498	0.212513	0.266251	0.0737344	0.357015
y	0.00139658	0.00211961	0.00133158	0.00454771	0.00298064	0.0178332	0.00760292	0.29254	0.242842	0.0421911	0.384615
é	0.00139016	0.00373646	0.00087831	0.00186667	0.0086297	0.0553533	0.0206691	0.206472	0.440369	0.0733671	0.187269
m	0.00294476	0.00721948	0.00161058	0.00215351	0.00574761	0.0252404	0.00758929	0.110161	0.413345	0.048708	0.37528
b	0.000706437	0.00296177	0.000315181	0.00108623	0.00191726	0.0128242	0.00132549	0.0759349	0.20159	0.00996402	0.691375
í	0.00016069	0.00156616	0.000490232	0.000399448	0.00332983	0.0353241	0.00205544	0.128623	0.111964	0.00873585	0.707352
n	0.000904906	0.0053984	0.00163292	0.00047165	0.00310481	0.0387144	0.00196777	0.0702883	0.173476	0.0153586	0.688682
ω	0.00483237	0.0207211	0.0248718	0.00536953	0.00762859	0.0578183	0.0164838	0.216687	0.231508	0.0764588	0.337621
</S>	0.000265157	0.00137202	0.00289135	0.00171342	0.00143009	0.0411065	0.0106812	0.179424	0.15389	0.0590998	0.548126
