 	le	deuil	du	chef	coutumier	a	été	rétiré	aujourd'	hui	</S>
d	0.227654	0.390954	0.235274	0.123603	0.00273694	0.00810934	0.00197122	0.00119465	0.00756014	0.000593192	0.000350293
z	0.199772	0.357038	0.0814889	0.270973	0.00227364	0.00589618	0.0150343	0.00300807	0.0242566	0.00245376	0.0378052
á	0.11255	0.503904	0.0849987	0.283016	0.00704974	0.000413603	0.00303926	0.0019087	0.000232748	0.00119363	0.00169409
n	0.0579222	0.492869	0.182306	0.125853	0.0195218	0.00467523	0.00306183	0.0144965	0.0035431	0.0142193	0.0815317
g	0.152745	0.519202	0.11706	0.0552811	0.0177999	0.03509	0.0141545	0.00342758	0.00230213	0.00141856	0.0815191
a	0.267525	0.500071	0.133814	0.060244	0.0133042	0.00837856	0.00484069	0.00233118	0.000572438	0.000185559	0.00873447
l	0.118521	0.127908	0.490824	0.021258	0.0143282	0.163484	0.0289462	0.00499508	0.0107606	0.00123072	0.0177439
á	0.21783	0.0912057	0.486538	0.0522613	0.0137839	0.0523865	0.0333267	0.00254336	0.00781347	0.00092036	0.0413905
m	0.210292	0.0719408	0.431953	0.0639468	0.05387	0.087469	0.0246551	0.0154996	0.0249238	0.00212919	0.0133207
w	0.0232567	0.00383632	0.0302546	0.034187	0.881786	0.0192	0.00384577	0.000368489	0.000500455	0.000587859	0.00217688
ε	0.00703515	0.0132422	0.00786939	0.0259573	0.867774	0.047017	0.00792707	0.0103314	0.00141365	0.00221114	0.00922178
n	0.0266768	0.00297645	0.0136397	0.0400908	0.825522	0.0266719	0.0209013	0.00680946	0.00522158	0.00336739	0.0281226
έ	0.0596262	0.0449746	0.291347	0.260325	0.168371	0.0354533	0.0405486	0.0233241	0.025311	0.00277043	0.0479482
á	0.024078	0.00278193	0.0840383	0.0103448	0.0241537	0.660072	0.100371	0.0245758	0.0574081	0.00288505	0.00929149
t	0.00721514	0.00387191	0.0102362	0.00294232	0.00502191	0.170076	0.575682	0.101448	0.0756292	0.0133163	0.0345616
s	0.000400472	0.00181332	0.00108499	0.00261031	0.007707	0.0395607	0.354399	0.498108	0.0298019	0.0313622	0.033152
a	0.00133498	0.00379585	0.00263865	0.00320117	0.00357418	0.0454621	0.23808	0.602812	0.068741	0.0193352	0.0110247
l	0.000759837	0.000780378	0.00884391	0.000567613	0.0042017	0.176749	0.117997	0.33173	0.163998	0.130382	0.0639909
i	0.00186351	0.00408389	0.00547924	0.00111397	0.00188503	0.0223313	0.273219	0.335642	0.139673	0.0551103	0.159598
p	0.00864817	0.00525886	0.0129137	0.00105345	0.00429211	0.0232317	0.0807654	0.083084	0.488147	0.105295	0.18731
á	0.000520786	0.00259765	0.000653055	0.000418507	0.00164921	0.00424586	0.0327986	0.355055	0.0424164	0.525465	0.0341801
b	0.000582833	0.00429692	0.000504146	0.000145036	0.00168531	0.00338254	0.00946325	0.0687767	0.0400736	0.816772	0.0543175
h	0.00209843	0.00603641	0.0009771	0.000842542	0.00234619	0.0147927	0.0899853	0.213073	0.117	0.344505	0.208343
a	0.003564	0.0188762	0.0017883	0.000371907	0.00188701	0.00346566	0.0260717	0.263216	0.037809	0.353453	0.289497
y	0.00183946	0.000557571	0.00294771	0.000178295	0.000243334	0.00592768	0.0141184	0.020109	0.120449	0.161444	0.672186
é	0.0511673	0.0162697	0.0440885	0.00447592	0.00296146	0.0126904	0.047934	0.0301726	0.161193	0.152582	0.476465
</S>	0.0164891	0.0119862	0.054704	0.000664051	0.000483134	0.0206815	0.0144393	0.0154537	0.203077	0.102426	0.559596
