 	j'	ai	vu	une	nappe	de	sang	là	où	une	voiture	a	heurté	quelqu'	un	</S>
n	0.64005	0.130746	0.020777	0.048808	0.0199526	0.0385223	0.0451709	0.0138312	0.0119763	0.0237364	0.000798833	0.00150019	0.0013595	0.00242913	0.000297581	4.31945e-05
g	0.986913	0.00575618	0.000388567	0.00180525	8.79431e-05	0.00268763	0.00151167	0.000157143	0.000311405	0.00021578	1.87836e-05	4.83657e-05	4.10237e-05	2.09713e-05	2.92354e-05	7.29529e-06
á	0.94577	0.0402091	0.0037596	0.00123914	7.37419e-05	0.000846475	0.00551009	0.000243867	0.000752817	0.000559136	0.000676106	0.000109873	0.000199712	2.47446e-05	2.29135e-05	3.05429e-06
í	0.121593	0.30815	0.121164	0.0700785	0.00657814	0.0436009	0.0308143	0.0194204	0.0275998	0.0369686	0.014002	0.0511361	0.0111009	0.0132752	0.0107948	0.113723
t	0.00624941	0.116138	0.806246	0.0156459	0.00658352	0.0021691	0.010313	0.00552183	0.00645481	0.00269381	0.00569972	0.00673118	0.00327889	0.00160107	0.00104631	0.00362794
έ	0.000287276	0.0389502	0.765185	0.0561817	0.0265719	0.00397506	0.00728679	0.0174115	0.0246541	0.0160181	0.0130635	0.0113921	0.00391779	0.0038198	0.0016015	0.00968374
ε	0.00865249	0.100256	0.242603	0.399811	0.0515787	0.0509184	0.0103192	0.0304424	0.0296624	0.0261349	0.00256698	0.0153815	0.00910307	0.00814984	0.00252972	0.0118903
e	0.014344	0.133766	0.097679	0.368077	0.153086	0.177523	0.00880776	0.0115679	0.00916729	0.00695027	0.00081083	0.00771204	0.00257541	0.00175075	0.000991474	0.00519091
d	0.000767247	0.0293558	0.0937399	0.257004	0.434874	0.0757636	0.013464	0.015942	0.0166447	0.00655194	0.00334556	0.0110793	0.00914736	0.00391306	0.00499049	0.0234171
z	0.00153919	0.00648231	0.0349324	0.203332	0.554738	0.0284036	0.0286759	0.0115413	0.0234309	0.0039295	0.00740848	0.00728206	0.0346761	0.00201927	0.00660517	0.0450036
e	0.0307752	0.0250378	0.0426647	0.222536	0.584881	0.0125847	0.0113028	0.0191478	0.00894689	0.00564184	0.022591	0.00228479	0.00288132	0.000140561	0.000894887	0.00768865
b	0.00188129	0.00553654	0.0174846	0.089082	0.753512	0.0497312	0.00895221	0.0100796	0.00844966	0.00499151	0.00307905	0.0043928	0.0107646	0.00141425	0.00268229	0.027966
h	0.000772584	0.0050973	0.0640904	0.0810886	0.683476	0.0446484	0.0103583	0.0530495	0.0269763	0.00991041	0.00226034	0.00390931	0.00209819	0.00217592	0.00126715	0.0088213
é	0.000532094	0.00209292	0.00895601	0.0571304	0.614087	0.11967	0.0187187	0.0327131	0.0314304	0.00666944	0.00289699	0.0120213	0.0126274	0.00893615	0.00853542	0.0629828
y	0.000228879	0.00707589	0.0131545	0.0779455	0.256913	0.281406	0.204836	0.0559716	0.03098	0.0162206	0.0060706	0.0105536	0.00483327	0.00627322	0.00257902	0.0249589
á	0.00247564	0.00718482	0.0106723	0.101812	0.128368	0.254	0.202963	0.0873982	0.0500924	0.0596351	0.0341853	0.0237041	0.0141813	0.00534272	0.00821906	0.00976679
l	0.00154691	0.00375174	0.00237629	0.0275047	0.0387314	0.163418	0.35407	0.164034	0.0826848	0.0930404	0.0279625	0.0100585	0.00994736	0.00766985	0.0085233	0.00468139
ó	0.00462819	0.0129169	0.00478419	0.0146874	0.0230027	0.0638714	0.488313	0.0674144	0.0988663	0.028209	0.0344094	0.0314003	0.0344758	0.0125689	0.016016	0.0644358
n	0.00177631	0.00336214	0.00189319	0.030582	0.0204266	0.0493533	0.176343	0.0579224	0.0655856	0.0644189	0.436641	0.0145635	0.0181694	0.00755972	0.0305784	0.0208244
g	0.000715887	0.0020098	0.00260403	0.0129005	0.00574583	0.0383639	0.621166	0.0429546	0.0843496	0.0501102	0.069062	0.0172347	0.0122136	0.00446172	0.00355319	0.0325546
ó	0.00143338	0.00159919	0.00135109	0.0116606	0.00407866	0.0237986	0.607747	0.0202309	0.0540038	0.0649141	0.147134	0.0153408	0.0142099	0.0058238	0.00498318	0.0216901
ó	0.00190809	0.00243296	0.00160076	0.0105899	0.00692425	0.0351697	0.226094	0.0270415	0.055846	0.160917	0.341074	0.0540471	0.0218984	0.0156878	0.00786291	0.0309054
e	0.000506307	0.00125732	0.000707382	0.0048018	0.00314126	0.0555925	0.101425	0.175711	0.172817	0.317018	0.082919	0.0654582	0.00758798	0.00757803	0.0014959	0.0019821
b	0.00020942	0.00308281	0.00443414	0.00858289	0.0138268	0.0112403	0.038027	0.1724	0.220047	0.171161	0.183715	0.0865527	0.0352541	0.0275917	0.0143044	0.00957222
é	4.28605e-05	0.00237052	0.00397166	0.00427469	0.0134577	0.027225	0.0414798	0.13748	0.390446	0.122696	0.0384279	0.0869652	0.0394521	0.0594263	0.0200399	0.0122444
e	5.87903e-05	0.000966175	0.00264718	0.0039433	0.0123237	0.0183644	0.0149061	0.147027	0.160763	0.130368	0.108549	0.130143	0.0600119	0.0504877	0.0260099	0.133431
y	0.00023402	0.00234353	0.00246266	0.00491288	0.00725322	0.011896	0.00370451	0.0981932	0.128056	0.1852	0.122405	0.264154	0.067997	0.0636459	0.0135011	0.0240423
é	0.000285259	0.00282923	0.00483008	0.00647867	0.00604322	0.0232122	0.0117224	0.0337746	0.0762341	0.0781772	0.537236	0.0884447	0.056936	0.0184205	0.0226697	0.032706
