 	cet	homme	est	un	brigand	</S>
m	0.859231	0.139307	0.000733055	0.000502269	0.000138234	8.84255e-05
o	0.88315	0.111731	0.002097	0.000636052	0.000379853	0.00200548
r	0.814413	0.166945	0.00435088	0.00916955	0.00250145	0.00261996
o	0.874941	0.0563847	0.00187589	0.00411854	0.0519155	0.0107644
w	0.945055	0.0426607	0.00612377	0.00223498	0.000584873	0.00334052
ú	0.567091	0.0108141	0.248286	0.0807834	0.0142869	0.0787384
u	0.156726	0.0384242	0.389418	0.111649	0.0154528	0.288331
a	0.0846788	0.0474629	0.689758	0.131818	0.0159458	0.0303362
d	0.00597682	0.00878749	0.602211	0.347289	0.021243	0.0144927
i	0.00458881	0.0123843	0.505478	0.264893	0.0842128	0.128443
e	0.00134165	0.00528462	0.234579	0.474913	0.0498824	0.234
n	0.00218844	0.0114992	0.0888619	0.325699	0.396315	0.175437
d	0.0227136	0.00610813	0.0735205	0.320759	0.374138	0.202761
z	0.00730713	0.00180824	0.0387184	0.17018	0.512278	0.269708
ó	0.00776633	0.0159302	0.0425123	0.0402015	0.793774	0.0998159
</S>	0.0368904	0.0127728	0.0418004	0.055338	0.212639	0.640559
