 	les	soldats	l'	ont	fait	souffrir	dans	la	prison	parce	qu'	il	a	violé	une	fille	</S>
a	0.924861	0.0203758	0.0407348	0.00300357	0.000433968	0.00115414	0.00171903	0.00190643	0.00173285	0.00187563	0.00159502	0.000270421	0.00014006	9.76669e-07	0.000192861	9.14055e-07	2.80858e-06
m	0.134471	0.834765	0.0164795	0.00322929	0.00312455	0.000938425	0.000408349	0.000602428	0.00243976	0.00058466	0.000313812	0.000214473	0.000554151	0.000531069	0.00057281	0.00058182	0.000189528
b	0.0842405	0.878325	0.00942787	0.00633526	0.00459721	0.00228704	0.000804942	0.000373437	5.67119e-05	0.000321364	0.000532655	0.000598388	0.000514537	1.28592e-05	5.42751e-05	0.00633675	0.00518115
ω	0.00286736	0.994741	0.000566994	0.000359683	0.000356342	0.00027168	0.00011062	7.12738e-05	2.17985e-05	0.000138682	0.000142481	8.0205e-05	4.79568e-05	4.94521e-06	7.8814e-06	0.000108685	0.000101902
r	0.0433857	0.923172	0.0106066	0.00239259	0.00797314	0.00112684	0.000225796	0.000326931	0.000239021	0.000111952	0.000317051	0.000280438	0.000373664	5.28154e-05	6.71414e-05	0.00486591	0.00448269
i	0.107425	0.676559	0.0944993	0.0110258	0.0104254	0.006227	0.00208944	0.00333938	0.00407308	0.0126996	0.00809097	0.00804322	0.00826457	0.00300387	0.00115765	0.0103173	0.0327587
á	0.0218286	0.0026519	0.545859	0.391894	0.0150325	0.00947684	0.00307453	0.00136878	0.000301921	0.000681577	0.000892017	0.00171058	0.00251802	0.000150107	0.000114867	0.000137962	0.00230696
w	0.00242527	0.000651564	0.0138329	0.238923	0.504395	0.183363	0.023044	0.00717949	0.00295395	0.000579693	0.000305603	0.000593913	0.00583417	0.0105518	0.000706067	0.000483635	0.00417773
o	0.00164593	0.00129041	0.0197503	0.0985148	0.476911	0.230077	0.0608142	0.0288649	0.0227729	0.00403551	0.00193086	0.00212407	0.0167409	0.0157808	0.00484999	0.00296798	0.010928
l	0.0150585	0.00102289	0.0429734	0.0903008	0.473017	0.176657	0.0186057	0.0197976	0.048005	0.00908448	0.00452484	0.00567786	0.0231216	0.0252372	0.00720655	0.00268959	0.0370198
i	0.014667	0.00100756	0.00885857	0.0626559	0.336234	0.311243	0.11243	0.0614373	0.0260662	0.0216695	0.00773151	0.00414293	0.00653346	0.00629959	0.00470072	0.00105916	0.013264
s	0.0104781	0.00260161	0.020899	0.0396816	0.0318541	0.215373	0.335998	0.171207	0.0340641	0.051972	0.0270963	0.0192298	0.00754136	0.000534175	0.00877269	0.00386678	0.0188306
i	0.00205014	0.00143783	0.0010808	0.00242093	0.0760198	0.365978	0.191619	0.155542	0.0849171	0.0701004	0.0194825	0.00304001	0.00261167	0.000896065	0.00400437	0.00344315	0.0153562
w	0.00627343	0.000641194	0.0122447	0.00672545	0.0099465	0.107524	0.292755	0.333215	0.0759575	0.076032	0.0405541	0.0178272	0.00392349	0.0011279	0.00762896	0.00243943	0.00518405
a	0.00590798	0.00135914	0.0187179	0.0188651	0.0321468	0.101057	0.15038	0.193258	0.0544827	0.159358	0.155149	0.0794329	0.0104213	0.000144644	0.00465953	0.00694133	0.007719
s	0.00206067	0.000392335	0.00473954	0.00485241	0.00501686	0.0424399	0.164876	0.369264	0.180511	0.119421	0.0512024	0.0257117	0.00770162	0.00141297	0.00743747	0.00299624	0.00996374
á	0.00390622	0.00203225	0.000499054	0.000365561	0.00962855	0.0841974	0.208949	0.363913	0.127044	0.130214	0.0417896	0.00392343	0.00214261	0.000995929	0.0020745	0.00441755	0.0139079
n	0.00932514	0.000819249	0.0014546	0.000375001	0.000979169	0.00558872	0.033933	0.216698	0.177186	0.312538	0.148126	0.0489652	0.00776876	0.0066349	0.0195524	0.00347426	0.00658148
y	0.00141416	0.00243956	0.000600454	0.000327408	0.00185434	0.0105982	0.036633	0.250189	0.359281	0.242634	0.0535069	0.00723755	0.00542267	0.000853325	0.0132686	0.00776867	0.00597113
ώ	0.00219544	0.00185287	0.000694466	0.000699184	0.00505699	0.0140657	0.0409538	0.222023	0.347209	0.205541	0.0389302	0.00845613	0.021542	0.0104839	0.0301158	0.012277	0.0379035
l	3.47091e-05	0.0001991	0.00010633	5.16527e-05	0.000827248	0.00255497	0.00360498	0.0349685	0.906415	0.0201464	0.00598564	0.00115983	0.00184912	0.00225328	0.0136619	0.00122779	0.00495355
i	9.02695e-05	0.000231264	0.000382823	0.000206681	0.00304587	0.0103248	0.0282535	0.172105	0.530854	0.137825	0.035412	0.0079438	0.00351677	0.0045957	0.0015834	0.00129151	0.0623379
t	0.00200821	0.000137517	0.00239892	0.000607337	0.000679853	0.0045201	0.026631	0.151252	0.0313297	0.3313	0.298896	0.111103	0.025398	0.00126212	0.00116991	0.00149931	0.00980646
s	0.00788676	0.000310854	0.00527424	0.00125147	0.00171579	0.00247455	0.00513335	0.0430533	0.111806	0.266853	0.306867	0.136387	0.0157879	0.0106754	0.00539317	0.00346821	0.0756619
í	0.00046618	0.000156636	0.000470623	0.000179032	0.00161879	0.00481254	0.0105425	0.0496596	0.256821	0.415499	0.119823	0.0292048	0.00874716	0.0440904	0.00154779	0.00253919	0.0538212
