 	ses	favoris	lui	donnent	l'	aspect	d'	une	personne	âgée	</S>
i	0.872147	0.0598026	0.0404936	0.000538797	0.00585277	0.00857296	0.0035259	0.00462511	0.00431656	6.30937e-05	6.1717e-05
k	0.0277712	0.960933	0.00230362	0.00434377	0.00134488	0.0010143	0.000154222	0.00052545	0.000769115	0.000446401	0.000393945
a	0.0659237	0.895383	0.0157982	0.00980701	0.0013491	0.00660211	0.000633835	0.000223555	0.000716834	0.000267654	0.00329459
k	0.121118	0.702761	0.0684939	0.0284442	0.0100842	0.0022572	0.00508145	0.00387181	0.00395125	0.000631171	0.0533058
a	0.0137202	0.891542	0.0177289	0.0260384	0.00281806	0.0278066	0.00407285	0.00217469	0.00222069	0.000448098	0.0114298
m	0.0773818	0.674553	0.0740296	0.0860137	0.0123342	0.0254973	0.0120223	0.00725633	0.0081263	0.000579397	0.0222066
b	0.164012	0.277831	0.19862	0.0575459	0.0207887	0.06454	0.0313398	0.0124553	0.0122239	0.0017969	0.158846
a	0.212512	0.48027	0.107502	0.016064	0.0149617	0.0548678	0.0166661	0.00529152	0.00478524	0.00162007	0.0854592
l	0.0703465	0.0730386	0.551276	0.152959	0.0529856	0.0165222	0.0216917	0.0118545	0.00974122	0.000452681	0.0391318
í	0.0844739	0.0170541	0.246612	0.184747	0.13552	0.010905	0.0352714	0.0400234	0.0336494	0.0145262	0.197218
i	0.0552045	0.00353134	0.466937	0.0555022	0.193057	0.0487397	0.0370015	0.0473018	0.0317334	0.00807657	0.0529149
p	0.00188513	0.0100062	0.00830739	0.737221	0.0290086	0.192061	0.00332187	0.00263227	0.00424671	0.00466142	0.00664849
έ	0.000340104	0.0190357	0.00618552	0.321976	0.0137799	0.605443	0.00983227	0.00538475	0.00636465	0.00166057	0.00999743
έ	0.0579999	0.0590073	0.115778	0.209564	0.116478	0.242346	0.0577608	0.044963	0.0280579	0.00599515	0.0620498
w	0.00718441	0.00184859	0.0895583	0.0274608	0.159098	0.30083	0.232088	0.0831337	0.0345376	0.00292215	0.0613384
á	0.0295016	0.00790924	0.128495	0.018601	0.125397	0.194718	0.320763	0.0604866	0.0410552	0.00801661	0.0650567
o	0.00231361	0.00612776	0.0221829	0.0143087	0.08161	0.296405	0.282755	0.114237	0.0721043	0.0543758	0.0535808
m	0.00591169	0.00868938	0.00589643	0.0551137	0.0448915	0.257053	0.090877	0.106091	0.117848	0.27495	0.0326778
o	0.00134747	0.000674193	0.00235743	0.000247081	0.004117	0.00598766	0.0118749	0.0157132	0.0341863	0.783712	0.139783
r	0.00197127	0.00341133	0.0119553	0.00252058	0.0309104	0.0136248	0.0758779	0.142167	0.26477	0.344165	0.108626
a	0.00390488	0.00261283	0.00772892	0.00149913	0.0317477	0.00804811	0.0363946	0.0732861	0.0898989	0.672023	0.0728562
m	0.000342424	0.000191257	0.00838277	0.00996959	0.0505161	0.00289813	0.102138	0.26871	0.191154	0.0690423	0.296655
w	0.00477651	0.00338537	0.0171617	0.00589855	0.0106719	0.0134514	0.0649193	0.0790685	0.144244	0.268176	0.388247
ε	0.0215342	0.00358485	0.00609707	0.000568335	0.0125402	0.0365924	0.130188	0.0658534	0.134102	0.363204	0.225735
</S>	5.36332e-05	0.000252598	0.000778378	0.00073893	0.00470936	0.00886738	0.0563529	0.0776213	0.100049	0.107213	0.643364
