 	que	fais-tu	là	</S>
n	0.984844	0.011964	0.00311627	7.55938e-05
ω	0.997468	0.00185042	0.000572236	0.000109231
l	0.772322	0.192164	0.0115602	0.0239533
ó	0.0569461	0.285473	0.0552614	0.60232
o	0.46018	0.18271	0.153638	0.203472
k	0.00582123	0.894142	0.0784886	0.0215479
y	0.00419383	0.939488	0.0402891	0.0160294
á	0.043835	0.779791	0.103152	0.073222
n	0.0214229	0.0854473	0.752329	0.140801
d	0.123922	0.200394	0.538175	0.137509
e	0.0387545	0.137349	0.268436	0.555461
b	0.0327926	0.0774267	0.332797	0.556983
h	0.0187923	0.0212092	0.302263	0.657736
á	0.00606881	0.0584121	0.302635	0.632884
</S>	0.00830182	0.00761971	0.174544	0.809535
