 	la	mauvaise	parole	que	tu	as	employé	e	n'	a	pas	plu	aux	gens	</S>
e	0.389637	0.441246	0.0517314	0.0574776	0.0159892	0.0159454	0.000679515	0.0033594	0.00629862	0.00704175	0.00924196	0.000444146	0.000694697	0.000149137	6.38609e-05
w	0.130215	0.627493	0.0486639	0.00638553	0.00211874	0.00858985	0.0271807	0.0255165	0.0290565	0.0335695	0.0205409	0.0210654	0.0137302	0.00370301	0.00217173
ó	0.0494216	0.182232	0.154536	0.20351	0.0938009	0.0443838	0.0643851	0.0862158	0.0232657	0.0465586	0.0269076	0.013449	0.00720798	0.00149871	0.00262699
l	0.123204	0.338359	0.0988899	0.0300447	0.00635863	0.00534214	0.0429162	0.0194712	0.0193505	0.0353139	0.0320596	0.0205727	0.0542485	0.0102513	0.163618
á	0.255558	0.12265	0.10033	0.0505871	0.00571254	0.0197481	0.0620811	0.0495657	0.0433224	0.0500865	0.0895883	0.036379	0.0339919	0.00744477	0.0729552
y	0.208737	0.0508332	0.156969	0.244834	0.154775	0.117136	0.0246935	0.00507175	0.00575524	0.00669773	0.0081787	0.00165971	0.00544666	0.00175653	0.00745575
é	0.114257	0.0607341	0.388092	0.291596	0.0419743	0.0498146	0.0160385	0.00400503	0.00426821	0.00690504	0.00507371	0.000964911	0.00537163	0.000840994	0.0100637
é	0.100479	0.02191	0.204513	0.392064	0.126077	0.0813699	0.013166	0.00665468	0.0086448	0.00921538	0.0074216	0.00110812	0.00806276	0.00320417	0.0161092
p	0.00675647	0.00513818	0.0587733	0.0235666	0.00963499	0.0688083	0.744172	0.0425219	0.00721096	0.00807661	0.00449345	0.00683928	0.0058351	0.000959435	0.00721341
f	0.00131565	0.000911334	0.00796809	0.00752985	0.0016982	0.00410282	0.620085	0.249489	0.0171473	0.0106538	0.0066035	0.0551203	0.0046318	0.000929677	0.0118136
e	0.00155077	0.000349234	0.00223541	0.00336277	0.000790186	0.0024438	0.710318	0.234244	0.0139396	0.00612857	0.00503882	0.0136204	0.00212074	0.00021132	0.00364646
e	0.00340361	0.00427828	0.027995	0.186471	0.123646	0.0557159	0.236088	0.217533	0.0390064	0.0204598	0.0186983	0.0233358	0.00868297	0.008405	0.0262803
s	0.00476427	0.00228709	0.0156836	0.0695219	0.0768107	0.298772	0.125689	0.169572	0.0401457	0.0248421	0.0308846	0.0140728	0.0309541	0.0229676	0.0730327
í	0.00724436	0.00138336	0.0122811	0.051154	0.0113871	0.0211269	0.481253	0.301472	0.0235926	0.0180653	0.0119682	0.00739764	0.0227439	0.00645659	0.022474
n	0.00065517	0.00088245	0.0164039	0.141764	0.31222	0.24093	0.0850518	0.0672995	0.0419284	0.0184741	0.0142542	0.00396676	0.00922705	0.00638867	0.0405546
ω	0.00279475	0.00098	0.00830055	0.0961935	0.234122	0.620501	0.00320564	0.00748569	0.00375314	0.00431851	0.00444568	0.000229103	0.00521193	0.00319678	0.00526195
é	0.00244685	0.00375367	0.033931	0.054761	0.0520148	0.144037	0.104066	0.295426	0.119695	0.0732963	0.0296316	0.0218147	0.0216897	0.00692818	0.0365083
k	0.0103998	0.00863778	0.0101507	0.00277504	0.000777755	0.0182824	0.111515	0.507254	0.157034	0.0540368	0.0189568	0.0884151	0.00414098	0.0023545	0.00526952
y	0.000475431	0.000370605	0.000591774	0.000442881	0.00023143	0.00129476	0.0420439	0.422652	0.145195	0.0839221	0.0597902	0.219272	0.00674709	0.00845705	0.00851368
e	0.000679483	0.000136104	0.000490541	0.00111833	0.00106569	0.0033397	0.0477706	0.326939	0.217026	0.102815	0.0854403	0.167436	0.0151458	0.00964364	0.0209537
o	0.00187319	0.000556326	0.00135249	0.0090937	0.0121144	0.023128	0.0351777	0.134015	0.304062	0.201269	0.138128	0.112177	0.0099688	0.00447661	0.0126081
b	0.00117062	0.00163286	0.0046058	0.00102051	0.000453145	0.00642844	0.026492	0.0520221	0.105688	0.200189	0.118352	0.417045	0.0334186	0.00782348	0.0236582
é	0.00022402	0.000580129	0.000599098	0.000487686	0.000229566	0.00260564	0.0108274	0.0548788	0.0354611	0.0846936	0.0582632	0.597462	0.0575779	0.0463313	0.0497781
l	0.000286247	0.000398756	0.000642098	0.000735782	0.000305973	0.0027961	0.0322643	0.0730468	0.0616183	0.0794565	0.037708	0.502346	0.0260154	0.0111073	0.171272
a	0.000788737	0.000102508	0.000521409	0.00139651	0.000815922	0.00268908	0.0144161	0.0346902	0.169139	0.160609	0.145139	0.301539	0.0544531	0.0480343	0.0656661
b	0.00118878	0.000245442	0.00228264	0.00409771	0.00117773	0.00625311	0.00602075	0.007788	0.0950032	0.19979	0.227251	0.14985	0.181892	0.0350903	0.0820681
a	0.00128841	0.000661207	0.000500545	0.00332165	0.00513124	0.00519312	0.00476216	0.0142285	0.0564849	0.0841258	0.075039	0.0981476	0.131505	0.361927	0.157684
r	0.000848657	0.000685369	0.000550208	0.00473295	0.00660851	0.00665376	0.00202305	0.00435356	0.0571634	0.107752	0.124037	0.0684567	0.137936	0.31614	0.16206
e	0.00845459	0.00123105	0.00428824	0.0106971	0.00359283	0.0118477	0.00118679	0.00495538	0.044459	0.154536	0.163505	0.03938	0.2368	0.0941943	0.220872
</S>	0.000454646	0.000201746	0.00211561	0.00371332	0.00131407	0.00476211	0.00101317	0.00177869	0.0506007	0.159474	0.147869	0.0524425	0.380514	0.0529159	0.140831
