 	le	village	tsongo	est	situé	dans	une	chaine	de	collines	</S>
t	0.206088	0.371308	0.326018	0.0457211	0.00877251	0.0101031	0.0192624	0.00528142	0.00675889	0.000367358	0.000319106
s	0.125416	0.661745	0.137372	0.0063855	0.00290953	0.00297968	0.0181005	0.0241561	0.0117786	0.000319831	0.00883684
ω	0.0455777	0.606216	0.328593	0.00277993	0.00243723	0.00029018	0.00460633	0.00512275	0.00354604	0.000105366	0.000725857
n	0.076564	0.243318	0.648574	0.00618118	0.00105223	0.00163098	0.00827703	0.00881927	0.00199067	0.000171344	0.00342123
g	0.059039	0.496409	0.35171	0.0236176	0.00272214	0.0073246	0.00868918	0.00507288	0.00285194	0.000198021	0.0423652
ω	0.11047	0.176854	0.679517	0.0109953	0.00266605	0.00406868	0.00504903	0.00313049	0.000828521	1.46211e-06	0.00641904
á	0.240136	0.0436007	0.206464	0.371868	0.0223949	0.0447185	0.0349873	0.0140917	0.00416397	0.000195146	0.0173801
d	0.0749037	0.00498225	0.0219493	0.171791	0.251785	0.162373	0.212256	0.0768803	0.0142465	0.000431046	0.00840276
i	0.0228941	0.00172159	0.00291225	0.0691243	0.431136	0.243663	0.153325	0.0266581	0.0114391	1.0218e-05	0.0371162
s	0.0168762	0.00144445	0.00214948	0.0767821	0.413443	0.384521	0.0687779	0.0214545	0.0052519	0.000342952	0.00895652
í	0.0111625	0.00559358	0.00746211	0.0767881	0.324967	0.196848	0.241558	0.0475825	0.0321681	7.78231e-05	0.0557925
k	0.0113162	0.0194637	0.0304801	0.0812141	0.0933438	0.15699	0.204339	0.165674	0.12874	0.0426581	0.0657809
ó	0.00391689	0.0113942	0.00756655	0.00327974	0.0131217	0.0103097	0.067248	0.459927	0.016542	0.389683	0.0170107
n	0.000772761	0.0034437	0.0096355	0.00731575	0.0145453	0.0152201	0.147545	0.511548	0.0429206	0.212648	0.0344065
á	0.0135476	0.035427	0.0517903	0.0875798	0.0437237	0.0544405	0.190858	0.26742	0.0514488	0.018867	0.184897
</S>	0.00988762	0.00232766	0.00188104	0.028139	0.00391996	0.0251761	0.0438972	0.107628	0.204011	0.0780328	0.4951
