 	les	vagues	ballottent	la	pirogue	</S>
m	0.897974	0.0992807	0.000236754	0.00115389	0.00127588	7.87358e-05
v	0.192007	0.603601	0.0341169	0.0355259	0.0148473	0.119902
é	0.0239237	0.973809	6.71254e-05	0.000933839	0.00120371	6.26134e-05
n	0.201185	0.695077	0.0155614	0.0163421	0.0289075	0.0429266
g	0.0453312	0.856373	0.0134813	0.0107857	0.00168922	0.0723398
é	0.0708135	0.926082	0.000440814	0.00128822	0.000331765	0.00104317
y	0.140914	0.258029	0.47214	0.0509869	0.00322693	0.0747026
é	0.299399	0.237956	0.417379	0.0293492	0.000795341	0.015122
e	0.391332	0.116178	0.250548	0.144704	0.0138655	0.0833727
t	0.0077849	0.0565541	0.679304	0.184937	0.00580247	0.0656169
í	0.00246545	0.0055891	0.73557	0.218815	0.00462395	0.0329367
s	0.00464205	0.00272834	0.806074	0.152286	0.0157331	0.0185365
á	0.0359421	0.0056266	0.562464	0.368465	0.00871023	0.0187921
á	0.0135778	0.00293356	0.316596	0.217988	0.0898986	0.359006
b	0.00514485	0.00316296	0.0190882	0.212389	0.67493	0.0852846
v	0.00163161	3.21262e-05	0.000185512	0.0102143	0.98542	0.00251646
á	0.000529109	0.000137106	7.34369e-05	0.0319409	0.961183	0.0061368
r	0.00105709	0.000300202	0.00079263	0.0351532	0.795591	0.167106
e	0.00245721	0.00265559	0.00896221	0.400246	0.35134	0.23434
</S>	0.0016619	0.00195271	0.0299397	0.106804	0.0675297	0.792112
