 	l'	insecte	mbaráa	rôde	sur	des	fruits	sucrés	</S>
e	0.749852	0.176774	0.0637602	0.00214242	0.00494595	0.00176367	0.000588831	0.000148962	2.31705e-05
m	0.145725	0.814599	0.013347	0.0186032	0.00218543	0.00116112	0.00163169	0.00121859	0.00152907
b	0.0308374	0.598561	0.330816	0.0107846	0.0020828	0.00581043	0.00146417	0.000781151	0.0188627
a	0.0143545	0.749651	0.162237	0.0299341	0.00783718	0.0195558	0.00503599	0.00236212	0.00903223
r	0.0571415	0.8369	0.0803582	0.0104088	0.001955	0.00359233	0.00328529	0.000621444	0.00573782
á	0.195639	0.705234	0.0536781	0.0117642	0.00275933	0.00466869	0.00146105	0.0020272	0.0227689
a	0.172002	0.164748	0.615882	0.0122623	0.0154901	0.00424673	0.0023458	0.00121918	0.0118032
y	0.0932697	0.223586	0.325031	0.225159	0.0619158	0.0293033	0.0206583	0.00315062	0.0179265
é	0.0623922	0.217638	0.561987	0.0636411	0.0155779	0.0111933	0.00374886	0.0174649	0.0463567
e	0.0162039	0.0853497	0.490875	0.103679	0.0304119	0.0160447	0.00716136	0.0239646	0.22631
b	0.00744817	0.0663265	0.0601542	0.726063	0.0801785	0.0192958	0.0159085	0.00246953	0.0221562
h	0.00468118	0.0389687	0.0100486	0.730951	0.0809028	0.042643	0.0794173	0.00137847	0.011009
é	0.000788398	0.0279859	0.00406417	0.929343	0.01983	0.00496075	0.00759875	0.000119188	0.00530988
m	0.00167376	0.00922411	0.0483728	0.808043	0.061273	0.0167777	0.0163604	0.00647787	0.0317975
b	0.0162193	0.0123213	0.271284	0.192739	0.248036	0.199131	0.026387	0.0188413	0.0150407
á	0.0178997	0.0518938	0.0537462	0.440896	0.206916	0.136355	0.0377838	0.00806058	0.0464497
m	0.00542552	0.00278267	0.0174486	0.046695	0.672047	0.19661	0.0406487	0.00759039	0.0107513
í	0.00674433	0.00274176	0.0307271	0.01564	0.220098	0.498341	0.136519	0.0224923	0.0666959
b	0.0067077	0.00283156	0.00517169	0.0448796	0.151764	0.370404	0.32695	0.0704053	0.0208854
v	0.000920924	0.00228723	0.00143666	0.14778	0.0823281	0.273126	0.470167	0.0102469	0.011707
u	0.000806472	0.00829803	0.00262629	0.10487	0.0641179	0.339375	0.441687	0.0154662	0.0227531
m	0.00119959	0.00182215	0.00729711	0.047131	0.0960781	0.253837	0.31458	0.231998	0.0460566
á	0.0166041	0.00265849	0.0129498	0.00378349	0.117394	0.420652	0.131989	0.122181	0.171788
b	0.00266642	0.00262984	0.00455028	0.00794342	0.106131	0.253494	0.170129	0.266694	0.185762
á	0.00445295	0.0034031	0.00549217	0.0553317	0.0915869	0.243414	0.416536	0.126603	0.0531809
y	0.00872127	0.00422767	0.0236554	0.00929904	0.0761882	0.259195	0.20722	0.237117	0.174377
έ	0.00176134	0.00194466	0.00529574	0.00848844	0.0159149	0.0712403	0.0464268	0.793725	0.0552025
y	0.000264161	0.00036477	0.000341933	0.00160674	0.0240917	0.0892489	0.0903111	0.511386	0.282385
ε	0.00744272	0.00367268	0.00476885	0.00383789	0.0193624	0.0594793	0.0438068	0.693844	0.163785
έ	0.000392263	0.000348442	0.000828666	0.000715088	0.0101202	0.0441563	0.0352996	0.542107	0.366032
</S>	0.00177997	0.00186789	0.00215202	0.0105451	0.0550827	0.0740577	0.136728	0.466547	0.25124
