 	les	élèves	parlent	à	propos	de	la	maladie	de	l'	enseignant	est-ce	le	sida	</S>
b	0.784724	0.187893	0.00839544	0.00329733	0.000269114	0.00345894	0.00155012	0.0046129	0.00154679	0.00286177	2.96639e-05	0.00011738	0.000935868	0.000239087	6.85224e-05
á	0.169718	0.808542	0.0169461	0.000809855	0.000360097	0.000618698	0.000722266	0.000953921	0.000206808	0.00022456	3.71809e-06	9.70386e-05	0.000687668	9.19497e-05	1.71288e-05
n	0.392817	0.561069	0.0429432	0.000553327	0.000909675	0.000259282	0.000414037	0.000143852	0.000253405	0.00020954	8.09613e-06	1.58165e-05	5.02534e-05	0.000156977	0.000196525
a	0.487737	0.429919	0.0287374	0.00693294	0.00374097	0.0035723	0.00385094	0.00115852	0.00323745	0.00282823	0.000120002	0.000421862	0.000434981	0.000709985	0.026598
b	0.372394	0.16336	0.0860638	0.0912084	0.00949667	0.0601595	0.0293801	0.00881847	0.0142475	0.0266952	0.0405303	0.031238	0.0304602	0.0160619	0.0198862
á	0.130704	0.262781	0.132646	0.110385	0.0155002	0.0983295	0.0715571	0.0538701	0.0237126	0.0298999	0.000661432	0.0284142	0.0146756	0.00201549	0.0248477
l	0.1146	0.149326	0.366882	0.0675833	0.0473475	0.0375306	0.034587	0.0288199	0.0230722	0.0143139	0.00491452	0.0166973	0.00990872	0.0192262	0.0651904
e	0.0372174	0.0308227	0.0665767	0.131393	0.137541	0.0613891	0.0596527	0.020428	0.0117073	0.0189	0.0493799	0.0432133	0.00751343	0.0513464	0.272918
k	0.0390676	0.022117	0.178454	0.284819	0.213436	0.0152112	0.0262275	0.0187389	0.00388894	0.00930053	0.0997916	0.0319175	0.00492503	0.0273862	0.0247189
ώ	0.0464707	0.0115819	0.204839	0.305679	0.195307	0.0243475	0.0224996	0.093247	0.0128986	0.0128243	0.0156644	0.0149341	0.00194952	0.00477147	0.0329858
