 	dieu	a	donné	à	jésus	le	nom	qui	dépasse	tout	autre	nom	en	honneur	</S>
n	0.912866	0.0258185	0.00269263	0.00406582	0.00835096	0.0162344	0.0129505	0.00471667	0.00106973	0.00236929	0.00322408	0.00210551	0.0032472	0.000227002	6.19331e-05
z	0.791687	0.0520531	0.00091396	0.0056307	0.00177508	0.0033843	0.0955924	0.0386879	0.000358697	0.000289431	0.00281964	0.00654353	0.000138712	9.1269e-05	3.4697e-05
a	0.595274	0.025963	0.00534343	0.00766311	0.0134151	0.00835396	0.114977	0.0422855	0.0100073	0.00324638	0.00792502	0.163322	0.000985975	0.000518945	0.000719645
m	0.748422	0.0703723	0.0140399	0.00835591	0.00779656	0.00863175	0.00491178	0.0464204	0.0226951	0.00839184	0.0115504	0.00854219	0.00847813	0.00266971	0.0287222
b	0.516756	0.271342	0.0331621	0.0497973	0.00240968	0.00736462	0.00991271	0.0546797	0.0223601	0.00635776	0.00556431	0.00233023	0.00973615	0.000928413	0.00729901
é	0.60014	0.206015	0.0397039	0.0259868	0.00686565	0.00660618	0.00504351	0.0166022	0.0266929	0.0180464	0.00897378	0.00840957	0.0111652	0.00404902	0.0157003
á	0.0841082	0.387898	0.284449	0.075801	0.00588149	0.0162542	0.00139312	0.0100491	0.00810917	0.0206289	0.00781462	0.00131119	0.011577	0.00987411	0.0748512
p	0.0104524	0.16161	0.380154	0.240822	0.109219	0.0139864	0.00181484	0.0125585	0.00504923	0.00709195	0.00408175	0.000977616	0.00852792	0.00899149	0.0346634
έ	0.00807745	0.072633	0.39341	0.204336	0.175321	0.0392099	0.000591529	0.00234606	0.0161896	0.0185871	0.00422995	0.00125462	0.00321583	0.0239294	0.0366686
y	0.00659939	0.0421974	0.222403	0.26591	0.30188	0.0668719	0.00266132	0.00328807	0.00917765	0.0156782	0.013092	0.00242422	0.00500416	0.00459706	0.0382155
e	0.0410805	0.106426	0.16283	0.295036	0.165512	0.0769119	0.0172073	0.00937336	0.00728195	0.0240213	0.0479277	0.00737821	0.00599703	0.0102149	0.0228019
s	0.00807161	0.0468718	0.0596737	0.192406	0.186323	0.15666	0.10209	0.0280026	0.0194589	0.0471534	0.0340331	0.0150988	0.0276347	0.00760766	0.0689146
ú	0.00491987	0.0073324	0.0158523	0.131287	0.438795	0.164655	0.0969268	0.0179049	0.0120025	0.0225121	0.0595927	0.0172642	0.00197363	0.00246383	0.00651823
k	0.00302614	0.0117404	0.00331867	0.110702	0.569706	0.166753	0.0518347	0.049261	0.00699832	0.00494271	0.00938309	0.00257086	0.00140296	0.000289519	0.00807024
ó	0.0121938	0.0488195	0.02902	0.0683329	0.0861122	0.492018	0.0109322	0.0176612	0.035174	0.11762	0.0450646	0.00271717	0.00687381	0.00543064	0.0220295
m	0.00272	0.0374458	0.0466014	0.0623688	0.0371478	0.375022	0.0958057	0.15114	0.0977061	0.0497123	0.0100194	0.00473656	0.013141	0.00310164	0.0133313
b	0.00218662	0.00807513	0.00661605	0.0402536	0.00974471	0.140308	0.0590591	0.274228	0.199808	0.11401	0.0531462	0.00608322	0.0118507	0.00489828	0.0697322
ó	0.00445456	0.00453036	0.00202137	0.0248054	0.0175599	0.139362	0.0485889	0.140983	0.479366	0.0735745	0.0433585	0.00674169	0.00432083	0.00185653	0.00847712
l	0.0027445	0.0100086	0.0139814	0.0243025	0.0115718	0.130662	0.0162466	0.151294	0.48357	0.100669	0.00808982	0.00309916	0.00736416	0.00612995	0.0302669
í	0.00281277	0.0126499	0.0187181	0.0289203	0.0107547	0.0998313	0.0315036	0.0935681	0.435898	0.093756	0.0295096	0.00734317	0.00728985	0.0114657	0.115979
í	0.000250041	0.00333883	0.00524825	0.00763369	0.00448557	0.0834219	0.0784183	0.390459	0.164539	0.1415	0.0472576	0.0173697	0.0315513	0.00482293	0.0197043
