 	j'	ai	donné	à	mon	fils	le	nom	d'	okwere	</S>
n	0.936797	0.0299313	0.00798093	0.00651598	0.00808558	0.00439398	0.00129068	0.00189879	0.000798462	0.00208074	0.000226168
g	0.848054	0.0317414	0.00415157	0.00751596	0.0723957	0.00472079	0.0013132	0.0297671	8.74899e-05	0.00021568	3.6789e-05
á	0.861104	0.0546807	0.00669504	0.0046327	0.0279094	0.00446307	0.00176681	0.0383136	0.000233707	7.88578e-05	0.000122267
í	0.0347756	0.192161	0.0857003	0.062856	0.0834069	0.0422013	0.0462038	0.0286543	0.018908	0.00937236	0.395761
l	0.00556982	0.321715	0.598713	0.0405942	0.00774293	0.00535116	0.0112553	0.00308409	0.00104674	0.000512043	0.00441591
o	0.00152152	0.238784	0.565055	0.103401	0.00655171	0.00183622	0.0361316	0.0058509	0.00263486	0.000561675	0.0376719
i	0.000822412	0.105522	0.569665	0.257218	0.018219	0.000638902	0.0347312	0.00271437	0.00200452	0.000473371	0.00799148
m	0.00266429	0.0592697	0.182139	0.436957	0.219552	0.0180346	0.0462313	0.0160421	0.00738263	0.00238504	0.0093418
w	0.000189741	0.0113552	0.0463478	0.228441	0.121742	0.423811	0.11218	0.0188281	0.0138109	0.00180059	0.0214933
á	9.62325e-05	0.0018668	0.0304669	0.090779	0.046586	0.7295	0.0766971	0.0153056	0.0028795	0.000293726	0.00552908
n	0.00111694	0.00358623	0.0187092	0.0740492	0.197436	0.579397	0.0377006	0.0283533	0.0110613	0.00307997	0.0455104
a	0.00373367	0.0269236	0.0755526	0.188336	0.367115	0.113402	0.0520412	0.0924941	0.00492651	0.000920218	0.0745545
m	0.000467957	0.0381096	0.041974	0.121985	0.17057	0.151433	0.314692	0.046093	0.0422193	0.0137263	0.0587296
o	9.83952e-05	0.00130535	0.0045879	0.052612	0.0873455	0.373631	0.148103	0.0510672	0.0551312	0.00853331	0.217585
k	8.01358e-05	0.00208541	0.00793269	0.107655	0.0525557	0.0966364	0.214075	0.0413986	0.0907698	0.266184	0.120627
w	1.04867e-06	5.63539e-06	0.00029192	0.00340997	0.000331344	0.000198187	0.0136595	0.000233176	0.00564267	0.9693	0.00692632
é	8.25115e-06	2.15647e-05	0.00121006	0.00719498	0.00170246	0.00136916	0.0438214	0.00143057	0.0233577	0.90553	0.0143537
r	1.23044e-05	0.000218848	0.00256308	0.0116331	0.0285918	0.0144388	0.0463024	0.0203194	0.0529081	0.749814	0.0731982
é	1.83392e-05	0.000208137	0.00348707	0.0123824	0.0218409	0.0266309	0.117681	0.143632	0.0977531	0.382087	0.194279
</S>	0.000320935	0.00140465	0.00363076	0.00993322	0.0368446	0.0273217	0.130843	0.075652	0.252086	0.16504	0.296923
