 	le	manguier	a	fleuri	</S>
o	0.916945	0.0729541	0.0100044	6.04175e-05	3.57827e-05
m	0.108869	0.826551	0.0471232	0.0138333	0.00362344
b	0.0693265	0.898951	0.0229828	0.00236671	0.00637267
á	0.00579012	0.983904	0.0069084	0.00168366	0.00171367
n	0.17715	0.672932	0.0690001	0.00448648	0.076431
g	0.282778	0.629567	0.0189484	0.00180456	0.0669021
é	0.254043	0.643014	0.0745012	0.00206226	0.0263792
ó	0.135817	0.0634272	0.691254	0.0572481	0.0522538
m	0.0216154	0.027033	0.744809	0.136949	0.0695933
i	0.023194	0.01495	0.261934	0.206068	0.493854
f	0.000958821	0.00409397	0.0506498	0.579892	0.364405
ú	0.000887027	0.0018038	0.0327638	0.669095	0.29545
l	0.00132814	0.000707072	0.0187961	0.278918	0.700251
a	0.00879884	0.00097964	0.0334281	0.103282	0.853512
</S>	0.142256	0.0215205	0.253635	0.0451919	0.537396
