 	les	jeunes	gens	font	de	la	propagande	pour	l'	église	qu'	ils	viennent	d'	implanter	ici	dans	le	village	</S>
a	0.504483	0.398351	0.0676578	0.0124649	0.00280114	0.00386275	0.00223974	0.00104815	0.00126687	0.00103511	0.00197098	0.00113433	0.00039323	0.00044034	0.000114294	0.000240618	7.09932e-05	0.0003788	3.35202e-05	1.22903e-05
p	0.148094	0.764582	0.0361017	0.00812796	0.00550156	0.00423501	0.00159505	0.00144098	0.0019943	0.00114689	0.00193814	0.00115108	0.0010692	0.0025818	0.0020942	0.00205211	0.00401028	0.00246421	0.00220506	0.00761437
f	0.0493091	0.79545	0.0616221	0.0248727	0.0157911	0.0103315	0.00485831	0.00257158	0.00323521	0.00174069	0.00152499	0.000328536	0.00552951	0.00541319	0.0023135	0.00284665	0.00298216	0.00230105	0.00081024	0.00616764
é	0.138679	0.748456	0.0421646	0.0164233	0.0140304	0.00768297	0.00484897	0.00143088	0.00173363	0.00130034	0.0012149	0.000288728	0.00214413	0.00322078	0.00220277	0.00369451	0.00445577	0.00124937	0.00160809	0.00317141
é	0.173989	0.695559	0.0647281	0.0100692	0.00598516	0.0044345	0.00564052	0.00318258	0.00192724	0.000830287	0.00116636	0.000668357	0.00125381	0.00257392	0.00148593	0.00374844	0.00204502	0.00111846	0.00202141	0.0175734
b	0.188974	0.0840543	0.494947	0.136613	0.0335898	0.00609853	0.000369663	0.00214649	0.00181945	0.00065459	0.00303329	0.00195347	0.00505749	0.00452549	0.00395772	0.00619555	0.00579056	0.00445999	0.000781768	0.0149783
á	0.11018	0.0539375	0.26055	0.264326	0.0826368	0.0391771	0.0068078	0.0177383	0.0121873	0.00160899	0.00546013	0.00112416	0.00965149	0.0115453	0.00868861	0.021299	0.0193768	0.0213084	6.08625e-05	0.0523359
a	0.121515	0.0447481	0.378996	0.30899	0.051378	0.0177069	0.00679363	0.0038612	0.0028707	0.00104896	0.00301913	0.0151607	0.00590398	0.00438085	0.00906857	0.0061332	0.00684134	0.00548132	0.000494543	0.00560799
k	0.0236343	0.0244473	0.106986	0.407305	0.319262	0.0293404	0.00456234	0.00331727	0.00290344	0.00120921	0.00258634	0.00136268	0.00667481	0.00733882	0.00855628	0.0074788	0.0102799	0.00311304	0.00156302	0.028079
y	0.0103644	0.0165361	0.0405507	0.506433	0.310956	0.032478	0.00609351	0.00662465	0.00369031	0.000769631	0.00277343	0.000442625	0.00574625	0.0102157	0.00492085	0.0123103	0.00870413	0.00147192	0.000292515	0.0186263
