 	voici	l'	homme	en	question	</S>
i	0.58091	0.313985	0.0792351	0.0249416	0.000664829	0.000263861
b	0.168292	0.638953	0.159129	0.0148828	0.0158768	0.00286702
a	0.014494	0.42065	0.54176	0.0109631	0.0105756	0.00155741
a	0.0138639	0.601473	0.338767	0.0114466	0.00550322	0.028946
d	0.268486	0.332205	0.23845	0.0913947	0.00290406	0.0665609
í	0.0792711	0.159121	0.0925036	0.0198523	0.0102578	0.638994
a	0.119254	0.0543821	0.296639	0.270186	0.012437	0.247102
m	0.0172066	0.0617729	0.115362	0.604985	0.134877	0.065796
έ	0.00102369	0.0120635	0.125159	0.0792582	0.681884	0.100612
n	0.00103203	0.0133399	0.131228	0.124283	0.504022	0.226095
έ	0.0072723	0.0225885	0.0495535	0.151423	0.419178	0.349984
é	0.0125004	0.0251894	0.0960767	0.252136	0.0603572	0.55374
e	0.00785756	0.0213908	0.0503769	0.353741	0.466519	0.100115
d	0.00158089	0.0308885	0.0744425	0.180194	0.497382	0.215512
í	0.00110782	0.0023242	0.00733972	0.0503317	0.471848	0.467048
</S>	0.00101911	0.00136769	0.0117931	0.107999	0.120586	0.757236
