 	il	a	un	abcès	à	l'	aisselle	</S>
w	0.740855	0.155591	0.0448797	0.0319011	0.013524	0.0108304	0.00171509	0.000703345
a	0.821642	0.0855614	0.0274917	0.0372329	0.00883134	0.016943	0.00222092	7.62514e-05
a	0.212162	0.554664	0.191665	0.00376259	0.0127169	0.012922	0.00254335	0.00956349
d	0.0434554	0.427776	0.390832	0.064037	0.0246243	0.0124136	0.0070271	0.0298346
í	0.0179551	0.370859	0.417015	0.0185534	0.0300434	0.00426506	0.00186968	0.13944
l	0.0175626	0.0785323	0.24366	0.0787717	0.08249	0.019806	0.0364055	0.442771
a	0.0482749	0.135834	0.455618	0.0414839	0.0625694	0.0809793	0.0223243	0.152917
o	0.0535313	0.162387	0.337566	0.302266	0.0586182	0.0284664	0.0398094	0.0173567
b	0.000834851	0.00878925	0.111775	0.763732	0.033749	0.00688885	0.0537098	0.0205205
i	0.00167256	0.0104534	0.105209	0.815502	0.0532387	0.00433669	0.00209418	0.00749315
b	0.000173396	0.00286885	0.0405002	0.820527	0.103485	0.00635058	0.00607382	0.0200202
h	0.00456283	0.0166233	0.175619	0.236609	0.403692	0.0345616	0.00688831	0.121443
a	0.00271811	0.00432671	0.0754398	0.192198	0.343043	0.119679	0.0386507	0.223944
s	0.00128438	0.00254311	0.0243778	0.0119908	0.405941	0.473159	0.020793	0.0599105
á	0.00309412	0.00275623	0.0227498	0.00634513	0.0933182	0.301244	0.0948908	0.475601
d	0.00222193	0.000940866	0.00380292	0.00380628	0.0115505	0.0542056	0.912182	0.01129
z	0.00353629	0.00172764	0.00737425	0.00308258	0.0165997	0.0528394	0.788784	0.126057
a	0.00809612	0.00261247	0.0153104	0.00171957	0.00553358	0.131864	0.805807	0.0290568
d	7.02331e-05	4.84003e-05	0.000365117	0.000186408	0.00173588	0.00758157	0.957204	0.0328082
z	0.000162583	0.000471002	0.00332812	0.000498494	0.00463705	0.0174879	0.645618	0.327796
á	0.00151761	0.000707276	0.00238449	0.000272846	0.00136715	0.0194738	0.941158	0.0331191
b	0.000130021	6.61825e-05	0.000903967	0.000244718	0.0029449	0.0162236	0.748957	0.230529
h	0.000573818	0.000832305	0.00554332	0.00748506	0.0246078	0.0306318	0.320772	0.609554
a	0.00107483	0.000465766	0.00453489	0.00934108	0.0239168	0.0184862	0.227847	0.714333
</S>	0.000702291	0.00195825	0.0158313	0.011363	0.0613746	0.0900897	0.105014	0.713667
