 	celui	qui	a	grillé	ces	poissons	n'	a	pas	mis	du	sel	</S>
o	0.532718	0.242131	0.0677271	0.0527755	0.0516723	0.0115553	0.00750187	0.00529817	0.0142382	0.00513533	0.00835842	0.00079283	9.60991e-05
k	0.0241491	0.0244911	0.184965	0.472377	0.0168476	0.00960265	0.0103632	0.0166933	0.0298159	0.159539	0.00781435	0.0320855	0.0112567
á	0.00618759	0.00343781	0.0293929	0.657029	0.0304834	0.0232751	0.00590708	0.00596076	0.0128317	0.149579	0.00827817	0.0624376	0.00520023
n	0.0164701	0.0130651	0.0630413	0.436117	0.0861944	0.0338865	0.0151878	0.0243179	0.0279517	0.140629	0.0147037	0.0898019	0.0386337
g	0.0926175	0.0370131	0.0523552	0.569814	0.123177	0.00917806	0.00370681	0.00498022	0.0114848	0.036685	0.0145531	0.0119969	0.0324381
i	0.0633107	0.0598696	0.0213081	0.487038	0.11758	0.0127456	0.00613043	0.00475043	0.00804961	0.0155019	0.0128292	0.0283831	0.162504
l	0.0107074	0.029573	0.0450381	0.246342	0.488116	0.0599967	0.01392	0.0102865	0.0196728	0.0174976	0.0170213	0.0045935	0.0372345
i	0.0091668	0.017384	0.116896	0.318654	0.259788	0.0990367	0.0274517	0.0139944	0.0162654	0.0152358	0.0124204	0.00491275	0.0887934
a	0.00972631	0.0216097	0.0392724	0.109595	0.487821	0.22308	0.0499285	0.0138204	0.0105454	0.00499078	0.0143603	0.00124027	0.0140094
s	0.00650733	0.00987215	0.0746971	0.0459458	0.304465	0.228495	0.123351	0.0643121	0.0261703	0.0584471	0.0132215	0.0327669	0.011749
w	0.00107997	0.00472341	0.0272947	0.0158655	0.061086	0.593399	0.196941	0.0321181	0.0230187	0.00929723	0.00710205	0.000622684	0.0274516
é	0.00116233	0.00302423	0.0201395	0.0296299	0.14309	0.605992	0.141555	0.0193677	0.0245272	0.00403816	0.00325524	0.000659897	0.00355817
b	0.000943642	0.00639587	0.0536706	0.0239231	0.157259	0.377139	0.172313	0.0770083	0.0688737	0.0172749	0.022571	0.0015767	0.0210518
á	0.00256564	0.00684428	0.0219102	0.0232073	0.35434	0.214122	0.0925818	0.117031	0.0906851	0.0299089	0.0246645	0.00651522	0.0156248
á	0.00136817	0.00693386	0.0143609	0.00880588	0.0792497	0.140493	0.185927	0.228847	0.185086	0.0387507	0.0632105	0.0160339	0.0309334
d	0.00145904	0.00444364	0.037338	0.00550076	0.018573	0.0525979	0.113369	0.260038	0.223952	0.194764	0.0454427	0.00997169	0.0325504
z	0.00121124	0.00211257	0.0229613	0.00268345	0.0112716	0.138062	0.157407	0.205401	0.180174	0.0952507	0.0169985	0.0025988	0.163867
e	0.00254586	0.00671497	0.0228788	0.0176669	0.0267904	0.331017	0.373904	0.100067	0.073	0.015419	0.00899483	0.0085519	0.0124495
o	0.000181035	0.00136468	0.0139311	0.00358427	0.0166483	0.0306847	0.0425113	0.128409	0.399102	0.178736	0.166116	0.00332275	0.0154092
k	0.000448423	0.000771036	0.00564338	0.00470507	0.00313484	0.00374421	0.0101052	0.0413574	0.0824742	0.554498	0.0958807	0.181651	0.0155858
w	4.3698e-05	1.44639e-05	0.000254594	0.00130756	0.000648594	0.000447194	0.00113492	0.00435828	0.0311324	0.446717	0.0111373	0.488759	0.0140452
á	0.000747294	0.000546614	0.00154449	0.0114437	0.0133061	0.0112846	0.00830142	0.020738	0.0734702	0.298359	0.0244456	0.456114	0.0796984
o	0.000722728	0.00112153	0.00265391	0.00139781	0.012006	0.0411401	0.0545676	0.122777	0.109022	0.117037	0.110488	0.167557	0.259508
k	0.000165187	0.00037565	0.00205917	0.00190597	0.00301945	0.00151677	0.00550661	0.0224567	0.0469887	0.379673	0.179487	0.229069	0.127776
a	5.68938e-05	2.44348e-05	0.000220759	0.00130919	0.000661627	0.000186037	0.000583068	0.00195042	0.0147587	0.15476	0.0180998	0.790048	0.017341
n	4.7903e-05	1.83813e-05	6.09004e-05	0.000578091	0.000800405	0.000679045	0.00219323	0.00533141	0.0249836	0.180176	0.0390443	0.701765	0.0443219
a	0.000130011	0.000130965	0.000880932	0.00595504	0.00358175	0.00103728	0.00464004	0.0185887	0.0514407	0.361687	0.0625911	0.431074	0.0582617
k	0.000604415	0.000913891	0.00121472	0.0040674	0.0122712	0.0103861	0.029504	0.0565851	0.117133	0.0818334	0.197121	0.107175	0.381191
a	0.000367313	0.000412711	0.00249475	0.00268079	0.00659309	0.00316141	0.00696503	0.0236277	0.163175	0.175697	0.129797	0.196364	0.288664
á	7.33176e-05	9.53554e-05	0.000220788	0.000381577	0.00137687	0.00285991	0.00388232	0.0150811	0.0317464	0.0785027	0.0219821	0.223115	0.620683
</S>	0.00160187	0.00210891	0.00999013	0.00166713	0.0110396	0.017616	0.0263857	0.0593853	0.0424005	0.0280664	0.0792292	0.0120033	0.708506
