 	il	y	a	beaucoup	de	bêtes	dangereuses	</S>
a	0.0166444	0.0325649	0.090624	0.103569	0.439583	0.314154	0.00106041	0.00180148
n	0.0283967	0.0845513	0.0902531	0.159179	0.473134	0.121036	0.0140281	0.0294221
y	0.22136	0.0535491	0.0682311	0.226682	0.258335	0.0386291	0.0012153	0.131999
a	0.0468601	0.0513141	0.0329053	0.0853387	0.0936317	0.082258	0.00229847	0.605394
m	0.024593	0.136219	0.179699	0.254763	0.0405756	0.0146615	0.000137729	0.349352
a	0.119535	0.0353205	0.0216159	0.0318455	0.214149	0.477844	0.0363286	0.0633611
b	0.0734788	0.0912825	0.17787	0.236074	0.150758	0.161383	0.0554824	0.0536712
á	0.103958	0.0420399	0.145007	0.283024	0.103509	0.148776	0.106907	0.0667797
k	0.103701	0.0760296	0.169509	0.357062	0.0989604	0.055905	0.130794	0.00803985
y	0.0360092	0.1198	0.0397361	0.0952085	0.0667225	0.342444	0.244628	0.0554513
έ	0.0308818	0.044141	0.0530308	0.169919	0.0761369	0.341331	0.185568	0.0989918
r	0.0205636	0.0947968	0.153023	0.315475	0.0514627	0.0976268	0.04874	0.218313
ε	0.0205309	0.0441813	0.0634932	0.313744	0.154986	0.150739	0.046506	0.20582
á	0.0208176	0.0185231	0.0741733	0.233867	0.116217	0.217117	0.12781	0.191475
d	0.00706205	0.0116979	0.029838	0.0198247	0.00233656	0.00292191	0.00601662	0.920302
í	0.0109064	0.0172127	0.0318432	0.0204516	0.000315131	0.000287588	0.000681304	0.918302
a	0.0133863	0.0188658	0.136454	0.342967	0.0124218	0.00692657	0.0111788	0.457799
y	0.0307697	0.153485	0.214966	0.398747	0.0558914	0.0177514	0.00934175	0.119048
í	0.0156827	0.0352404	0.0227462	0.0279619	0.00368643	0.00612708	0.00185909	0.886696
í	0.00443307	0.00598724	0.013956	0.046402	0.00423816	0.00217296	0.000845069	0.921965
</S>	0.00917902	0.022547	0.129006	0.215927	0.0143689	0.00794692	0.0084153	0.59261
