 	la	pluie	m'	a	fait	manquer	les	cours	aujourd'	hui	</S>
m	0.380096	0.546036	0.059361	0.0103959	0.00251777	0.000349287	0.000508375	0.000114805	0.000521947	3.97568e-05	5.96412e-05
v	0.042156	0.888322	0.0391193	0.0149091	0.00439046	0.00063975	0.00394407	0.00333865	0.000741902	1.38736e-05	0.00242532
ú	0.024067	0.955963	0.0139757	0.00065153	0.000993439	0.00168704	0.00211249	0.000361032	7.57757e-05	7.86841e-05	3.48816e-05
á	0.111871	0.794702	0.076525	0.00701144	0.00216099	0.00140874	0.00246557	0.00115014	0.000373524	3.27908e-05	0.00229936
á	0.0469719	0.0283095	0.507213	0.343807	0.0436716	0.00532949	0.00347003	0.00101975	0.00139622	0.000425133	0.0183859
k	0.0105781	0.0134291	0.0341415	0.127917	0.512391	0.248734	0.00856852	0.0285529	0.00676467	0.00220065	0.00672198
á	0.00119656	0.00137312	0.00191299	0.0112376	0.221527	0.737757	0.00634891	0.013409	0.0013507	0.000442393	0.00344516
m	0.00222762	0.00120212	0.00379364	0.0282497	0.141024	0.771316	0.0103665	0.0297432	0.00445116	0.00145475	0.00617203
b	0.0346574	0.0172937	0.0198929	0.032743	0.213213	0.549756	0.105501	0.0150163	0.00676259	0.000862743	0.00430163
i	0.0212818	0.0180736	0.0191972	0.0232968	0.171717	0.607435	0.0634294	0.0226698	0.0185365	0.00615524	0.0282075
s	0.0176334	0.0220972	0.294302	0.236334	0.0904206	0.0749649	0.17932	0.0147985	0.0144793	0.0154432	0.0402068
i	0.0405614	0.0162434	0.0576301	0.0361928	0.308082	0.324113	0.121922	0.0466204	0.0226391	0.0034216	0.0225738
n	0.0153243	0.00869244	0.208757	0.327324	0.106828	0.0344051	0.180463	0.0365794	0.048324	0.00459476	0.0287075
g	0.0714366	0.0785665	0.248697	0.0357268	0.131228	0.0169033	0.248779	0.0865703	0.0502542	0.00521661	0.0266216
á	0.0352272	0.114465	0.293244	0.0407895	0.0549053	0.010361	0.292874	0.109214	0.0344347	0.00390382	0.0105818
i	0.00379515	0.00124831	0.00164399	0.00409578	0.00687228	0.00508026	0.634229	0.109937	0.181516	0.0255519	0.0260294
s	0.00214962	0.000533608	0.00037399	0.000951048	0.00600352	0.0102304	0.171159	0.420942	0.163483	0.146263	0.077911
í	0.00405624	0.000494277	0.000245542	0.000895221	0.0102802	0.0381697	0.0725462	0.695673	0.0529401	0.0440715	0.0806282
m	0.0109873	0.00123383	0.003673	0.00744051	0.00482419	0.00529709	0.0715423	0.199988	0.169427	0.364329	0.161258
á	0.00723322	0.00468986	0.000482422	0.00084751	0.0017818	0.00174452	0.214673	0.21507	0.100303	0.0583576	0.394818
p	0.0280084	0.0032225	0.00760637	0.0125195	0.00792961	0.00454082	0.106382	0.0986145	0.192436	0.384124	0.154616
á	0.000624736	0.000136684	9.8751e-05	0.000214202	0.000436006	0.000280069	0.00399407	0.00929004	0.0189817	0.945907	0.0200367
b	0.000289266	3.11411e-05	0.000149881	0.000409724	0.000601198	0.00140222	0.00255481	0.00683648	0.0071483	0.966486	0.0140912
h	0.000973871	0.000555243	0.000266518	0.00172392	0.0060863	0.0113751	0.0338663	0.0636008	0.0409202	0.736053	0.104579
a	0.0102609	0.00501087	0.000913644	0.00180497	0.0152555	0.0257621	0.0646474	0.13173	0.0629547	0.505627	0.176033
</S>	0.00147373	0.000716414	0.000333483	0.000999474	0.00545231	0.00211933	0.0220005	0.0791675	0.215843	0.16765	0.504245
