 	le	canard	musqué	se	lave	dans	le	ruisseau	</S>
i	0.522883	0.43814	0.0115634	0.0226051	0.000275648	0.00247759	0.00195531	9.50068e-05	4.64977e-06
y	0.0659746	0.549303	0.34845	0.0252021	0.00878798	0.00131184	0.000311553	0.000352394	0.000306655
i	0.0322151	0.228446	0.733803	0.00287843	0.00160925	0.000103429	8.15745e-05	0.000309321	0.00055394
y	0.0127833	0.0684859	0.86754	0.0221092	0.00943812	0.00188038	0.000353267	0.00109499	0.0163152
í	0.138374	0.246475	0.5491	0.0309306	0.0259011	0.00168306	0.00139969	0.00243373	0.00370249
ε	0.0815524	0.0927342	0.325497	0.432448	0.0115011	0.0301356	0.00754718	0.00101705	0.0175669
l	0.0251715	0.0248439	0.110132	0.758911	0.0381566	0.0272596	0.00618808	0.00126401	0.00807271
í	0.018673	0.0244883	0.245385	0.461806	0.0572993	0.0303328	0.0117293	0.00371169	0.146575
i	0.0572458	0.0389995	0.202102	0.443699	0.0445669	0.080898	0.0400918	0.0134642	0.0789325
p	0.000704068	0.00095069	0.0199758	0.193385	0.716375	0.0462495	0.00639592	0.00307784	0.0128861
f	6.1631e-05	0.000144142	0.000851687	0.0108465	0.983734	0.00199767	0.00046667	0.000678469	0.00121948
ú	0.000713631	0.000805469	0.00201862	0.00692977	0.969911	0.0120344	0.00183193	0.00125308	0.00450187
b	0.00650478	0.00329579	0.00533593	0.0366758	0.660719	0.225464	0.0278933	0.00937072	0.0247407
h	0.0215526	0.00509187	0.00118923	0.0559842	0.301046	0.275432	0.172133	0.0735096	0.0940612
á	0.00828194	0.00172187	0.00143603	0.0387042	0.127779	0.393247	0.146322	0.0508057	0.231702
s	0.00176186	0.000468651	0.000287576	0.0116338	0.02014	0.396788	0.454467	0.0716172	0.042836
ó	0.0103382	0.00956961	0.00641362	0.00316487	0.0355284	0.0619795	0.203006	0.511842	0.158158
k	0.00383823	0.00346781	0.00181051	0.00189095	0.00151689	0.0179459	0.101092	0.825751	0.0426858
y	0.000141967	0.00106508	0.000523493	0.000607435	0.00846535	0.00387721	0.0146451	0.955687	0.0149873
ε	0.000598905	0.00107875	0.000495762	0.00109354	0.099486	0.0180634	0.0491434	0.781752	0.0482887
s	5.36809e-05	0.000146705	0.000771804	0.00290453	0.012774	0.0653358	0.0794941	0.643006	0.195514
í	0.000678636	0.000365462	0.00128287	0.00399872	0.0435382	0.123611	0.114909	0.236217	0.475399
</S>	0.00625658	0.00157978	0.00117029	0.00684775	0.0131544	0.056613	0.116558	0.109127	0.688693
