 	je	m'	en	vais	assister	à	la	danse	</S>
n	0.874455	0.0876531	0.0263077	0.00440447	0.00145745	0.00196289	0.000796493	0.00282115	0.000142259
g	0.919569	0.0732111	0.00544999	0.00110998	7.03225e-05	0.000365033	0.000148851	6.46297e-05	1.11997e-05
á	0.652616	0.296703	0.0303685	0.0160397	0.00116845	0.00177121	0.000705191	0.000549137	7.85222e-05
í	0.0583778	0.275184	0.310499	0.0905714	0.0313098	0.0203133	0.0271244	0.0147592	0.171861
m	0.00539618	0.0509968	0.696519	0.214177	0.0185354	0.00398528	0.0030655	0.00134563	0.00597965
o	0.000134962	0.0450542	0.662682	0.249686	0.0223331	0.00626423	0.0038986	0.000252275	0.00969444
d	0.000223848	0.00457952	0.258737	0.691603	0.0323489	0.00228594	0.00128549	0.000216113	0.00871964
z	0.000254549	0.00723686	0.285523	0.628694	0.0579204	0.00541717	0.00203187	0.000353574	0.0125688
w	0.0169223	0.0392303	0.127336	0.787597	0.0223703	0.00348455	0.00107655	8.87953e-05	0.00189404
á	0.000851404	0.0175514	0.179761	0.554778	0.0561301	0.0693123	0.0237931	0.00209031	0.0957317
o	0.000575747	0.0576224	0.0695754	0.0663516	0.414291	0.276133	0.0823782	0.0171169	0.015956
t	6.84228e-05	0.00113436	0.0147164	0.175747	0.68359	0.0854107	0.0209991	0.00989433	0.00843972
á	6.82848e-07	6.354e-05	0.00541538	0.0916519	0.851634	0.0351245	0.0072683	0.00155705	0.00728494
á	3.07434e-05	0.000766226	0.0120274	0.0424477	0.768736	0.094867	0.0403402	0.00459405	0.0361902
b	0.000443444	0.0103605	0.0120377	0.00736719	0.120508	0.568222	0.239965	0.0151792	0.0259164
v	0.00212242	0.00349627	0.00261764	0.00112185	0.016702	0.148557	0.0985375	0.641508	0.0853372
a	3.95503e-05	0.000202001	0.000285314	0.000137714	0.00272648	0.0793332	0.0694268	0.83258	0.015269
n	1.63881e-05	0.000126892	0.000271347	0.000393911	0.0104656	0.158895	0.291413	0.461309	0.0771082
g	0.000148582	0.00112508	0.00162473	0.00335535	0.0184366	0.279999	0.322772	0.239306	0.133233
a	0.000422483	0.00154514	0.000800345	0.00405515	0.0194696	0.274399	0.284586	0.191048	0.223675
</S>	2.64684e-05	0.000524322	0.00123223	0.00136254	0.00709064	0.122971	0.301685	0.161299	0.403809
