 	ce	fusil	est	à	moi	donne-le	moi	</S>
l	0.427913	0.377761	0.0793895	0.0292297	0.058948	0.0246903	0.00143013	0.000638467
e	0.218651	0.592769	0.0543184	0.046869	0.051169	0.0166715	0.0156559	0.00389611
m	0.0509794	0.829388	0.023279	0.0127177	0.0142467	0.011725	0.026934	0.0307304
i	0.196396	0.453403	0.184757	0.0962781	0.0126199	0.0124899	0.0137879	0.0302688
a	0.101007	0.276921	0.354087	0.102959	0.0072172	0.0206649	0.00224065	0.134904
d	0.119818	0.10857	0.322993	0.188345	0.0868532	0.0849512	0.0117976	0.0766719
í	0.0602591	0.0283309	0.248026	0.289409	0.0446815	0.0275344	0.00762389	0.294136
í	0.0362334	0.00850572	0.197474	0.233686	0.138532	0.0588573	0.0123475	0.314363
d	0.0332673	0.00657953	0.142179	0.253247	0.232153	0.238956	0.0441338	0.0494854
i	0.0116065	0.00259518	0.12895	0.374326	0.0561406	0.0733952	0.0317792	0.321208
l	0.0351114	0.00294305	0.160187	0.340705	0.0707141	0.217843	0.0243971	0.148099
á	0.00790695	0.00403408	0.169398	0.253207	0.0778162	0.192519	0.0717059	0.223413
n	0.010626	0.00582618	0.0794521	0.176144	0.139407	0.185971	0.305397	0.0971779
g	0.00285848	0.00182496	0.0108778	0.064861	0.51911	0.0237857	0.346784	0.0298979
á	0.00234109	0.00157678	0.00987356	0.0224189	0.395885	0.00481726	0.555278	0.0078092
p	0.00375618	0.00210455	0.0604386	0.125558	0.0936174	0.328331	0.24032	0.145875
έ	0.0066247	0.00996446	0.0173295	0.0285785	0.0398575	0.816169	0.05549	0.0259861
n	0.00329362	0.00622817	0.0558394	0.0980937	0.0644257	0.395059	0.161987	0.215074
g	0.00908499	0.00632953	0.0213299	0.119497	0.287936	0.370994	0.130853	0.0539762
á	0.0100646	0.00955947	0.0349706	0.063477	0.334682	0.240372	0.288058	0.018816
d	0.0235731	0.00931007	0.0362725	0.0561067	0.0867849	0.222725	0.25722	0.308008
i	0.00856975	0.00183625	0.0257497	0.0524091	0.0176415	0.0102396	0.116092	0.767462
a	0.00982271	0.0016474	0.0521231	0.11348	0.0376606	0.0493707	0.0624558	0.67344
</S>	0.0112194	0.00161758	0.0314946	0.0423033	0.0248588	0.0274905	0.136404	0.724612
