 	les	arbres	perdent	leurs	feuilles	pen	dant	la	petite	saison	sèche	</S>
a	0.542308	0.400567	0.0469057	0.00750255	0.00164767	0.000262909	3.32401e-05	0.000263259	4.00215e-05	0.000275415	0.0001743	2.00692e-05
b	0.0214498	0.927747	0.0219799	0.00244087	0.00228665	0.00257357	0.000444989	0.000849996	0.000627491	0.00383443	0.0148522	0.000912987
v	0.0331525	0.931123	0.0142001	0.00527579	0.000846036	0.00373494	0.000746822	0.00174403	0.000829843	0.00167655	0.00120351	0.00546693
ú	0.0812073	0.662722	0.0751671	0.0997555	0.018049	0.0195463	0.0222314	0.0065345	0.00197541	0.00149295	0.00351304	0.00780522
a	0.197602	0.65389	0.0964069	0.00900171	0.00932834	0.0208919	0.00146783	0.00195325	0.000921947	0.0018885	0.00403804	0.00260977
m	0.0502693	0.014515	0.386309	0.366986	0.130102	0.00271441	0.00272091	0.00977396	0.00413019	0.00441785	0.000321621	0.02774
á	0.223055	0.0203504	0.418219	0.148542	0.0873581	0.0439907	0.00254416	0.0122069	0.00903831	0.0156964	0.00756103	0.0114371
a	0.279276	0.0191716	0.168022	0.286315	0.205293	0.023007	0.00202454	0.00318275	0.00257021	0.00178893	0.00114547	0.0082043
k	0.00942347	0.00318734	0.0459476	0.232705	0.460863	0.211583	0.0213928	0.00274569	0.00218816	0.00191188	0.00242831	0.00562298
ó	0.0040187	0.00499224	0.0138227	0.0532203	0.167163	0.65486	0.0806642	0.00487435	0.00230263	0.001305	0.00425416	0.00852269
m	0.00842126	0.0176663	0.0428352	0.106823	0.181317	0.535309	0.0826133	0.00338219	0.00173028	0.00172093	0.0025929	0.0155894
b	0.134308	0.0177666	0.118484	0.0975915	0.0537252	0.47224	0.00977235	0.0542883	0.0110675	0.00790077	0.00295548	0.0199007
ó	0.149152	0.0218089	0.0548574	0.0382523	0.0149369	0.612651	0.0121637	0.0174851	0.0110472	0.0111208	0.00565198	0.0508728
s	0.0137547	0.00155204	0.068841	0.13832	0.16626	0.404243	0.0914399	0.0276143	0.0108084	0.0110511	0.0107097	0.0554066
á	0.039499	0.00265391	0.0470906	0.0663561	0.17112	0.341806	0.0344103	0.13999	0.061614	0.0285857	0.00664594	0.0602283
k	0.0443312	0.00889909	0.0257411	0.0657251	0.194503	0.117091	0.24115	0.139935	0.0299174	0.0813449	0.0299227	0.0214396
á	0.000743941	0.000815435	0.000559935	0.00255634	0.0141691	0.106655	0.84488	0.00375515	0.00134261	0.000855092	0.0211761	0.00249165
s	0.000572757	0.000258824	0.000542758	0.0123531	0.0113078	0.0357322	0.916841	0.00261511	0.00129918	0.00105291	0.00529127	0.0121334
i	0.00209759	0.00187218	0.00176134	0.00602889	0.0540248	0.114056	0.620159	0.108635	0.0216688	0.0172709	0.0113749	0.0410505
l	0.00193059	0.000493681	0.00534023	0.0156447	0.019096	0.0344452	0.228732	0.250805	0.0484793	0.129316	0.0340028	0.231715
a	0.00528453	0.00198306	0.00317982	0.0101391	0.0197881	0.0277586	0.111339	0.246565	0.142855	0.0912548	0.051244	0.288609
l	0.0108185	0.00146665	0.00553839	0.00408329	0.0103661	0.0142235	0.0192054	0.24059	0.0740598	0.204895	0.304173	0.11058
e	0.00408469	0.000441889	0.00157283	0.0184988	0.0215466	0.0247138	0.0698178	0.122346	0.157922	0.120156	0.350192	0.108707
k	0.000340996	0.000199227	0.000555166	0.000925262	0.00598604	0.0110221	0.0138148	0.0654727	0.0645058	0.140817	0.576782	0.119579
w	0.000437809	0.000444038	0.000491125	0.00162014	0.0070956	0.00947927	0.216625	0.0512058	0.0945155	0.0667247	0.43506	0.116302
e	0.00689735	0.00261836	0.000898215	0.00362354	0.00266095	0.0173801	0.119384	0.0367517	0.0493583	0.0328373	0.67291	0.0546796
l	0.00305762	0.000790847	0.00185491	0.000783439	0.00104257	0.0084961	0.0298103	0.159356	0.136862	0.0545172	0.17627	0.427159
e	0.0100056	0.00456638	0.00296203	0.00223825	0.00456616	0.0295576	0.0186588	0.10962	0.292159	0.0803793	0.20508	0.240206
</S>	0.00604912	0.00121039	0.00351012	0.00196839	0.00370987	0.00748475	0.0041636	0.136758	0.0795813	0.185906	0.0915807	0.478077
