 	ferme	la	porte	de	peur	que	les	moustiques	n'	entrent	dans	la	maison	</S>
k	0.7687	0.130349	0.025726	0.028244	0.00754613	0.0133721	0.0122528	0.00501157	0.0029647	0.00127488	0.00189563	0.00250545	8.44614e-05	7.34198e-05
a	0.807353	0.0724133	0.0615151	0.00858115	0.00262399	0.00406174	0.00238386	0.0164411	0.00274936	0.0118098	0.00239211	0.00505846	0.00159474	0.00102195
n	0.0973763	0.412669	0.25763	0.026757	0.0116337	0.0353181	0.0291847	0.0130446	0.0175659	0.0620923	0.0114367	0.00295468	0.00125822	0.0210784
g	0.514416	0.154911	0.0861381	0.0226941	0.00465799	0.0279892	0.0208811	0.0547243	0.0186466	0.0167398	0.0104573	0.00761689	0.0175693	0.0425583
á	0.80722	0.099345	0.0360153	0.00912894	0.00747726	0.0064586	0.00155606	0.00936296	0.00114485	0.000415181	0.000526319	0.00294248	0.00659174	0.0118152
e	0.0398808	0.3545	0.28392	0.133966	0.033457	0.0441469	0.0215258	0.00445255	0.0124269	0.0077116	0.0169514	0.00228288	0.000875942	0.0439017
k	0.00902838	0.114414	0.609777	0.112761	0.00716902	0.0172267	0.0213099	0.0469524	0.0126326	0.027293	0.00923088	0.00162603	0.00132993	0.00924929
u	0.00995762	0.0805376	0.619144	0.0583235	0.00171015	0.00723468	0.012481	0.0705903	0.0145694	0.107091	0.00812896	0.000449682	0.000106972	0.00967491
u	0.00579093	0.0277873	0.459127	0.208314	0.00264127	0.00816179	0.0133142	0.169637	0.020967	0.0286479	0.0157949	0.00337289	0.00125181	0.0351925
p	0.00129339	0.0404657	0.114889	0.459128	0.0731659	0.102654	0.0792125	0.0377838	0.0238496	0.00682301	0.0279991	0.00781284	0.00286401	0.0220594
e	0.00771029	0.0271271	0.0621515	0.139945	0.0489897	0.28289	0.126821	0.171115	0.0587405	0.0281388	0.010704	0.00540698	0.00329875	0.0269616
n	0.000999366	0.0109859	0.0215157	0.0704246	0.158788	0.229251	0.159931	0.102996	0.0628975	0.0326588	0.0182809	0.00400291	0.00258428	0.124684
á	0.00475638	0.0218216	0.0550338	0.172175	0.0649634	0.153943	0.0734149	0.325501	0.0447473	0.0159437	0.00837998	0.00641479	0.010026	0.042879
a	0.00039201	0.00509886	0.00697119	0.0813696	0.254086	0.27608	0.217725	0.0223974	0.0962075	0.0113845	0.0137346	0.00566233	0.00227029	0.00662078
n	0.00215498	0.0155387	0.0283886	0.0166982	0.00880074	0.0560558	0.257923	0.165439	0.209322	0.195436	0.030379	0.00286693	0.00167549	0.00932262
g	0.0228728	0.0258486	0.0166989	0.0283428	0.0293572	0.0677957	0.111109	0.475871	0.123596	0.00675664	0.00773346	0.00917097	0.0412984	0.0335477
u	0.00108777	0.00248782	0.00957163	0.0246125	0.0135859	0.0230699	0.0390485	0.826437	0.0432311	0.00355351	0.000595527	0.00143032	0.00955869	0.00172982
n	0.000200438	0.00228295	0.0197085	0.0424345	0.00268222	0.0169953	0.0416152	0.577219	0.212968	0.0101572	0.0184955	0.0338409	0.00529559	0.0161047
g	0.00052012	0.00266703	0.00957077	0.0597378	0.0278155	0.0779378	0.0971764	0.370331	0.267456	0.0105319	0.022791	0.0179775	0.00701757	0.0284692
u	0.00202857	0.00284853	0.0136927	0.0313899	0.0386529	0.112743	0.0431072	0.702261	0.0301536	0.0042218	0.00079382	0.0045589	0.00637109	0.00717715
á	5.07029e-05	0.00101844	0.00377339	0.00776531	0.00782003	0.169898	0.167729	0.041292	0.46189	0.0519182	0.0465977	0.00983294	0.00476068	0.0256538
k	0.00162631	0.0101702	0.0116161	0.00339297	0.00114785	0.0047425	0.0240402	0.0114275	0.113309	0.592345	0.169165	0.0186119	0.00993364	0.0284714
ó	0.000148932	0.0011787	0.00536932	0.000647786	5.47711e-05	0.00154656	0.0246472	0.027097	0.0203114	0.863377	0.0375092	0.0051209	0.000485115	0.0125059
í	9.09827e-05	0.000520906	0.00520734	0.000884668	0.00013509	0.00138618	0.014977	0.0434313	0.0429893	0.842489	0.0303648	0.00128639	0.000231255	0.0160058
s	0.000332192	0.00376342	0.00226128	0.00503456	0.00297768	0.0203183	0.065882	0.00457959	0.103836	0.12842	0.413331	0.125401	0.0271628	0.0966999
á	0.000323808	0.00144721	0.00210684	0.0042342	0.00278444	0.00487954	0.0142023	0.00642592	0.0284081	0.184819	0.182309	0.206161	0.131729	0.230169
n	0.00114452	0.000444477	0.000331875	0.00489486	0.00464128	0.00607923	0.0124851	0.00347637	0.00752886	0.0215378	0.0862301	0.262481	0.527245	0.0614797
d	4.77049e-05	1.6943e-05	1.66205e-05	0.000264351	0.000240187	0.00018846	0.000250309	0.000268863	0.000333103	0.000403877	0.00274255	0.0377023	0.955613	0.00191132
é	7.52892e-05	6.40016e-05	0.000122935	0.000494631	0.00038076	0.000351111	0.000230433	0.00148461	0.00095133	0.000459363	0.00277301	0.0141088	0.972262	0.00624166
e	3.56261e-05	0.000115981	0.000526245	0.00318919	0.000986763	0.00186967	0.00177452	0.0220845	0.0259798	0.00565651	0.0325187	0.127977	0.49046	0.286826
</S>	4.50167e-05	0.00089521	0.000759043	0.00166541	0.000804362	0.00422798	0.00693955	0.00266256	0.0385654	0.0196867	0.189375	0.102995	0.0576327	0.573745
