 	elle	cultive	les	aubergine	dans	son	jardin	de	case	</S>
w	0.875841	0.0529983	0.0299164	0.00508406	0.0251202	0.00706594	0.000226743	0.00354861	0.000150427	4.87044e-05
a	0.852931	0.063293	0.0547165	0.00494869	0.0075483	0.00903897	0.00044131	0.00679143	0.000134694	0.00015643
l	0.601296	0.250833	0.0544115	0.0235872	0.0148738	0.0304083	0.0134812	0.00767452	0.000654154	0.00278014
á	0.189683	0.109402	0.160937	0.077234	0.0634129	0.0585765	0.0546417	0.0493219	0.0131542	0.223636
a	0.273343	0.263442	0.14593	0.0297587	0.0281289	0.0329167	0.024027	0.0412794	0.0622311	0.0989433
s	0.032665	0.897585	0.032233	0.00565058	0.00316276	0.00226044	0.0080622	0.00223051	0.000379613	0.0157713
i	0.00117197	0.990048	0.00315298	0.00154724	0.000285859	0.000101021	0.00128883	0.000173823	0.000108659	0.00212148
á	0.158184	0.589781	0.169864	0.0401516	0.0104492	0.00167768	0.00343186	0.00194779	0.000468539	0.0240447
t	0.0673753	0.115752	0.402494	0.240404	0.116897	0.032623	0.00351929	0.0105668	0.00415462	0.00621429
s	0.0485525	0.0874129	0.479466	0.159866	0.0919879	0.0244053	0.0271873	0.0105663	0.001821	0.0687347
a	0.00949634	0.118472	0.261722	0.303406	0.212245	0.0143875	0.0207851	0.0177185	0.00565216	0.0361158
n	0.00879398	0.0445025	0.172595	0.439566	0.111341	0.00703325	0.00501089	0.0165887	0.00705556	0.187514
g	0.0217967	0.0955081	0.163026	0.266409	0.151232	0.0400158	0.0139448	0.0272539	0.0163995	0.204414
í	0.0215792	0.0092333	0.122765	0.513758	0.0878059	0.0399274	0.060403	0.0156029	0.0217881	0.107137
s	0.0138822	0.00241647	0.0713498	0.216668	0.483258	0.129807	0.0127332	0.0275019	0.00109877	0.0412845
á	0.00362297	0.00495609	0.0261604	0.219572	0.232134	0.186971	0.137667	0.0864868	0.037958	0.0644714
k	0.00874636	0.00509622	0.0188574	0.0813953	0.43511	0.304783	0.063069	0.0332763	0.037409	0.0122565
ú	0.0065444	0.00989728	0.0482994	0.0450453	0.514078	0.164406	0.158976	0.0207554	0.00265867	0.0293401
b	0.00545621	0.0531659	0.101137	0.142202	0.538606	0.0630011	0.0467861	0.0136908	0.00282532	0.0331303
h	0.0305006	0.0238943	0.0726607	0.122645	0.279829	0.193691	0.0265909	0.113678	0.00766849	0.128842
á	0.00267307	0.00373301	0.0499315	0.250948	0.200522	0.113133	0.0431303	0.10543	0.0103239	0.220175
y	0.0014452	0.000988541	0.00874693	0.0188047	0.105481	0.305778	0.127018	0.348103	0.00711381	0.0765205
á	0.00160976	0.0022038	0.0115456	0.0863374	0.0596752	0.274132	0.342727	0.152796	0.0461389	0.0228339
w	0.00212948	0.00367182	0.0100772	0.0250026	0.0413738	0.360663	0.0863392	0.288609	0.171222	0.0109118
a	0.01095	0.00441224	0.0243828	0.0315521	0.0801648	0.362285	0.195822	0.207179	0.0361657	0.0470861
y	0.000596126	0.000209712	0.00422699	0.00552456	0.0318383	0.157392	0.17062	0.472434	0.0286534	0.128504
á	0.000841197	0.00591928	0.0267968	0.0640561	0.0707717	0.208169	0.117899	0.369049	0.0550873	0.0814105
n	0.00117319	0.00179802	0.00939059	0.0139159	0.022968	0.12339	0.0338388	0.392147	0.363492	0.0378862
g	2.37373e-05	1.52525e-05	0.000147904	0.00182078	0.000417995	0.00469062	0.386156	0.0139181	0.590136	0.00267399
ω	1.49866e-05	1.31433e-05	0.00021588	0.00111602	0.000608304	0.00764615	0.698307	0.0162096	0.266187	0.00968154
n	4.68234e-05	7.55903e-05	0.00103633	0.00708441	0.0049639	0.0167932	0.449309	0.123255	0.174496	0.22294
g	0.000260942	0.000292983	0.00326545	0.00699247	0.00662378	0.04246	0.139048	0.313591	0.0866556	0.40081
ω	0.000154904	3.93091e-05	0.000885572	0.00978406	0.00430745	0.0524364	0.309	0.13665	0.414633	0.0721098
y	0.000468218	0.000224288	0.00768886	0.0104573	0.0204076	0.0767367	0.0524182	0.542568	0.0565636	0.232467
á	0.00514225	0.00199548	0.0266882	0.054327	0.0327092	0.115697	0.0408359	0.54682	0.0722703	0.103515
n	0.00179478	0.00234527	0.020829	0.0274142	0.0494652	0.113017	0.011591	0.459371	0.259812	0.054361
d	3.53124e-05	1.1447e-05	6.52822e-05	0.000526046	0.000200815	0.00139919	0.0311521	0.00828955	0.95185	0.00647053
é	0.000141517	8.527e-05	0.00032401	0.000969363	0.000909664	0.00488099	0.0443813	0.0217366	0.867566	0.0590058
e	1.65792e-05	0.000150381	0.00141625	0.00358271	0.00314135	0.0169024	0.0906795	0.232052	0.114766	0.537293
</S>	0.000509389	0.00049056	0.00598198	0.00613556	0.00782864	0.0209999	0.0195283	0.422275	0.049537	0.466714
