 	mon	enfant	fait	de	la	diarrhée	</S>
n	0.496226	0.362649	0.0817535	0.0343257	0.0141743	0.00497681	0.00589498
g	0.985572	0.0128305	0.000395091	0.000243887	0.000114743	0.00077468	6.89217e-05
á	0.849606	0.13974	0.00262639	0.00134812	0.00062525	0.00592708	0.00012711
m	0.321394	0.272519	0.147292	0.0781002	0.027587	0.0336897	0.119418
w	0.00479168	0.95	0.0236561	0.00917239	0.00532867	0.00292492	0.00412667
á	0.0245615	0.96681	0.00524493	0.00159189	0.00038263	0.000682218	0.00072641
n	0.246436	0.721227	0.0187899	0.00905182	0.00101759	0.000921156	0.00255696
a	0.414736	0.557868	0.0185837	0.00447697	0.000520289	0.000739224	0.00307524
a	0.0832016	0.0260695	0.547752	0.270684	0.05881	0.0043797	0.00910285
d	0.00984206	0.00950219	0.576798	0.264349	0.117261	0.00312455	0.0191227
í	0.0378661	0.0528538	0.195374	0.215048	0.182174	0.0106823	0.306002
l	0.0267812	0.0431386	0.111542	0.249762	0.287616	0.0269611	0.254199
i	0.00315162	0.00269217	0.106571	0.248516	0.201232	0.0287267	0.409111
n	0.00403334	0.00175133	0.0549711	0.144491	0.251683	0.36691	0.17616
y	0.0239355	0.00213897	0.014235	0.0605315	0.0903535	0.719581	0.0892244
a	0.0172237	0.000988446	0.00405065	0.0214405	0.0359039	0.826341	0.0940522
a	0.00146317	0.00186719	0.0219102	0.0478355	0.0601275	0.767243	0.099553
</S>	0.000395223	0.000182007	0.01459	0.0547193	0.11157	0.313951	0.504593
