 	ta	manière	de	garder	le	malade	le	galvanise	</S>
e	0.144671	0.243879	0.131026	0.183449	0.0799165	0.104751	0.0214341	0.0115798	0.0792929
k	0.000199513	0.000498565	0.00529167	0.00719797	0.10996	0.843652	0.0243304	0.00790812	0.000961819
ω	0.000155482	0.000119538	0.000822746	0.000545637	0.00762379	0.976498	0.00254982	0.0101333	0.00155195
n	4.40039e-05	0.000426604	0.000374901	0.000549232	0.00717973	0.982852	0.0054093	0.00192753	0.00123699
í	0.0230238	0.0650214	0.0292534	0.0285077	0.0656308	0.660622	0.0507562	0.0460132	0.0311711
s	0.0437758	0.0203425	0.0623965	0.0632292	0.260503	0.186907	0.251555	0.0328645	0.0784269
í	0.0148877	0.00739538	0.0104157	0.0143407	0.136718	0.131163	0.133345	0.0238551	0.52788
l	0.113958	0.061149	0.124511	0.141804	0.208059	0.222021	0.0843022	0.0127884	0.0314075
í	0.336748	0.0905412	0.132491	0.0279633	0.04581	0.0306541	0.0228403	0.0231707	0.289782
y	0.0235763	0.0623946	0.181132	0.0831876	0.212794	0.168876	0.120868	0.0204839	0.126688
á	0.166315	0.112161	0.280597	0.165353	0.0787259	0.0189958	0.0386467	0.00663344	0.132572
n	0.270349	0.0364142	0.208693	0.1673	0.0805432	0.0896053	0.0325188	0.0189605	0.095616
ω	0.0807091	0.0254675	0.0514561	0.804379	0.0118864	0.00394507	0.00569607	0.00203243	0.0144281
y	0.0191781	0.0174887	0.280313	0.169598	0.193169	0.0417568	0.118423	0.0181933	0.14188
é	0.456868	0.0250621	0.168762	0.0560067	0.157327	0.0395241	0.0613286	0.0099706	0.0251519
y	0.209418	0.0191792	0.329744	0.117421	0.165244	0.0437367	0.0782464	0.0155775	0.0214333
é	0.367729	0.0572171	0.243572	0.161071	0.112389	0.0102672	0.0352577	0.00384732	0.00864912
e	0.128581	0.0201504	0.291027	0.121268	0.213666	0.0183885	0.112731	0.0279933	0.0661953
p	0.00160443	0.000715492	0.00847575	0.0233532	0.175838	0.240384	0.244577	0.196674	0.108378
έ	0.000106079	0.000230386	0.00504554	0.0119605	0.0633623	0.242528	0.058979	0.481877	0.135911
o	0.000915797	0.00106742	0.0250096	0.0390368	0.186506	0.372391	0.159872	0.10893	0.106272
k	0.00159929	0.0019144	0.0146596	0.0228514	0.168956	0.0759762	0.408817	0.168674	0.136551
ω	0.000835941	0.00174603	0.0117463	0.031364	0.0491492	0.173174	0.0748281	0.488551	0.168606
n	4.18945e-05	8.89028e-05	0.00391567	0.0151479	0.0134442	0.285348	0.0368977	0.53122	0.113896
í	0.000949429	0.00039881	0.00995388	0.0176408	0.054846	0.411715	0.125465	0.293243	0.0857884
p	0.00189679	0.00104649	0.0250703	0.0212956	0.0736728	0.0266141	0.173784	0.107793	0.568827
á	0.0125225	0.0160985	0.0769305	0.0376437	0.0304996	0.034393	0.0497877	0.624818	0.117306
m	0.00747911	0.00655377	0.0378466	0.0102939	0.0353984	0.0229546	0.0818745	0.421855	0.375744
i	0.00544141	0.00213863	0.0125431	0.00620745	0.0396224	0.0296073	0.159656	0.357694	0.38709
</S>	0.00448597	0.00236029	0.0254504	0.0120965	0.0320389	0.00942862	0.0827511	0.0960279	0.73536
