 	ce	citron	est	trop	acide	</S>
l	0.619365	0.376149	0.00378735	0.000211523	0.000336711	0.000150182
á	0.256976	0.736282	0.00423647	0.00034954	0.00159171	0.000564652
á	0.195348	0.755832	0.0292799	0.00794214	0.00399078	0.00760717
l	0.125943	0.631156	0.160013	0.0428499	0.0102202	0.0298168
e	0.0470999	0.475677	0.300439	0.032912	0.00513644	0.138736
w	0.18712	0.0582746	0.464878	0.138421	0.018774	0.132532
ó	0.143595	0.0747433	0.536336	0.190227	0.00653224	0.0485654
a	0.0677993	0.0238248	0.586994	0.191349	0.0266754	0.103358
p	0.00572232	0.00740431	0.148671	0.62274	0.171836	0.0436269
é	0.00225044	0.00104743	0.108296	0.578084	0.20713	0.103192
n	0.00205796	0.00155556	0.0891858	0.520142	0.269508	0.117551
d	0.00461277	0.00456933	0.10597	0.174021	0.478538	0.232289
í	0.0201027	0.00997057	0.0747214	0.0489828	0.623263	0.22296
n	0.0237346	0.00433111	0.0640348	0.04074	0.349076	0.518084
g	0.00909995	0.00672006	0.00282468	0.00253966	0.651119	0.327696
h	0.00353057	0.0298714	0.00790228	0.00485554	0.522048	0.431792
a	0.000632995	0.000899134	0.000389996	0.000384283	0.538612	0.459082
n	0.000283384	0.000852044	0.000802261	0.000789231	0.576571	0.420702
y	0.00278478	0.00517232	0.00332326	0.00219992	0.19769	0.788829
i	0.000617168	0.000261073	0.000358048	0.000746827	0.278035	0.719982
</S>	0.00083669	0.000257231	0.00775154	0.00954127	0.163443	0.818171
