 	il	a	les	yeux	bouffis	de	sommeil	</S>
w	0.761524	0.077337	0.144488	0.00680429	0.000674009	0.00455142	0.00297629	0.00164413
a	0.678899	0.130612	0.139932	0.0257523	6.32522e-05	0.0180616	0.00476269	0.00191665
m	0.0717902	0.245277	0.531599	0.109577	0.0191063	0.0182698	0.000490166	0.003891
í	0.0137936	0.0999861	0.0557979	0.733815	0.0013039	0.00147134	0.000424139	0.0934081
s	0.0406783	0.103656	0.0488585	0.744454	0.00404643	0.00465887	0.00195668	0.0516914
i	0.217863	0.212178	0.316326	0.159703	0.00358411	0.00930021	0.00224508	0.0788
á	0.082544	0.156771	0.523284	0.0665104	0.0256489	0.0261501	0.00293954	0.116152
m	0.00346509	0.0722265	0.204728	0.0796089	0.555918	0.0668882	0.00281444	0.0143509
i	0.000835052	0.040503	0.0667339	0.33172	0.202415	0.220778	0.0067179	0.130298
f	0.000288722	0.00815994	0.0127255	0.0546921	0.878019	0.0336014	0.00258144	0.00993218
ú	5.52394e-05	0.00234536	0.00689735	0.00203597	0.95046	0.0221785	0.00483141	0.0111959
ú	1.93349e-05	0.000693173	0.000734088	0.000590107	0.924417	0.0515829	0.00701262	0.0149504
s	0.011491	0.0260252	0.0958236	0.000627397	0.103848	0.377323	0.0845929	0.300268
á	0.00271111	0.0106425	0.0592394	0.00161176	0.0202072	0.354812	0.0386585	0.512118
l	0.00409308	0.00613093	0.158128	0.000744639	0.00779235	0.43446	0.323644	0.0650069
a	0.00443824	0.00723783	0.0351596	0.000497883	0.00342809	0.136618	0.250151	0.56247
f	0.00330255	0.00345331	0.0181298	0.000582354	0.00126777	0.0874137	0.794276	0.0915744
u	0.000679964	0.0012496	0.00276062	1.44052e-05	0.00353807	0.0383634	0.914502	0.0388915
l	4.86254e-05	0.000195324	0.00663572	5.18787e-05	0.036951	0.054093	0.739326	0.162699
ú	0.000188988	0.000346334	0.00230484	2.07861e-05	0.0417106	0.185783	0.630962	0.138683
</S>	0.000490735	0.00139841	0.0168595	5.5944e-05	0.00499652	0.222604	0.233097	0.520498
