 	le	héron	a	une	tête	ressortie	et	un	long	bec	</S>
k	0.333288	0.491264	0.076279	0.0096118	0.0278261	0.00416444	0.0362785	0.0148498	0.00612236	0.000211789	0.000103928
ú	0.0599825	0.876924	0.0176685	0.0108976	0.0136137	0.00908738	0.00475824	0.00366179	0.00192643	0.00120122	0.000279067
n	0.0269478	0.794997	0.0393878	0.0228256	0.0302112	0.0457647	0.0119529	0.0119261	0.0055124	0.00723982	0.00323429
y	0.057059	0.122145	0.263637	0.136847	0.0355818	0.0255407	0.0737679	0.207188	0.0276106	0.0254821	0.0251403
ε	0.244011	0.686562	0.0175853	0.0087503	0.0113454	0.00627779	0.00596906	0.0107959	0.000515984	0.00197334	0.00621434
a	0.188792	0.0428198	0.405542	0.175152	0.115568	0.016734	0.013625	0.00742743	0.0105762	0.00107605	0.0226887
d	0.0362581	0.0105381	0.341254	0.237148	0.0910313	0.0410284	0.0438739	0.0374325	0.0860983	0.0104231	0.0649144
í	0.0079944	0.00315051	0.186645	0.261096	0.0451642	0.0512966	0.0661881	0.0663237	0.063655	0.00185541	0.24663
l	0.0148052	0.00235955	0.0799604	0.174301	0.140903	0.360019	0.110133	0.0366461	0.033656	0.00931521	0.037902
i	0.00674313	0.00399944	0.0446089	0.211576	0.0561496	0.19139	0.161858	0.0623589	0.0305445	0.00830867	0.222462
k	0.00658477	0.00381134	0.0131459	0.114179	0.0985786	0.483735	0.118287	0.0746814	0.0232032	0.0176452	0.0461484
ώ	0.000679139	0.000749956	0.000865441	0.0157585	0.0567249	0.887367	0.00792854	0.00816149	0.0018077	0.0168864	0.00307132
r	0.000960005	0.00342721	0.0040958	0.0395682	0.0718263	0.792343	0.0379305	0.0244734	0.003626	0.00737541	0.0143739
ω	0.0237326	0.0589951	0.0201188	0.165424	0.0525534	0.441603	0.0802251	0.0681701	0.00648954	0.00386339	0.0788251
l	0.0206781	0.00273112	0.0154741	0.0748648	0.0930914	0.206255	0.384053	0.170371	0.0129544	0.000602599	0.0189239
a	0.00833303	0.00187626	0.018234	0.0959448	0.0366862	0.267933	0.207443	0.183378	0.0748445	0.0156051	0.0897219
á	0.0218287	0.00171362	0.015177	0.044663	0.0119623	0.083888	0.241291	0.271978	0.162237	0.0604304	0.0848306
o	0.00676053	0.000828564	0.0133496	0.015334	0.00532493	0.0208865	0.0619917	0.130947	0.665184	0.0230394	0.0563537
t	0.00169971	0.000712126	0.0389121	0.0504512	0.0272268	0.0169417	0.0815625	0.156646	0.420993	0.186413	0.018442
o	0.000516134	0.00159516	0.0026454	0.0186539	0.00869116	0.0904579	0.030206	0.166658	0.176458	0.45824	0.045878
b	0.000395922	0.000699735	0.000629755	0.00853552	0.00669405	0.154811	0.0394895	0.0840794	0.248275	0.308837	0.147553
h	0.00431081	0.00153316	0.00219384	0.0121021	0.010179	0.20353	0.0954359	0.163815	0.0613122	0.120915	0.324673
i	0.0112166	0.00384076	0.00190064	0.0179127	0.0141752	0.0752309	0.0885665	0.225541	0.0488594	0.12139	0.391366
l	0.00887491	0.00243831	0.00390757	0.0101692	0.00595298	0.0250001	0.0587314	0.0947045	0.230791	0.1171	0.442331
a	0.00633056	0.00180401	0.00466634	0.0164726	0.00283786	0.0145126	0.0356173	0.0800907	0.232366	0.149408	0.455894
o	0.00742702	0.000620033	0.00938804	0.0224679	0.00252627	0.00694482	0.0717069	0.0982275	0.173095	0.284186	0.323411
l	0.000845401	0.000233098	0.00792451	0.017888	0.00417645	0.00912564	0.0186438	0.0273391	0.1671	0.678199	0.0685253
a	0.000556855	0.000671507	0.0112305	0.0340364	0.00257033	0.00296879	0.0104407	0.0344336	0.0930854	0.729823	0.0801836
á	0.000377152	0.000196074	0.00197174	0.0150822	0.00173373	0.00192568	0.0282869	0.108452	0.150684	0.52168	0.16961
</S>	0.00645823	0.00148824	0.0215599	0.017314	0.00501714	0.00693604	0.0712513	0.0404203	0.0657502	0.0601878	0.703617
