 	le	père	a	écrit	une	lettre	à	son	fils	qui	est	à	bazzaville	</S>
t	0.559562	0.436924	0.000958695	0.000400692	0.000830063	0.000202745	0.000270343	0.00057825	6.59941e-05	4.58268e-05	2.85738e-05	8.567e-05	4.18698e-05	5.62419e-06
á	0.0489609	0.939359	0.00384985	0.00188177	0.00251444	0.00131526	0.000513359	0.00028539	5.17424e-05	0.000232302	0.000208651	0.000361396	0.000425419	4.08232e-05
á	0.164567	0.352357	0.0956474	0.073205	0.0577302	0.0371071	0.0292972	0.0442255	0.0235921	0.02919	0.0364214	0.0134415	0.00841726	0.0348012
á	0.165374	0.0958264	0.397039	0.0443198	0.0157907	0.0108481	0.039218	0.0398174	0.0176334	0.0347883	0.029678	0.0254707	0.00216906	0.0820264
k	0.00523575	0.0121705	0.332471	0.617156	0.00881871	0.00488925	0.00142906	0.000459743	0.000436182	0.00178483	0.00703857	0.00398908	0.000317007	0.00380413
y	0.00409752	0.0037233	0.0428859	0.889581	0.0216385	0.0153733	0.00489287	0.00102842	0.000517561	0.00294743	0.00417987	0.00244102	0.000132481	0.00656041
έ	0.0770637	0.0168834	0.0663846	0.776421	0.0437238	0.00992956	0.00233099	0.000552809	0.000113145	0.000976729	0.0022229	0.00210463	0.000326057	0.000966171
m	0.123276	0.0200681	0.27773	0.295946	0.0812269	0.0477714	0.0329918	0.0196573	0.00591569	0.0160883	0.0152934	0.012258	0.00428682	0.0474915
b	0.0990622	0.0073088	0.064641	0.142546	0.265958	0.0348539	0.0484666	0.0858762	0.0891289	0.0242243	0.00619274	0.00606291	0.0100634	0.115615
i	0.245337	0.00348374	0.0215632	0.130371	0.253942	0.0509975	0.0553058	0.125721	0.0185939	0.0198383	0.00713257	0.00902501	0.011055	0.0476345
l	0.0707237	0.00667448	0.189827	0.0701701	0.392444	0.103433	0.0510436	0.0577238	0.0205047	0.010866	0.00585346	0.00520029	0.00119211	0.0143431
e	0.00420677	0.000331801	0.0139027	0.159468	0.516575	0.159431	0.0359384	0.0164284	0.00280196	0.0198406	0.0103177	0.00712418	0.00832793	0.045305
k	0.00147652	7.73933e-05	0.00355481	0.0215589	0.558909	0.290807	0.0495752	0.0218282	0.00823412	0.009362	0.00234999	0.00194578	0.00851743	0.0218037
á	0.000396397	7.72334e-05	0.00336056	0.0321821	0.165064	0.757384	0.021429	0.00201645	0.000231001	0.00358043	0.00408628	0.000963467	0.000998528	0.00823107
s	0.00398219	0.0002428	0.020243	0.150885	0.0983832	0.484837	0.0521969	0.00855174	0.00502146	0.016358	0.0275158	0.00547565	0.000807135	0.1255
