 	elle	se	prépara	deux	jours	en	avance	</S>
w	0.784255	0.176274	0.0022277	0.0334455	0.0017577	0.00167282	0.000330327	3.70408e-05
a	0.703969	0.154672	0.000321387	0.126808	0.00330083	0.00215276	0.00874413	3.12238e-05
a	0.379612	0.468521	0.0165249	0.0693062	0.0216892	0.0302198	0.00319478	0.0109315
b	0.0762758	0.515136	0.0727077	0.118333	0.0620569	0.0863537	0.0155656	0.0535713
á	0.047333	0.704662	0.0460067	0.0818708	0.0441984	0.0337598	0.00550579	0.0366632
á	0.0268485	0.155488	0.367181	0.0652475	0.0153076	0.0395177	0.0134039	0.317006
n	0.171793	0.226533	0.394123	0.128391	0.0206137	0.0307781	0.0083668	0.0194012
d	0.225207	0.165119	0.28504	0.22651	0.00340818	0.0164009	0.0028522	0.0754628
í	0.106821	0.0476671	0.737248	0.0633235	0.00566468	0.00504711	0.00169134	0.0325369
ω	0.174418	0.143385	0.386259	0.0817269	0.0394711	0.0386502	0.0121098	0.123979
y	0.00199784	0.0234789	0.823237	0.0181019	0.113503	0.00818726	0.00850705	0.00298712
ε	0.00238483	0.0162789	0.919477	0.0127532	0.00706892	0.0122968	0.0042757	0.025465
m	0.00468115	0.0159616	0.402108	0.0189003	0.0408444	0.0605553	0.0169504	0.439999
έ	0.0365718	0.0418102	0.252401	0.138849	0.328873	0.0853522	0.0161179	0.100024
n	0.0122118	0.025156	0.300194	0.246918	0.246175	0.0826841	0.0172591	0.0694017
έ	0.0180848	0.0169161	0.106493	0.70208	0.0299139	0.0337896	0.00339741	0.089325
i	0.00738619	0.00690938	0.065447	0.71608	0.0776104	0.0990893	0.0051028	0.0223751
k	0.0099281	0.0165107	0.043036	0.0944532	0.706603	0.0667794	0.0449854	0.0177042
ω	0.000233639	0.00225652	0.00523567	0.0108379	0.940109	0.00966898	0.0243471	0.00731155
ω	0.000156111	0.00131965	0.00632913	0.0185591	0.904303	0.0221739	0.0125415	0.0346177
í	0.00507874	0.00589697	0.00766588	0.174674	0.0741351	0.623248	0.0416009	0.067701
b	0.0099731	0.0656515	0.0260341	0.141198	0.0236164	0.558681	0.122255	0.0525916
a	0.00142747	0.0402683	0.00396331	0.177944	0.0265811	0.184546	0.380504	0.184766
a	0.00099788	0.00571666	0.0106786	0.104221	0.0354727	0.176976	0.297466	0.368472
m	0.0054865	0.00684191	0.00430638	0.070394	0.00304868	0.39204	0.211315	0.306567
ó	0.00294154	0.0147148	0.00232286	0.103821	0.00626603	0.373528	0.309726	0.186679
b	0.000737669	0.00303283	0.00272504	0.126727	0.0160543	0.180018	0.525755	0.144951
o	0.00232931	0.00906959	0.00469356	0.0688509	0.0342062	0.0769511	0.732022	0.0718773
s	0.000171353	0.000816466	0.00355464	0.0145049	0.0447198	0.0603494	0.621374	0.25451
ó	0.000256944	0.00130064	0.00497736	0.0127442	0.0207399	0.0426132	0.77838	0.138988
</S>	0.00123465	0.00259995	0.00511179	0.0463203	0.00589	0.158874	0.161676	0.618293
