 	j'	ai	mal	au	ventre	</S>
n	0.818392	0.0903398	0.0556425	0.0287023	0.00418589	0.0027371
g	0.979337	0.0127306	0.00680752	0.00078883	0.000199101	0.000136696
á	0.955298	0.0215467	0.0193852	0.00176387	0.00193543	7.03679e-05
l	0.104998	0.307549	0.386377	0.110179	0.0619747	0.0289225
í	0.437692	0.205323	0.1396	0.0537308	0.0162594	0.147395
i	0.0788168	0.241337	0.290245	0.141733	0.0207665	0.227102
b	0.00547645	0.247723	0.383663	0.279957	0.0353533	0.0478265
ó	0.000707115	0.21835	0.427165	0.276477	0.0495833	0.0277181
n	0.00129288	0.0858084	0.258486	0.276953	0.189882	0.187578
d	0.0028795	0.0647518	0.208717	0.186227	0.120562	0.416864
á	0.0019727	0.0450642	0.116359	0.0889201	0.312558	0.435126
o	0.0144347	0.150864	0.256317	0.308728	0.215	0.0546566
l	0.000251596	0.00542357	0.0197683	0.215601	0.708057	0.0508984
a	7.70628e-05	0.0108453	0.0375396	0.179473	0.671878	0.100186
n	0.000124659	0.0126538	0.0362318	0.136883	0.556607	0.2575
d	0.000584043	0.023175	0.049365	0.151931	0.411146	0.363799
i	0.000236241	0.00434995	0.0122707	0.0180747	0.672015	0.293053
m	0.00131423	0.00509731	0.0139208	0.0397013	0.449864	0.490102
í	0.00227995	0.0500215	0.118124	0.161857	0.150872	0.516846
f	0.0032224	0.0501236	0.0610914	0.126868	0.403582	0.355113
ú	0.00385361	0.00853347	0.012527	0.0527687	0.761921	0.160396
n	0.000395797	0.000502538	0.00193615	0.0049893	0.93376	0.0584164
d	0.00694286	0.00323656	0.00788561	0.00901282	0.862596	0.110326
ú	0.00177108	0.00267535	0.00576229	0.00779609	0.367958	0.614037
</S>	0.0106156	0.00663236	0.00768555	0.0121031	0.731693	0.231271
