 	le	chauffeur	tourne	le	volant	pour	garer	sa	voiture	</S>
o	0.829569	0.138794	0.0112418	0.00878255	0.000622846	0.00570369	0.00206291	0.00225504	0.000902606	6.52477e-05
b	0.418201	0.468626	0.0524272	0.00745475	0.0195925	0.00359728	0.0096188	0.00384271	0.010513	0.00612767
h	0.17517	0.628219	0.107534	0.0109251	0.0200724	0.00897758	0.026754	0.00897792	0.00810926	0.00526023
é	0.142941	0.738353	0.0418492	0.0124111	0.0109831	0.0159637	0.0120228	0.0105556	0.00683334	0.00808653
m	0.224052	0.74735	0.00347051	0.00218165	0.00106859	0.00546421	0.000986036	0.00250684	0.00854008	0.00437963
b	0.210996	0.707152	0.0229708	0.00889889	0.00571453	0.0181065	0.00283258	0.00410181	0.00171192	0.0175158
i	0.195566	0.712468	0.0276332	0.01262	0.0027844	0.0169994	0.00178717	0.00460687	0.00108504	0.0244499
s	0.312949	0.449723	0.154485	0.0285508	0.00485691	0.0153461	0.00575268	0.00808546	0.00290927	0.0173417
i	0.534335	0.221132	0.110812	0.05034	0.0206897	0.0140656	0.00516893	0.00740915	0.0033182	0.0327293
o	0.791526	0.0938008	0.042064	0.0267821	0.00518192	0.0152584	0.0042385	0.00820899	0.00239085	0.0105484
t	0.142597	0.185624	0.641759	0.00639668	0.0192057	0.000467725	0.00075287	0.000172754	0.000709235	0.00231481
ω	0.0413529	0.144945	0.7736	0.0130824	0.0189301	0.000648574	0.000523	0.000274377	0.000699673	0.00594352
m	0.0495126	0.220759	0.580429	0.061229	0.0364055	0.00540458	0.00621953	0.00277843	0.0108071	0.0264555
b	0.184345	0.282765	0.167847	0.183398	0.0595907	0.0759587	0.00982768	0.0161045	0.0024078	0.0177559
í	0.0399755	0.382378	0.231949	0.0869704	0.0132444	0.0946358	0.0105677	0.0390882	0.0103295	0.0908611
l	0.149903	0.102253	0.313963	0.303936	0.0183894	0.0438253	0.0116492	0.0138867	0.0044515	0.0377437
i	0.0606365	0.0331053	0.154553	0.220611	0.0830961	0.0763416	0.056714	0.055541	0.0119416	0.24746
l	0.0677494	0.00949103	0.133924	0.518289	0.128013	0.0405234	0.0194327	0.0161042	0.00390235	0.0625704
á	0.0262952	0.00694225	0.0726482	0.282173	0.283513	0.0336422	0.0293234	0.0163041	0.00705165	0.242107
a	0.0234846	0.00659668	0.0238146	0.347042	0.373229	0.0524838	0.0395579	0.0282179	0.0111176	0.0944561
n	0.0135827	0.00716708	0.0330689	0.1412	0.718402	0.0108879	0.0330479	0.00279242	0.016132	0.0237199
y	0.0191078	0.0111518	0.0233187	0.173547	0.659981	0.0128655	0.0169498	0.00362546	0.010136	0.0693164
i	0.0235676	0.00950412	0.0193074	0.11664	0.647148	0.024915	0.0329662	0.00639142	0.0568805	0.0626797
á	0.0090117	0.00832593	0.0226795	0.131448	0.72334	0.00957986	0.0148979	0.00240555	0.0379295	0.0403817
y	0.0109777	0.0017585	0.00713993	0.188316	0.204688	0.451071	0.0842753	0.0273874	0.00903168	0.0153545
i	0.0128254	0.00386136	0.0127392	0.113174	0.219064	0.234899	0.167997	0.0647302	0.0164636	0.154246
n	0.0120966	0.00182138	0.00343369	0.0593181	0.144452	0.376826	0.271108	0.0625053	0.0246727	0.0437663
d	0.0151533	0.00278276	0.00560154	0.142436	0.204856	0.265087	0.170996	0.0469877	0.0211044	0.124996
a	0.00113073	0.00121097	0.0026187	0.0388869	0.321404	0.115764	0.239687	0.0231983	0.0414944	0.214605
m	0.000612491	0.000717949	0.00160085	0.0611548	0.176012	0.133567	0.158313	0.0759642	0.0525079	0.339551
í	0.0303081	0.00427046	0.00168116	0.0183004	0.0187409	0.336881	0.155857	0.14009	0.0315187	0.262353
k	0.00898775	0.00107524	0.0015692	0.0109108	0.0170829	0.129018	0.368027	0.186236	0.138277	0.138816
a	0.000236998	0.000737144	0.00169536	0.00368634	0.00884033	0.0253407	0.393087	0.0660105	0.423891	0.0764747
l	0.00173629	0.00167817	0.00724592	0.00502058	0.0175947	0.0324171	0.284172	0.0599968	0.430071	0.160067
i	0.000247717	0.000730612	0.00340129	0.00498739	0.0213173	0.0472568	0.509406	0.083256	0.171507	0.157891
s	0.00205364	0.000893625	0.00221443	0.0109058	0.00670897	0.0821682	0.156602	0.228945	0.192309	0.317199
a	0.00448139	0.00151958	0.00295456	0.0140071	0.0168776	0.0957111	0.224863	0.159221	0.202401	0.277964
l	0.0573794	0.00346795	0.000917528	0.0110872	0.00396307	0.119365	0.0729051	0.399773	0.0934412	0.237701
ó	0.0241808	0.00977493	0.00936007	0.0222056	0.0297267	0.0555407	0.117263	0.0942149	0.185787	0.451946
t	0.00188602	0.000339358	0.000672769	0.0123396	0.00865343	0.0977701	0.108971	0.201447	0.155431	0.41249
ω	0.000346123	0.00119253	0.00113617	0.00539683	0.00548054	0.0303056	0.0748449	0.1341	0.584976	0.162221
m	0.000429232	0.000161622	0.000377688	0.000712965	0.00259521	0.00746491	0.0355895	0.0278352	0.865976	0.0588579
b	0.00417171	0.00512166	0.000679246	0.00529514	0.00466198	0.074149	0.0546986	0.139981	0.509697	0.201545
í	0.0202831	0.00505993	0.00139323	0.00736559	0.00326466	0.150858	0.0472434	0.247871	0.176997	0.339664
l	0.0108483	0.00160279	0.00110119	0.00485118	0.00219187	0.0729584	0.0510438	0.229619	0.165252	0.460532
i	0.00402791	0.00201962	0.00156611	0.00445449	0.0048879	0.0381699	0.0801669	0.177797	0.22387	0.46304
</S>	0.00429539	0.000653659	0.00084338	0.00774596	0.00367341	0.0660971	0.0524996	0.295947	0.0555176	0.512727
