 	elle	brandit	un	couteau	</S>
w	0.992224	0.000667044	0.00645114	0.000539489	0.000118415
a	0.962879	0.000817785	0.0238838	0.0116263	0.000792603
a	0.721953	0.112603	0.132909	0.00165863	0.0308768
p	0.0855252	0.61904	0.198164	0.0267475	0.070524
f	0.0158535	0.870785	0.0143917	0.0141537	0.0848162
o	0.00661268	0.984269	0.00407797	0.00390819	0.00113254
o	0.0472274	0.727384	0.152894	0.0587773	0.0137173
s	0.0223418	0.097719	0.851847	0.017532	0.0105606
í	0.0217573	0.0462481	0.663547	0.00439509	0.264053
i	0.0199027	0.00532748	0.654247	0.268766	0.0517569
b	0.00159034	0.0304911	0.0330657	0.915972	0.0188814
á	0.000191719	0.00122057	0.00256832	0.994349	0.00167004
á	0.00125684	0.000557928	0.00855489	0.982481	0.00714935
</S>	0.0180255	0.00235938	0.114338	0.374332	0.490945
