 	montre-moi	la	différence	entre	ces	deux	choses	</S>
m	0.563732	0.29867	0.0631821	0.0507074	0.0106158	0.0124179	0.000517379	0.000157855
ó	0.364588	0.305888	0.0648269	0.0336425	0.0295331	0.141154	0.00463076	0.0557376
s	0.443916	0.454544	0.0291573	0.0258038	0.0198144	0.016584	0.00484067	0.00533932
e	0.765671	0.149875	0.059862	0.00703823	0.00445146	0.0036876	0.000725229	0.00868931
r	0.418378	0.215399	0.192805	0.0279062	0.0144176	0.0159105	0.00348008	0.111704
έ	0.589651	0.316159	0.0549371	0.0115719	0.00709178	0.00317862	0.000819649	0.0165908
n	0.135079	0.554631	0.205676	0.0370382	0.0114746	0.0119905	0.00170252	0.0424081
g	0.368175	0.572026	0.024955	0.0123501	0.00492446	0.00423505	0.000412552	0.0129226
á	0.353252	0.630355	0.00854016	0.00605655	0.000879821	0.000310034	0.00016439	0.000441718
p	0.0897555	0.611926	0.0884998	0.13574	0.0329716	0.0217395	0.00350829	0.0158596
é	0.080291	0.128518	0.704519	0.0590251	0.012397	0.00229901	0.00731187	0.00563886
r	0.045101	0.0636129	0.633742	0.20104	0.0186144	0.00916748	0.00518744	0.0235351
é	0.202179	0.15458	0.416687	0.166465	0.0215056	0.00990533	0.00543472	0.0232431
n	0.0952711	0.151651	0.259661	0.393934	0.0414028	0.0323513	0.00374584	0.0219832
á	0.115249	0.169508	0.17495	0.381478	0.0457127	0.0316245	0.00698716	0.0744914
y	0.0191893	0.0764924	0.108689	0.589144	0.136245	0.0339976	0.0133936	0.0228494
á	0.113469	0.0912295	0.123349	0.467829	0.136372	0.0168182	0.0180901	0.032844
m	0.018025	0.054942	0.0775658	0.417976	0.355834	0.0362219	0.031373	0.00806217
y	0.0376052	0.0571513	0.0885111	0.139896	0.401391	0.164409	0.0169431	0.0940937
e	0.0273044	0.0267224	0.15405	0.166751	0.477755	0.038127	0.0319519	0.077339
r	0.022536	0.0138677	0.0751634	0.270182	0.407189	0.0889976	0.0661744	0.0558903
é	0.145074	0.11529	0.0364754	0.196163	0.326232	0.0900359	0.0152696	0.0754607
m	0.0110193	0.0123056	0.00619521	0.141429	0.286272	0.270902	0.0583702	0.213507
í	0.0250484	0.0166617	0.0288666	0.0899155	0.303618	0.136352	0.0678598	0.331678
í	0.00380583	0.00231469	0.00387559	0.0508826	0.13895	0.252818	0.425038	0.122315
b	0.00751897	0.00447105	0.0176179	0.0452949	0.0828775	0.392622	0.198349	0.251249
a	0.0016811	0.00210334	0.0119307	0.0442463	0.164557	0.272184	0.340916	0.162381
á	0.00108852	0.00156306	0.0105385	0.022587	0.113793	0.266573	0.143798	0.440059
</S>	0.00453027	0.0101461	0.00766914	0.0171239	0.0826606	0.421718	0.0793882	0.376764
