 	je	joins	les	planches	pour	fabriquer	un	luth	</S>
n	0.964496	0.00216038	0.0124808	0.0124525	0.00493644	0.00194783	0.000940456	0.000566999	1.83051e-05
g	0.983055	0.00332878	0.00710163	0.000490964	0.00134442	0.00411373	0.000433037	6.44007e-05	6.76078e-05
á	0.964934	0.0180873	0.00927431	0.000738294	0.00159066	0.00394388	0.000596776	0.00077903	5.60873e-05
l	0.126177	0.00748109	0.0375723	0.00573843	0.0143561	0.031781	0.0168472	0.0239877	0.736059
í	0.583843	0.013787	0.134538	0.0246899	0.0607442	0.0620369	0.0355749	0.0296229	0.0551643
i	0.0263017	0.0873236	0.310491	0.0521139	0.150253	0.187996	0.0566847	0.0312314	0.0976058
y	0.00477358	0.875563	0.0700042	0.00625244	0.00859735	0.0059355	0.00298323	0.00233086	0.0235602
o	4.93467e-05	0.995781	0.0034935	0.000211741	8.26884e-05	0.000102562	8.88658e-06	3.41016e-06	0.000267233
n	0.0240209	0.865375	0.0969711	0.00107835	0.00193528	0.00477116	0.00137181	0.00021577	0.00426036
g	0.00796055	0.122227	0.742477	0.0429501	0.0419447	0.0194987	0.0101787	0.00250058	0.0102631
á	0.135627	0.0769763	0.56557	0.0193863	0.0370536	0.0817903	0.023569	0.00844869	0.0515783
a	0.00705397	0.00389695	0.438954	0.293091	0.158872	0.0582071	0.0201593	0.0162441	0.00352074
b	0.000661075	0.00630095	0.208621	0.496082	0.217655	0.0594145	0.0064751	0.00256103	0.00223007
á	0.000367682	4.64744e-05	0.0444398	0.737291	0.155924	0.0446839	0.00990544	0.00502197	0.00231962
y	0.00405994	5.2037e-05	0.0235676	0.790898	0.105903	0.0364418	0.00979237	0.00399685	0.0252884
á	0.000577121	0.0110185	0.364447	0.184987	0.240836	0.133629	0.0288425	0.00483547	0.0308271
m	0.00167816	0.00229586	0.0456068	0.0432644	0.39835	0.354964	0.103409	0.0168398	0.033592
í	0.000452098	0.00205388	0.0144668	0.00698566	0.0766312	0.246726	0.110221	0.0539725	0.488491
b	0.000713702	0.000112481	0.0345006	0.0334297	0.270124	0.243278	0.156525	0.202673	0.0586431
ω	0.000355798	2.66943e-05	0.0105773	0.0792594	0.153441	0.46808	0.0847849	0.18048	0.0229946
n	3.04711e-05	2.87663e-05	0.00552202	0.0361068	0.103764	0.491252	0.188266	0.136745	0.0382846
g	8.0769e-05	0.00122111	0.015957	0.0202953	0.134799	0.562423	0.128306	0.0072622	0.129656
ω	9.87045e-05	0.000246473	0.00633179	0.00870564	0.0498195	0.674999	0.145005	0.0383464	0.076447
l	0.000308759	0.000120729	0.00820428	0.00495887	0.0509728	0.0580679	0.362931	0.209799	0.304637
ó	0.00134912	0.00136774	0.051634	0.0128721	0.150563	0.173607	0.258263	0.118807	0.231536
b	0.00484234	0.00131022	0.0143782	0.00265155	0.0365176	0.0950032	0.102614	0.430912	0.311771
é	0.000294411	1.64685e-05	0.0129164	0.123699	0.150701	0.0875552	0.159363	0.446289	0.019165
é	6.54361e-05	3.55112e-05	0.00122582	0.0177262	0.034632	0.0407228	0.0691126	0.525254	0.311225
</S>	0.000865921	0.00025006	0.019929	0.0127194	0.0662275	0.0193252	0.120516	0.341082	0.419085
