 	sur	la	route	qui	mène	à	ekyembe	il	y	a	avait	cent	vaches	dans	un	enclos	</S>
o	0.452281	0.415975	0.0974584	0.0196454	2.04354e-05	0.00388139	0.0015855	0.00100138	0.00284031	0.00175837	0.000872129	0.00130015	0.000129202	0.000757308	0.000415868	6.32177e-05	1.4662e-05
k	0.0949999	0.557788	0.220367	0.0489603	0.020144	0.00671184	0.00242744	0.00240725	0.00293516	0.00266844	0.00487972	0.00318714	0.00600604	0.00256752	0.00494741	0.0115926	0.00740959
ó	0.0230202	0.280156	0.563873	0.00545852	0.0131239	0.0145046	0.0069223	0.00389948	0.0121297	0.00656833	0.0038003	0.00175907	0.00187865	0.0015515	0.00672841	0.0423712	0.0122553
ó	0.0269141	0.352332	0.561007	0.0156506	0.0049685	0.0165393	0.0048576	0.00243868	0.00199775	0.0017102	0.00115113	0.0011221	0.00129797	0.000703101	0.00102688	0.00423656	0.00204721
y	0.16076	0.0570336	0.189606	0.526493	0.0124613	0.0153447	0.00351983	0.00313555	0.00485973	0.00312834	0.00256055	0.0036807	0.000713367	0.00612918	0.00275137	0.000367542	0.00745544
e	0.132048	0.0890723	0.156317	0.308602	0.0483983	0.0372172	0.0245267	0.0166966	0.0233667	0.0212871	0.0164835	0.0172896	0.0266813	0.031673	0.0132776	0.00121486	0.0358482
k	0.228224	0.0467428	0.0970395	0.305049	0.0489351	0.026892	0.0411905	0.0245736	0.0109848	0.0186229	0.0136714	0.0135668	0.064293	0.0244211	0.0050717	0.00215992	0.0285617
y	0.0535762	0.0776199	0.365264	0.0492491	0.110741	0.0516996	0.0527034	0.0169472	0.0147333	0.00852202	0.00965285	0.00317817	0.0183032	0.00234301	0.00211005	0.147475	0.0158822
e	0.0270076	0.0717416	0.214954	0.0192521	0.0895527	0.1017	0.147281	0.0323059	0.0295097	0.0177225	0.0105983	0.0104133	0.112659	0.00722712	0.00386765	0.0583545	0.0458536
m	0.00361221	0.0245416	0.219129	0.0609843	0.0468256	0.138874	0.058652	0.0198122	0.0354718	0.01814	0.0109645	0.0207384	0.0134316	0.05048	0.0180076	0.043806	0.216529
b	0.0545044	0.0183795	0.0294404	0.105521	0.0567455	0.188553	0.302548	0.0457003	0.0318792	0.0153616	0.021617	0.0255912	0.0328287	0.0193835	0.00862659	0.00308276	0.0402365
é	0.041565	0.0429179	0.0282736	0.0935388	0.0460504	0.192472	0.213995	0.0583616	0.0413954	0.0128385	0.0151457	0.0191638	0.0283165	0.030965	0.0068034	0.00880119	0.119397
á	0.0128162	0.00593891	0.0475253	0.148772	0.0503187	0.360796	0.129766	0.0503011	0.0516878	0.040347	0.020125	0.0150064	0.0117133	0.0125394	0.00982985	0.00282594	0.0296908
d	0.00378112	0.00354347	0.0121995	0.0967901	0.282942	0.188169	0.149296	0.0302247	0.0441122	0.0637189	0.026721	0.0174207	0.0161079	0.0192752	0.0168874	0.00906481	0.0197462
z	0.00361715	0.00134958	0.000979263	0.0489244	0.478205	0.1062	0.0490667	0.0194871	0.0390333	0.0425246	0.0500114	0.0160291	0.00481584	0.0334439	0.0111702	0.00527022	0.0898721
á	0.00263514	0.000789355	0.00130742	0.0602924	0.690231	0.0321187	0.094327	0.0104333	0.017543	0.0231163	0.0349291	0.00639971	0.0140151	0.00589166	0.00160115	0.000734812	0.00363509
l	0.0016288	0.000675625	0.00626998	0.028039	0.0217831	0.0461937	0.0708014	0.0988158	0.239763	0.162579	0.0911442	0.0731604	0.0434755	0.0518146	0.0291619	0.00496674	0.0297273
a	0.00204113	0.00107904	0.00308981	0.00851549	0.0177765	0.0795171	0.136275	0.0917004	0.180586	0.12933	0.047329	0.0445269	0.0787998	0.0200276	0.0254609	0.0135232	0.120423
n	0.00191031	0.00115523	0.00105066	0.00871188	0.00733506	0.0242898	0.0897523	0.153117	0.134999	0.111828	0.0327682	0.0637876	0.279078	0.012063	0.011679	0.0379601	0.0285141
g	0.00139735	0.0010557	0.000125411	0.00230928	0.001188	0.00929886	0.0458581	0.0161708	0.012683	0.0301453	0.0100878	0.0434984	0.773253	0.0347909	0.00613413	0.0031237	0.00888076
w	0.000169829	0.00126589	0.000246182	0.00695598	0.00371881	0.0101037	0.0501662	0.0237197	0.0119802	0.036161	0.0198393	0.0401807	0.743478	0.0315415	0.00415833	0.0134156	0.00289921
έ	6.81496e-05	0.00023049	0.000158175	0.000477581	0.00285147	0.0159797	0.14861	0.0352922	0.0765809	0.0746203	0.0571033	0.0880984	0.381926	0.0327767	0.0238554	0.0294701	0.0319014
m	0.000107939	0.000181043	0.000379781	0.00120805	0.00194433	0.0333654	0.0855671	0.0255915	0.108188	0.0622757	0.0385254	0.177995	0.0846415	0.211116	0.0688203	0.0286863	0.0714069
b	0.000627333	0.000722838	0.00146798	0.0027054	0.00119516	0.0208809	0.0796428	0.0750141	0.155552	0.0654752	0.0188212	0.121521	0.150172	0.0749187	0.0632602	0.0077021	0.160322
ε	0.00102076	0.00123734	0.000211432	0.00226523	0.00109305	0.0348105	0.163928	0.018303	0.038715	0.0290159	0.0268973	0.167336	0.264318	0.104581	0.0521276	0.0191985	0.0749415
k	0.00181615	0.000445729	0.000653537	0.00962627	0.000231897	0.00777009	0.0110707	0.0436325	0.0884837	0.0936369	0.105549	0.150122	0.0477814	0.285897	0.133892	0.00666525	0.0127259
á	0.00214322	0.0094983	0.0239816	0.00301355	0.00103375	0.00881697	0.0107881	0.0358319	0.160859	0.0966643	0.0585688	0.0459847	0.0667314	0.0839624	0.0791159	0.236049	0.0769574
m	0.00111803	0.00264285	0.00500325	0.00124924	0.000813016	0.0064585	0.00749809	0.0547568	0.0857255	0.048574	0.0721611	0.046786	0.059476	0.191748	0.0968892	0.252283	0.0668178
á	0.000682861	0.000271767	0.000131041	0.000432825	4.16617e-05	0.00153635	0.00592791	0.0285548	0.0212104	0.033468	0.0736833	0.341419	0.0333216	0.124272	0.296294	0.0200694	0.0186833
s	0.00351042	0.000784351	0.00129492	0.00279567	0.00148639	0.00441786	0.00477688	0.00903907	0.0180122	0.0290177	0.0379612	0.064751	0.0245183	0.171051	0.387201	0.159482	0.0799
í	0.000906331	0.000657017	0.000107218	0.00287748	0.00598806	0.00374298	0.00617483	0.00242431	0.00392666	0.0158839	0.0351057	0.0238862	0.0377132	0.377024	0.259	0.0952269	0.129355
b	0.00108123	0.000720027	0.000380866	0.00297201	0.000791876	0.00107566	0.00209535	0.00496207	0.012352	0.0188502	0.0293988	0.01933	0.0139523	0.161219	0.222357	0.381945	0.126516
h	0.0018864	0.00566355	0.00158714	0.00414412	2.72415e-05	0.00174676	0.00261825	0.00849171	0.0132318	0.0148113	0.027401	0.0205592	0.00457764	0.130088	0.227133	0.511745	0.0242885
á	0.000305022	0.000127949	5.42879e-05	7.93181e-05	0.00010219	0.00102848	0.00337369	0.00361898	0.00453123	0.00370007	0.0107169	0.0200408	0.00419954	0.0522842	0.0428701	0.717501	0.135466
n	0.000332181	0.000127057	0.000310052	0.000193517	0.000195249	0.00214081	0.0030549	0.00368788	0.0110043	0.0137219	0.0254807	0.0352414	0.0183555	0.178358	0.28169	0.168665	0.257441
g	0.00052445	0.00129601	0.000361978	0.000942786	0.00078978	0.00810456	0.011901	0.00487834	0.00591941	0.00566625	0.010614	0.0158716	0.0249435	0.0999892	0.108368	0.539024	0.160805
á	0.000146419	0.000621232	6.76567e-05	0.000716878	0.000195526	0.00260076	0.00524505	0.00299294	0.00269912	0.00460427	0.00683807	0.0249598	0.169513	0.188677	0.0641673	0.303685	0.222269
</S>	0.000753159	0.000172074	0.000300236	0.000988304	0.00039475	0.00478747	0.00616122	0.00660983	0.0125441	0.01195	0.0138152	0.0334037	0.00892777	0.101692	0.178741	0.158771	0.459988
