 	l'	enfant	mangeait	calmement	</S>
m	0.784271	0.21448	0.000481881	0.000690538	7.63743e-05
w	0.00922498	0.990106	5.81796e-05	7.13403e-05	0.000539532
á	0.0101106	0.989812	1.39351e-05	2.85893e-05	3.46838e-05
n	0.314204	0.684886	4.84902e-05	0.000114844	0.000746363
a	0.25177	0.649472	0.0141904	0.00876526	0.0758029
á	0.86338	0.0806627	0.0300392	0.0146618	0.0112564
d	0.0763819	0.0245471	0.829435	0.0243088	0.0453273
z	0.0585514	0.00647001	0.890564	0.00724567	0.0371686
e	0.749994	0.0255162	0.197906	0.0060986	0.0204858
l	0.0210061	0.00849627	0.68635	0.137569	0.146578
á	0.0168496	0.00307105	0.194715	0.402777	0.382587
a	0.163318	0.0270332	0.272565	0.44522	0.0918633
d	0.00106915	0.00195799	0.307443	0.652675	0.0368545
z	0.000240623	5.92668e-05	0.782254	0.172893	0.0445528
á	0.00415775	0.00321754	0.77369	0.107499	0.111436
á	0.0186903	0.000848328	0.230289	0.157453	0.592719
p	0.0030524	0.000486663	0.0898235	0.372408	0.534229
í	0.00472752	0.000660535	0.0426014	0.578258	0.373753
</S>	0.0107662	0.00191195	0.0582381	0.356901	0.572183
