 	l'	enfant	qui	était	en	train	de	pleurer	s'	est	calmé	</S>
m	0.834969	0.124127	0.0114612	0.0025773	0.00795934	0.00182267	0.0109305	0.000163279	0.0022271	0.00145716	0.00163033	0.000674547
w	0.0112695	0.956243	0.0133314	0.000792957	0.00851832	0.00175173	0.00148255	0.000524217	0.00105343	0.00037053	3.91755e-05	0.00462275
á	0.00470062	0.993234	0.000238629	0.00114044	0.000248149	0.000118355	0.000128891	0.000145937	1.70768e-05	5.72575e-06	7.10732e-06	1.55825e-05
n	0.157518	0.821757	0.00292153	0.000842396	0.00330284	0.00653728	0.00334742	0.00039573	0.000679328	0.000185094	0.000248448	0.00226444
a	0.249078	0.364429	0.0375417	0.032801	0.0416768	0.0210882	0.0528059	0.0918523	0.0175227	0.00385141	0.0016463	0.0857063
y	0.460901	0.0698105	0.260553	0.0328777	0.0361865	0.0114496	0.053565	0.00610445	0.0252743	0.0352806	0.000857098	0.00714006
e	0.225549	0.0261598	0.204349	0.127593	0.0679056	0.0168694	0.250098	0.00723003	0.0382779	0.0149452	0.00215832	0.0188639
é	0.203352	0.0525895	0.267236	0.126974	0.0532759	0.0244511	0.219393	0.0185593	0.0128352	0.00722648	0.00157761	0.0125293
d	0.00472004	0.0123278	0.110235	0.425417	0.0130445	0.0146085	0.0611569	0.281429	0.019779	0.0262297	0.00703424	0.0240194
z	0.00113078	0.000335086	0.0142538	0.918362	0.00459835	0.000400377	0.00473427	0.0302596	0.00353531	0.00326018	5.5634e-05	0.0190743
e	0.180523	0.0974661	0.0445143	0.596927	0.00813102	0.00143888	0.03282	0.028698	0.00218418	0.00047588	5.34445e-05	0.00676759
l	0.0106481	0.00915208	0.0614145	0.119709	0.241792	0.124156	0.26759	0.0373005	0.0478025	0.0488197	0.00108704	0.030528
á	0.00219422	0.00213307	0.130652	0.0737214	0.0847671	0.039797	0.225006	0.0611906	0.0948492	0.0368844	0.00829658	0.240509
a	0.0117414	0.00952858	0.0540331	0.0463572	0.108453	0.0555389	0.307754	0.210271	0.106819	0.0404044	0.00901524	0.0400842
l	0.000431686	0.000414586	0.00819682	0.0764138	0.00371429	0.0084831	0.0180871	0.749146	0.0198743	0.0222598	0.0774434	0.0155355
e	0.000191656	9.23245e-05	0.0108395	0.141814	0.00341045	0.0113871	0.00603006	0.674035	0.0126033	0.0116546	0.057325	0.0706162
a	0.00037508	0.000238047	0.0429391	0.182848	0.0464957	0.0170306	0.042689	0.422433	0.0430772	0.0268001	0.00817442	0.166899
á	0.00135123	0.000441219	0.0114555	0.00396818	0.0603416	0.00250157	0.0594535	0.0120934	0.526914	0.2945	0.00811739	0.0188622
m	0.00194629	0.000651346	0.00638698	0.0142254	0.00714596	0.00169811	0.00829037	0.0698248	0.246616	0.53755	0.0682961	0.0373684
i	0.00212663	0.00440629	0.0514319	0.0369265	0.0712871	0.00612752	0.00811922	0.102541	0.18199	0.331996	0.0158933	0.187154
k	0.000341964	0.000151481	0.00429786	0.0105714	0.00261592	0.000752964	0.00248099	0.201944	0.089197	0.153391	0.206992	0.327263
w	3.48536e-05	2.20976e-05	0.00149698	0.00335858	0.00115187	0.000645074	0.000295792	0.00813137	0.00697045	0.0144971	0.868756	0.0946393
ω	0.000404308	0.000157707	0.000835846	0.00326793	0.00529692	0.00121332	0.00152067	0.00338674	0.032911	0.0375299	0.736875	0.176601
ω	0.000180221	2.80971e-05	0.00131367	0.00112133	0.0148218	0.00195285	0.0107362	0.00345557	0.142002	0.137266	0.315548	0.371574
</S>	0.00301094	0.000194487	0.00758111	0.00184015	0.0165713	0.000657631	0.00976212	0.0015459	0.139169	0.278965	0.0441333	0.49657
