 	mon	mari	vient	d'	acheter	un	rasoir	</S>
o	0.662289	0.320748	0.00600036	0.00783465	0.000523294	0.000742972	0.00170225	0.000159488
l	0.0185034	0.962387	0.00208355	0.000742015	0.00332172	0.000663741	0.0116531	0.000645843
ó	0.000628868	0.696345	0.000391755	0.000829881	0.293533	9.03126e-05	0.00591955	0.00226113
m	0.00141976	0.892669	0.00180263	0.00156058	0.0886385	0.000807301	0.00968186	0.00342011
i	0.0556183	0.791626	0.0241719	0.0257956	0.0239731	0.0127182	0.0110203	0.0550765
y	0.482389	0.233312	0.16741	0.0824805	0.00440325	0.0149677	0.000487169	0.0145505
á	0.852058	0.0564164	0.0318722	0.0303748	0.00285693	0.00886674	0.00133261	0.0162225
n	0.974624	0.000810949	0.0112966	0.00972776	0.000164037	0.00111151	0.000210882	0.00205437
g	0.978378	0.00402143	0.00890314	0.00666171	0.00043713	0.000413162	0.00022723	0.000958606
á	0.512812	0.1347	0.100215	0.0708159	0.0486217	0.00474987	0.0137619	0.114323
á	0.036133	0.0148197	0.534458	0.331725	0.0326522	0.027218	0.00203065	0.0209639
m	0.00137665	0.0115364	0.127775	0.101131	0.742325	0.00644154	0.00271131	0.00670358
i	0.000607661	0.00113366	0.0398569	0.257931	0.648517	0.0368577	0.00148082	0.0136158
s	0.000194812	0.00253285	0.0337963	0.050668	0.906752	0.00286659	0.00107255	0.00211669
ó	5.51126e-05	0.000358515	0.00294983	0.0171246	0.978226	0.000232627	0.000588616	0.000465198
m	0.00149413	0.00117897	0.015262	0.149669	0.724436	0.0297776	0.0364557	0.0417266
b	0.00195914	0.00122605	0.020372	0.35606	0.256181	0.174683	0.0355773	0.153941
á	0.00286442	0.000306466	0.177982	0.519381	0.0118192	0.11595	0.0180767	0.15362
o	0.0056023	0.000549073	0.126308	0.399383	0.0195088	0.394501	0.0196397	0.0345085
k	2.07749e-05	0.00104093	0.00115514	0.00674794	0.38081	0.069074	0.526771	0.0143799
y	1.30686e-06	0.000202287	0.000510772	0.00537906	0.0125686	0.0371297	0.892804	0.0514042
ε	1.05707e-05	0.000183492	0.00315002	0.0186844	0.0118789	0.0458872	0.800124	0.120081
n	0.000938274	8.80045e-05	0.00448696	0.0243948	0.00608036	0.134045	0.692594	0.137373
g	0.000440519	5.33903e-06	0.00067544	0.00422311	0.00214037	0.028388	0.938084	0.0260432
ε	0.00580033	8.4367e-05	0.00551415	0.0443041	0.00678169	0.0315202	0.88483	0.0211647
l	0.000549601	6.92972e-06	0.00146089	0.0045686	0.000107712	0.180455	0.45592	0.356932
i	0.00232028	0.000112829	0.0111008	0.032986	0.000399591	0.297897	0.40894	0.246244
</S>	0.000882629	0.000105476	0.00789281	0.0171435	0.00029335	0.227302	0.0624714	0.683909
