 	la	plantation	est	au-delà	du	village	</S>
a	0.454179	0.48769	0.0425793	0.00223475	0.0123209	0.00038285	0.000613482
n	0.0930938	0.811223	0.0350256	0.0239376	0.0169275	0.0138792	0.00591313
g	0.313133	0.650302	0.0138431	0.00149042	0.00925411	0.00103454	0.0109433
o	0.0426036	0.953064	0.00131787	0.000624746	0.000552633	0.000843773	0.000992884
n	0.0601349	0.909548	0.0114985	0.00428194	0.00301039	0.00229614	0.00922991
d	0.0705678	0.100929	0.109636	0.0247286	0.0113691	0.0165892	0.666181
a	0.168916	0.745174	0.0305307	0.0148711	0.00753846	0.0192983	0.0136714
á	0.237264	0.0529788	0.643532	0.026923	0.0155002	0.00107972	0.0227226
d	0.100275	0.008683	0.472077	0.262371	0.0779998	0.0113912	0.0672022
í	0.0333394	9.65422e-05	0.0901683	0.669039	0.0372838	0.00480871	0.165264
o	0.0320131	7.85762e-05	0.0693599	0.732419	0.0558315	0.00413434	0.106163
s	0.00365247	0.000437146	0.0413512	0.768832	0.0845525	0.0770702	0.0241045
í	0.000561566	4.12272e-05	0.00154384	0.968464	0.010898	0.0116796	0.0068115
á	0.00289423	9.69522e-06	0.0103393	0.81213	0.0192158	0.0219944	0.133416
l	0.012629	0.000701966	0.0368886	0.290756	0.451392	0.103585	0.104048
a	0.0207761	0.000102025	0.0212793	0.135821	0.351111	0.284392	0.186519
p	0.0156598	0.000406482	0.0197207	0.0451157	0.266559	0.553924	0.0986152
o	0.00159146	0.000274289	0.00707841	0.00546146	0.0500116	0.881918	0.0536651
o	0.000327033	0.000110194	0.00415287	0.0162617	0.0807797	0.812089	0.0862798
</S>	0.00557151	2.14687e-05	0.00964926	0.128028	0.371792	0.0261858	0.458752
