 	donne-moi	une	bouteille	de	vin	</S>
p	0.79999	0.182966	0.0110943	0.00428201	0.00160215	6.55879e-05
έ	0.939706	0.053171	0.00606858	0.000616864	0.000215331	0.000222098
n	0.643566	0.308133	0.0226332	0.00490054	0.00104446	0.0197228
g	0.717319	0.261637	0.0156051	0.00325845	0.000939654	0.0012411
á	0.72744	0.222233	0.0209525	0.0129902	0.00159881	0.0147848
o	0.0831712	0.67294	0.110606	0.102598	0.00405293	0.0266314
l	0.131482	0.142853	0.6461	0.0114213	0.0510978	0.0170459
a	0.0346312	0.0721521	0.825713	0.0103275	0.0193763	0.0377998
n	0.0164212	0.0572245	0.654907	0.0129758	0.0240723	0.2344
g	0.094176	0.184817	0.58149	0.0572616	0.0173432	0.0649125
e	0.148396	0.149365	0.573261	0.0598767	0.0177919	0.0513089
m	0.00768628	0.0318761	0.114875	0.728418	0.0455351	0.0716099
á	0.00263966	0.0262438	0.0482142	0.392091	0.147887	0.382924
a	0.00703342	0.019044	0.101648	0.237309	0.576238	0.0587274
l	0.0121272	0.00568362	0.0452972	0.0587507	0.746562	0.131579
ω	0.00885946	0.00923934	0.0829014	0.0484198	0.618434	0.232146
i	0.00139419	0.00421002	0.0497841	0.0930365	0.602956	0.248619
</S>	0.00835831	0.0121409	0.0140972	0.354464	0.137062	0.473878
