 	il	peut	rester	il	ne	me	dérange	aucunement	</S>
l	0.543768	0.359896	0.0246067	0.01766	0.0328407	0.00916371	0.00689616	0.00324144	0.00192732
á	0.28696	0.0432641	0.235094	0.174368	0.0801291	0.0569864	0.0758752	0.0111769	0.0361467
a	0.242916	0.0455354	0.0743252	0.127496	0.129647	0.0607452	0.0218466	0.0631646	0.234325
b	0.0436857	0.359151	0.131455	0.051685	0.0574888	0.0230944	0.063203	0.0501419	0.220096
h	0.0121869	0.769843	0.10018	0.0255911	0.0151223	0.0081376	0.00923117	0.00553616	0.0541711
e	0.00173419	0.931999	0.0560792	0.00102451	0.00161545	0.000333439	0.00303716	0.000998862	0.00317827
r	0.0786955	0.778759	0.0903337	0.0144665	0.0127007	0.00346137	0.00310867	0.00422523	0.0142489
á	0.231796	0.33036	0.160616	0.0422732	0.019391	0.012216	0.00616909	0.0133986	0.18378
o	0.284874	0.177631	0.167938	0.214948	0.0933523	0.0154157	0.0209228	0.00103185	0.023885
b	0.0337638	0.0484201	0.557549	0.115606	0.114	0.00684421	0.0777569	0.0114811	0.034579
v	0.0151848	0.190278	0.57197	0.0628627	0.0827637	0.00571487	0.0260004	0.00690302	0.0383219
u	0.00661402	0.421401	0.252009	0.0462868	0.198618	0.00494653	0.0374055	0.011942	0.0207772
a	0.0432456	0.0139073	0.229382	0.295148	0.18428	0.0400688	0.0444144	0.00321885	0.146336
w	0.0101973	0.00735843	0.0518781	0.306265	0.333419	0.0611284	0.143501	0.00879049	0.0774621
a	0.0733841	0.0135111	0.0417528	0.262288	0.245306	0.0760945	0.0312393	0.0205051	0.235919
a	0.0126975	0.00157482	0.0188728	0.258725	0.303595	0.175078	0.0620971	0.0158168	0.151542
d	0.00656668	0.0171692	0.0425671	0.0764847	0.183502	0.0215205	0.43804	0.0209221	0.193227
í	0.000827115	0.00053229	0.00425818	0.0149816	0.0411741	0.00824088	0.35867	0.00401062	0.567305
s	0.0031656	0.00149791	0.00775168	0.0391654	0.125435	0.116618	0.326029	0.0605091	0.319827
i	0.00306222	0.00028469	0.00437604	0.0532352	0.106155	0.181788	0.165956	0.217237	0.267905
ω	0.00233458	0.00027265	0.00686505	0.051712	0.0935594	0.244432	0.0696133	0.449428	0.0817832
n	0.00027705	0.00397114	0.00656557	0.00790348	0.0267327	0.0161802	0.217398	0.269589	0.451383
y	0.000822677	0.00096011	0.00397354	0.0108387	0.0178401	0.116534	0.0949483	0.648075	0.106008
ω	8.84181e-05	6.9804e-05	0.000138916	0.000887111	0.00345216	0.0539215	0.00986683	0.922953	0.00862267
n	8.39112e-05	0.000138314	0.000526087	0.00305444	0.0102752	0.0327405	0.0296916	0.89843	0.0250599
g	0.000176041	0.000641742	0.00453968	0.00784185	0.0192431	0.0149214	0.116839	0.429565	0.406232
ώ	0.000798277	0.000342517	0.00338558	0.0183326	0.0236963	0.032487	0.0285617	0.737002	0.155394
s	0.000553633	0.000578906	0.00181311	0.00908404	0.0120938	0.0326919	0.0455225	0.064651	0.833011
ώ	0.00191863	0.00192267	0.00711623	0.0121007	0.0158023	0.0708146	0.124542	0.32286	0.442922
n	0.000936604	0.000519216	0.00203449	0.0127029	0.0127523	0.166705	0.0406684	0.269893	0.493789
g	0.000362534	3.9052e-05	0.000167215	0.00194477	0.00183102	0.155409	0.00468797	0.74946	0.0860982
á	0.000135551	1.81182e-05	8.70923e-05	0.0011222	0.00089022	0.197934	0.00262965	0.693559	0.103624
k	0.00366695	0.000472434	0.00366888	0.0262477	0.0173025	0.0963886	0.0202141	0.394646	0.437393
a	0.00066748	0.0064719	0.00778067	0.0152114	0.0289931	0.0654755	0.0686501	0.182324	0.624426
á	0.000606968	0.002825	0.0018972	0.00831651	0.0133739	0.161028	0.0542786	0.118308	0.639366
</S>	0.00896137	0.00254115	0.00687496	0.0418256	0.0244856	0.135644	0.05777	0.0872493	0.634648
