 	celles-ci	sont	mes	chenilles	celles-là	sont	à	toi	</S>
y	0.145546	0.457409	0.0642936	0.282531	0.0187932	0.0116842	0.0153502	0.0021709	0.00222102
é	0.175954	0.0225694	0.0534569	0.421919	0.310583	0.00660195	0.00686866	0.000907585	0.00113986
k	0.0487008	0.0446483	0.0641763	0.703943	0.118423	0.00624881	0.00173708	0.00428227	0.00783984
o	0.0108506	0.0245943	0.0158092	0.858928	0.0105156	0.0196587	0.00330822	0.0319201	0.0244151
n	0.0145926	0.0485417	0.00789565	0.893943	0.0018227	0.00890091	0.00696914	0.00423203	0.0131018
g	0.194255	0.0694443	0.0319977	0.632569	0.00656551	0.00630228	0.00369149	0.0042382	0.050936
ó	0.188174	0.0735786	0.075195	0.598967	0.0121872	0.00414655	0.00316835	0.00371752	0.0408654
y	0.0401628	0.100087	0.432895	0.077609	0.262935	0.0285242	0.02141	0.00766587	0.0287119
á	0.0429932	0.0739646	0.465077	0.115434	0.222584	0.021692	0.010519	0.00629331	0.0414432
n	0.00455332	0.00693914	0.687049	0.131922	0.122544	0.00910989	0.0180607	0.0145715	0.00525038
g	0.000927418	0.00170962	0.538408	0.0183672	0.394824	0.00271982	0.00359966	0.0341975	0.00524624
á	0.00112688	0.00190559	0.54428	0.0145525	0.376939	0.0108897	0.00906979	0.0342059	0.00703025
y	0.0024338	0.0046916	0.123788	0.0338782	0.502149	0.100018	0.157559	0.0540744	0.0214069
é	0.0146502	0.0239641	0.208644	0.0784489	0.450403	0.128763	0.0396479	0.0290732	0.0264048
y	0.00253048	0.00635087	0.177763	0.13496	0.350789	0.145036	0.0890564	0.061845	0.0316687
á	0.0075632	0.0107924	0.101584	0.0360597	0.256983	0.356665	0.0826278	0.0760499	0.0716758
n	0.00385141	0.00491376	0.0874806	0.0718516	0.157527	0.141303	0.226551	0.256947	0.0495739
ω	0.000446012	0.000897879	0.0452055	0.00689206	0.197857	0.0596553	0.0642933	0.506519	0.118234
</S>	0.000326876	0.00171391	0.0265174	0.00668911	0.237137	0.117595	0.0787565	0.190758	0.340506
