 	il	a	la	langue	pendante	parce	qu'	il	a	mangé	du	piment	</S>
w	0.733517	0.107471	0.0322553	0.0209551	0.00904867	0.0147298	0.0253108	0.0329379	0.019619	0.00028727	0.00313257	0.000570342	0.000164979
a	0.737778	0.108377	0.0136783	0.0232114	0.00318843	0.0180137	0.0242195	0.0402302	0.0296883	0.00010842	0.00120044	0.000279847	2.64598e-05
á	0.102574	0.456003	0.142617	0.0591927	0.00871121	0.0122876	0.0310791	0.0490654	0.0776208	0.0189025	0.0342372	0.00198356	0.00572616
y	0.0446647	0.303553	0.374886	0.0908936	0.0324674	0.0105113	0.00768852	0.0082263	0.0132866	0.022577	0.0609709	0.00669551	0.0235789
í	0.0112309	0.179215	0.315944	0.0927998	0.0770651	0.00948696	0.00813548	0.00366558	0.0120945	0.167442	0.0444341	0.0239233	0.0545635
i	0.0158337	0.0808417	0.437365	0.129658	0.0959155	0.0170243	0.0129337	0.00628628	0.014199	0.0585859	0.0480293	0.00941708	0.0739105
l	0.0281675	0.127635	0.27984	0.348521	0.0866839	0.0242982	0.0187014	0.0254109	0.0194532	0.00661178	0.00963129	0.00888785	0.0161585
e	0.0457995	0.0842881	0.190414	0.299015	0.102631	0.0472372	0.0432789	0.0336103	0.0376325	0.0092363	0.0347546	0.00900151	0.0631011
l	0.0231151	0.0589084	0.119303	0.269019	0.196107	0.0564991	0.0429986	0.0270764	0.034678	0.0530665	0.0237633	0.0192199	0.0762456
y	0.0160653	0.0287548	0.138709	0.280106	0.245757	0.0522682	0.0407479	0.0206177	0.0160329	0.00442356	0.0301864	0.0225213	0.10381
é	0.00241037	0.0121653	0.0934233	0.17111	0.487906	0.0396894	0.0405281	0.0105421	0.0172497	0.0166707	0.0357921	0.0257714	0.0467416
m	0.000698062	0.00619974	0.115645	0.172247	0.416796	0.0417719	0.035364	0.0128836	0.0225166	0.0118598	0.0618203	0.0162563	0.0859422
i	0.0147267	0.0162159	0.0532815	0.145971	0.293855	0.257036	0.121984	0.0317126	0.0247435	0.0111957	0.00738456	0.00136874	0.0205245
ó	0.0104677	0.0308016	0.111627	0.14959	0.260705	0.137886	0.0982404	0.0649872	0.0528314	0.0144013	0.020328	0.00163717	0.0464975
n	0.00343131	0.0140588	0.0619585	0.0775968	0.285587	0.0882076	0.0906963	0.0693616	0.0947306	0.0490415	0.0938973	0.0129511	0.058481
d	0.00617842	0.0189914	0.0266106	0.0387456	0.0801118	0.114043	0.148929	0.0344614	0.109372	0.0560675	0.037679	0.238664	0.0901457
z	0.000603486	0.00317755	0.00880437	0.0345407	0.13594	0.0993045	0.116192	0.0280388	0.0917739	0.112457	0.0634982	0.178953	0.126717
í	0.00032739	0.00110112	0.00570548	0.0336525	0.161294	0.176835	0.208576	0.0363578	0.102365	0.123724	0.0370896	0.0310529	0.0819196
e	0.000281787	0.00266147	0.0252389	0.0458564	0.180241	0.0485051	0.0664008	0.0381029	0.0786933	0.133529	0.119034	0.0356619	0.225794
t	0.000867163	0.00206563	0.00439017	0.00774311	0.0184664	0.10008	0.184886	0.259714	0.294412	0.0326447	0.0621922	0.00348921	0.0290489
s	0.00715257	0.0023906	0.00553769	0.0282745	0.0932286	0.179866	0.218432	0.150875	0.0672063	0.0974174	0.0374493	0.0112304	0.10094
í	0.00110284	0.00065643	0.0119076	0.0175545	0.116058	0.186631	0.254281	0.119124	0.062984	0.0492492	0.0443822	0.0155726	0.120497
n	0.00209269	0.00320314	0.0134727	0.0209087	0.118372	0.162129	0.215593	0.131961	0.0737983	0.0885392	0.0327673	0.022447	0.114716
a	0.00997159	0.0070751	0.00882067	0.0148636	0.0244478	0.0660714	0.12447	0.0486856	0.0494648	0.0346426	0.0109233	0.251437	0.349127
á	0.000914352	0.00197672	0.0034003	0.00434728	0.00862217	0.041823	0.0979431	0.127496	0.257714	0.292023	0.120694	0.0126748	0.0303703
d	0.00075182	0.00757669	0.0277898	0.0173396	0.0228917	0.00446149	0.00664792	0.00760641	0.0320532	0.243651	0.511725	0.0797909	0.0377143
z	0.000189935	0.00204458	0.00764388	0.00219708	0.00443289	0.00355847	0.00357848	0.00403703	0.0195677	0.312492	0.448233	0.00647465	0.185551
é	0.00115261	0.00447454	0.0083848	0.0051053	0.00476105	0.0203527	0.0211374	0.0141782	0.0603186	0.552407	0.224967	0.0123685	0.0703918
e	0.00043144	0.000571283	0.00180539	0.00188477	0.00771061	0.0273638	0.0338971	0.0427963	0.0491067	0.218947	0.346818	0.0497022	0.218966
n	0.000519816	0.00113399	0.00311698	0.00303173	0.00445213	0.00458086	0.0067509	0.00832545	0.0159323	0.026207	0.213115	0.542647	0.170187
d	0.000211605	0.000672566	0.00118514	0.00149923	0.00201187	0.00299617	0.00528619	0.00158486	0.0075641	0.00422412	0.0289262	0.895084	0.0487539
ó	2.8743e-05	6.65315e-05	9.05412e-05	0.000303427	0.000482929	0.000612184	0.00100439	0.000427616	0.00181206	0.00338471	0.0114007	0.959655	0.0207315
n	3.86602e-06	1.01173e-05	3.69071e-05	0.000199601	0.000937799	0.00381515	0.00699847	0.00176166	0.00569961	0.0014574	0.0103542	0.91644	0.0522853
g	8.97895e-05	0.000144873	0.000558408	0.00171596	0.00340141	0.005505	0.0101601	0.00673089	0.0192821	0.00547373	0.0811014	0.422035	0.443801
ó	0.000232426	6.78178e-05	0.000101245	0.00057533	0.00160421	0.00495974	0.0169589	0.00616501	0.00534865	0.00111791	0.00280007	0.904975	0.055094
</S>	0.000534891	0.000276042	0.000718571	0.0026205	0.00294323	0.014802	0.0303929	0.0289932	0.0337704	0.000989898	0.0501133	0.323516	0.510329
