 	les	abeilles	piquent	beaucoup	</S>
a	0.545937	0.421719	0.0316432	0.00063288	6.83899e-05
n	0.0217763	0.973329	0.00371587	0.000902682	0.000276162
d	0.0169649	0.977068	0.00206065	0.00115896	0.00274749
z	0.0161347	0.980688	0.000363419	0.000398532	0.00241536
ú	0.00534244	0.993227	0.000204997	0.000511312	0.000714637
e	0.0272929	0.967421	0.0010326	0.00081881	0.00343423
b	0.17229	0.146885	0.441828	0.0268798	0.212117
á	0.228326	0.0636364	0.366354	0.0726328	0.269051
a	0.262674	0.0340092	0.592809	0.0598993	0.0506081
t	0.0262293	0.0339889	0.342298	0.277892	0.319591
έ	0.00911376	0.0179558	0.105674	0.398999	0.468258
o	0.277347	0.0853717	0.12257	0.132204	0.382507
y	0.0296851	0.0058035	0.0156648	0.50587	0.442976
í	0.0332594	0.00573416	0.00374961	0.615575	0.341682
í	0.0498696	0.0105609	0.00651461	0.359792	0.573263
</S>	0.0196869	0.00765403	0.0159936	0.429917	0.526749
