 	depuis	qu'	il	est	blessé	il	boite	</S>
l	0.71555	0.222952	0.0352603	0.012026	0.00571652	0.00715705	0.000633625	0.000704165
ε	0.594813	0.260197	0.0641138	0.0434757	0.00155869	0.0307479	0.00329101	0.0018026
ε	0.266698	0.580966	0.0781638	0.0318212	0.00498404	0.0161235	0.00939812	0.0118453
k	0.0123718	0.411732	0.351355	0.0596453	0.0285744	0.0183024	0.0423858	0.0756332
ώ	0.00450184	0.0954575	0.292613	0.148627	0.184938	0.0396487	0.00875936	0.225454
s	0.0192392	0.11942	0.152985	0.111481	0.506607	0.0237857	0.0190197	0.0474635
i	0.0194681	0.361696	0.216327	0.14624	0.148877	0.0457893	0.00784824	0.0537548
i	0.0507776	0.318796	0.248554	0.197714	0.0886997	0.0278921	0.00467311	0.0628937
l	0.0640433	0.114244	0.252808	0.339049	0.10788	0.0925119	0.00254317	0.0269206
í	0.0688808	0.0983691	0.177731	0.233711	0.102237	0.18216	0.0070995	0.129812
w	0.195275	0.148035	0.215701	0.129879	0.021728	0.230671	0.00766021	0.0510512
a	0.0902827	0.083425	0.250862	0.247888	0.0270014	0.253066	0.00236248	0.0451122
a	0.00578818	0.0337565	0.126496	0.223788	0.100426	0.376707	0.0113167	0.121722
b	0.00088516	0.00728072	0.0291915	0.10444	0.51253	0.113565	0.0861687	0.145938
h	0.00550799	0.0324365	0.0817368	0.203146	0.266737	0.151116	0.045764	0.213555
í	0.00121354	0.00672905	0.0460187	0.120118	0.404253	0.161049	0.029601	0.231018
l	0.000548941	0.00753196	0.0259624	0.0918589	0.10837	0.464881	0.0467343	0.254112
á	0.0015652	0.0121943	0.026922	0.0486174	0.0279497	0.188094	0.116431	0.578227
a	0.0173006	0.0230359	0.0280993	0.0703175	0.0212372	0.229181	0.522087	0.0887407
d	2.93151e-05	0.00147646	0.00442686	0.00987817	0.040756	0.00912465	0.906061	0.0282478
u	1.874e-05	0.00159033	0.00735426	0.0189179	0.0108867	0.0151372	0.776275	0.16982
r	0.000787676	0.00652583	0.0228906	0.114989	0.00316501	0.319764	0.245039	0.286839
á	0.00488733	0.0026593	0.0104745	0.140628	0.0122072	0.231604	0.34268	0.25486
á	0.0028791	0.00929436	0.0169571	0.042249	0.0129383	0.225883	0.22071	0.46909
e	0.0127854	0.0538738	0.0798114	0.138098	0.0161558	0.313813	0.0943937	0.291069
k	0.00118029	0.0232445	0.0563182	0.109456	0.136065	0.0501258	0.45226	0.17135
o	0.000111714	0.00237845	0.00699034	0.0180499	0.287593	0.00674411	0.557509	0.120624
ó	1.49015e-05	0.000241167	0.000656362	0.00187337	0.0964937	0.0015502	0.633906	0.265264
</S>	0.00427095	0.0270833	0.0593728	0.126898	0.0236948	0.254904	0.0921378	0.411638
