 	il	n'	aime	pas	être	battu	au	jeu	</S>
w	0.777277	0.149603	0.0146281	0.0409283	0.0134222	0.00177793	0.00154721	0.000574754	0.000241919
a	0.780365	0.137699	0.0114888	0.0514102	0.00826001	0.00382424	0.00659301	0.000300478	5.98433e-05
a	0.212675	0.545969	0.115345	0.0800772	0.0200584	0.0115238	0.00880313	0.00105782	0.00449105
d	0.105775	0.452796	0.205602	0.0579042	0.0587473	0.0797864	0.0158673	0.00360832	0.0199137
i	0.0863558	0.499219	0.265821	0.0720394	0.0138935	0.0102825	0.00671807	0.000561321	0.0451092
p	0.0304329	0.225846	0.269867	0.240913	0.0652491	0.0327047	0.0272139	0.00709792	0.100676
ó	0.016504	0.0388761	0.423283	0.105615	0.309154	0.0329793	0.00484217	0.0362678	0.0324788
s	0.0210312	0.0822342	0.755919	0.0504796	0.0265707	0.02353	0.00689876	0.00292746	0.0304094
á	0.0124584	0.118099	0.527494	0.161764	0.0849778	0.0428816	0.0183708	0.0155533	0.0184002
b	0.0483523	0.0522193	0.0914753	0.412297	0.235102	0.11389	0.0251859	0.0080708	0.0134077
á	0.0322321	0.0299831	0.0598604	0.0438801	0.564906	0.225787	0.0150491	0.0223969	0.00590533
a	0.0250423	0.00644954	0.00686867	0.0391116	0.745036	0.1467	0.00923637	0.0129249	0.00863063
b	0.00609526	0.0254167	0.0387553	0.080626	0.149821	0.455042	0.145739	0.0166871	0.0818175
a	0.0115514	0.0151441	0.0119076	0.0168724	0.351397	0.492233	0.0606065	0.0255657	0.0147226
r	0.00435774	0.0078444	0.0137739	0.0504053	0.254406	0.45128	0.0526067	0.0369547	0.128371
á	0.00686028	0.0156397	0.0292778	0.161004	0.143792	0.361008	0.102265	0.0264977	0.153656
w	0.0123667	0.0284223	0.0271246	0.155073	0.052245	0.234003	0.346495	0.063265	0.0810052
a	0.05161	0.0188246	0.0274516	0.10541	0.224352	0.303524	0.151345	0.0728958	0.0445877
k	0.00715528	0.0106222	0.00941455	0.060919	0.0249744	0.061891	0.397603	0.290228	0.137193
a	0.00626725	0.00639764	0.0256036	0.0226803	0.0803233	0.117109	0.0477409	0.663223	0.0306543
á	0.000184913	0.00144935	0.00866763	0.00853967	0.0272236	0.116401	0.0978615	0.525223	0.21445
</S>	0.00458383	0.00649911	0.0100953	0.0119531	0.0115441	0.0352225	0.189799	0.147355	0.582948
