 	il	a	une	barbe	rare	elle	ne	pousse	pas	vite	</S>
w	0.552272	0.209255	0.0301578	0.0635954	0.113136	0.0036572	0.00855485	0.00681899	0.0110643	0.00131531	0.00017278
a	0.671736	0.235006	0.0246989	0.00832863	0.00325749	0.00489446	0.00353727	0.00706278	0.0246312	0.0166081	0.000238546
a	0.24877	0.5054	0.173949	0.00395001	0.0128236	0.00787352	0.016628	0.0117153	0.0102656	0.00380773	0.00481684
d	0.0707467	0.364081	0.293535	0.0495008	0.0340087	0.0287044	0.0324883	0.0459659	0.0225126	0.00455651	0.0539006
í	0.0307834	0.271563	0.35686	0.0429693	0.0908249	0.0256425	0.0246395	0.0158051	0.00826248	0.00153854	0.131111
n	0.0127868	0.0422978	0.1936	0.0977712	0.200479	0.0367064	0.0891474	0.0372743	0.0383226	0.0066114	0.245003
d	0.0700284	0.108519	0.426526	0.258975	0.0874005	0.0249454	0.00471876	0.00377987	0.00272484	0.00214558	0.0102371
ε	0.0356925	0.0414628	0.269229	0.552177	0.0707897	0.0142543	0.0032837	0.00227936	0.001299	0.000944061	0.00858923
l	0.0155133	0.0286824	0.231717	0.206992	0.418044	0.0502496	0.0104861	0.00774121	0.0047674	0.004767	0.0210393
i	0.0187157	0.0415702	0.215315	0.301549	0.240212	0.0712129	0.0287056	0.0165482	0.0101368	0.00227949	0.0537552
k	0.00436735	0.0117524	0.0656091	0.223006	0.464895	0.124951	0.058711	0.0190887	0.0100314	0.00585487	0.0117323
a	0.00404441	0.00851544	0.0399796	0.127378	0.523979	0.050268	0.101647	0.0372169	0.0132109	0.00931207	0.0844484
á	0.00725636	0.0167472	0.0464083	0.029536	0.16083	0.157976	0.135158	0.103527	0.0260952	0.0257913	0.290673
y	0.00419612	0.00619427	0.0188747	0.00211402	0.0610013	0.473965	0.243747	0.107253	0.037671	0.00450987	0.0404729
é	0.0180939	0.0179724	0.0843233	0.00384847	0.105921	0.410347	0.191586	0.0734337	0.0340433	0.0142389	0.0461919
e	0.00523656	0.00318664	0.0332632	0.00412704	0.0597711	0.229629	0.27143	0.131734	0.104206	0.0989283	0.0584888
t	0.000640344	0.00630875	0.0176514	0.0108987	0.019049	0.0328391	0.134822	0.310489	0.147054	0.282228	0.0380202
ω	0.000188041	0.00425504	0.0184301	0.00605801	0.00995843	0.0225356	0.125967	0.279946	0.194654	0.218607	0.119401
ώ	3.92661e-05	0.000531404	0.0118045	0.00551912	0.0900561	0.0310793	0.122942	0.179934	0.133577	0.365147	0.0593703
l	0.000846131	0.00152278	0.0113667	0.000840298	0.0106342	0.0606326	0.137103	0.238641	0.348594	0.0794472	0.110372
a	0.000935893	0.000732987	0.00441318	0.00119119	0.0204373	0.0311569	0.0908404	0.233626	0.186686	0.162654	0.267326
o	0.0021515	0.00157894	0.00887546	0.00105609	0.00574978	0.0317488	0.0331433	0.0733917	0.0857179	0.546139	0.210448
d	0.000467351	0.00495088	0.0219892	0.00725175	0.0121571	0.00365818	0.00651292	0.0387141	0.111941	0.721621	0.0707369
í	0.000309057	0.00509821	0.0464515	0.00174253	0.0295707	0.00595051	0.0144265	0.0469158	0.322009	0.41058	0.116946
n	0.000197658	0.000799012	0.0260081	0.000688388	0.0090961	0.00797695	0.0258751	0.086312	0.308362	0.298006	0.236679
g	0.00060226	0.00155523	0.0131329	0.00267743	0.0125085	0.0126269	0.0219405	0.0778173	0.178717	0.417896	0.260526
á	0.000223454	0.000915992	0.00781528	0.00696819	0.00830557	0.0092282	0.0151276	0.0461206	0.0665831	0.604734	0.233978
</S>	0.00174019	0.00107485	0.00666178	0.00261654	0.0148018	0.0243336	0.0337421	0.0878085	0.163036	0.211184	0.453
