 	le	guérisseur	lui	a	fait	une	incision	à	la	poitrine	</S>
n	0.547086	0.253077	0.126212	0.0195333	0.0136843	0.0194866	0.0075132	0.00672042	0.00648254	0.000111917	9.26097e-05
g	0.262919	0.726275	0.00758857	0.00115784	0.000810458	0.000868029	2.51261e-05	9.76817e-05	0.000228933	2.42032e-05	5.02323e-06
a	0.014895	0.98246	0.00126978	0.000583694	0.000405353	0.00027504	3.33528e-05	2.53134e-05	3.0883e-05	2.00474e-05	1.72797e-06
n	0.3733	0.575748	0.0197818	0.0158614	0.00719016	0.00287653	0.000472624	0.000536209	0.000653723	0.000142797	0.00343706
g	0.335295	0.430081	0.0840103	0.0606462	0.0212846	0.0153353	0.00251109	0.00520944	0.00271597	0.000347172	0.0425637
a	0.134033	0.674229	0.120833	0.0356029	0.0118509	0.0063573	0.00169814	0.00176887	0.000868484	0.00099258	0.0117656
á	0.0593757	0.0257375	0.567839	0.236423	0.0477233	0.0320328	0.00579319	0.00676629	0.00588634	0.000995596	0.0114273
k	0.0277919	0.0097943	0.0865879	0.395866	0.320408	0.0911976	0.0379636	0.00764571	0.00499586	0.00186042	0.0158893
w	0.0018273	0.00102511	0.0126641	0.345152	0.473779	0.0963068	0.0561004	0.00565201	0.00254324	0.000810656	0.00413935
ε	0.0119975	0.00502554	0.0434283	0.359574	0.412412	0.0787336	0.0616973	0.00891132	0.00459129	0.00245087	0.0111789
r	0.0171759	0.0253608	0.128397	0.127172	0.150103	0.311677	0.130898	0.0300937	0.0198645	0.0129051	0.0463536
i	0.0199666	0.0102486	0.207313	0.209976	0.164298	0.29751	0.0346286	0.0188298	0.0241308	0.00585308	0.00724516
w	0.0301729	0.0175022	0.457468	0.151297	0.0497051	0.18376	0.0661675	0.0160748	0.014224	0.00419028	0.00943798
á	0.0105972	0.0115896	0.122399	0.162379	0.157469	0.198322	0.242202	0.0402989	0.0239523	0.0172619	0.0135292
l	0.0212051	0.0109863	0.213056	0.0861643	0.0363077	0.169854	0.338188	0.0527929	0.0246947	0.0165302	0.0302214
e	0.00772614	0.000488978	0.0135419	0.0320085	0.0690171	0.316867	0.283015	0.133518	0.0701577	0.0182694	0.0553908
k	0.00828052	0.00105933	0.010256	0.0223844	0.0655315	0.194263	0.528387	0.0786583	0.0173276	0.0450087	0.0288442
ó	0.000202932	8.00202e-05	0.000747333	0.0042888	0.0348238	0.0598147	0.846121	0.0108959	0.00168477	0.039525	0.00181537
m	0.000107207	1.38897e-05	0.00129193	0.0170679	0.0630403	0.0851582	0.717535	0.0404272	0.0114142	0.0405999	0.0233442
á	0.0115907	0.00013652	0.00234781	0.00688299	0.0260908	0.154309	0.303886	0.246386	0.0648324	0.00749687	0.176042
ó	0.0340191	0.000397962	0.0102897	0.0132665	0.0128398	0.0321002	0.0382015	0.396753	0.273016	0.0857327	0.103383
t	0.00163507	0.00018542	0.00569381	0.0236332	0.0419272	0.034985	0.0902088	0.275728	0.199751	0.248704	0.077549
ó	0.000143792	7.93592e-05	0.0022423	0.0163454	0.0593349	0.0581022	0.132382	0.0803688	0.0632242	0.506205	0.0815718
o	0.000161801	2.57307e-05	0.000548585	0.0051675	0.0178125	0.0336235	0.236864	0.0510645	0.0330924	0.501138	0.120501
</S>	0.00159906	9.90838e-06	0.0010448	0.00527691	0.00677281	0.014001	0.00860569	0.241929	0.278015	0.0543962	0.38835
