 	j'	ai	découvert	un	bois	mort	sur	lequel	poussent	des	champignons	apebha	dans	la	forêt	oyoa	</S>
n	0.613235	0.0838205	0.0493375	0.0839328	0.0871552	0.0338094	0.0113093	0.00315179	0.00279024	0.0154793	0.00265954	0.000132037	0.00123544	0.00131007	0.0103798	2.4925e-05	0.000237206
g	0.981591	0.0156015	0.000410884	0.000907213	0.000766608	0.000136265	5.81365e-05	5.15942e-06	2.22793e-06	3.29317e-05	5.79168e-06	6.33816e-07	5.54371e-06	3.48078e-05	0.000410578	2.01373e-05	1.10512e-05
í	0.940865	0.0497556	0.00415291	0.00152699	0.00109585	0.000359957	0.000215961	0.00021149	0.000148142	0.000272537	0.000591683	1.10975e-05	1.79079e-05	0.000224843	0.000185066	0.000334944	3.02145e-05
m	0.0711836	0.353181	0.0903453	0.0935192	0.0761881	0.0434351	0.0114146	0.00907293	0.00368166	0.0138792	0.0180524	0.00169848	0.00511307	0.00885568	0.0395185	0.0162654	0.144596
i	0.00234226	0.611149	0.0930072	0.0486058	0.0196039	0.0814752	0.0444942	0.00289961	0.00121773	0.0170508	0.0190301	0.00163847	0.00340693	0.00478931	0.00142941	0.0182672	0.0295924
k	0.00311883	0.316495	0.489174	0.0704636	0.0108893	0.0139381	0.0146601	0.0068631	0.0139032	0.0126247	0.0258184	0.0037797	0.00149618	0.00306609	0.00105695	0.00193456	0.0107178
ú	0.000145875	0.00668943	0.772803	0.102002	0.00853345	0.00332002	0.00323493	0.0044152	0.043674	0.00571177	0.0206861	0.00623017	0.00291528	0.00600523	0.000839657	0.00306778	0.00972523
n	0.000378254	0.00733826	0.922074	0.0357147	0.00430072	0.00191757	0.00127293	0.000241656	0.00921307	0.00236484	0.00721903	0.00380061	0.000862672	0.000896077	0.000235629	0.000254975	0.00191549
d	0.0528912	0.0175147	0.459146	0.153771	0.0816654	0.0443503	0.00909136	0.00134263	0.0287324	0.0291987	0.0601113	0.0141049	0.00851321	0.00882301	0.00232273	0.000575189	0.0278454
á	0.00648658	0.0164995	0.219393	0.391476	0.205185	0.089265	0.0158574	0.0016577	0.00138138	0.0156659	0.0155478	0.000416863	0.00247321	0.00432582	0.00334837	0.000886895	0.0101329
o	0.00796193	0.0641258	0.0287794	0.130802	0.189802	0.248176	0.194969	0.0470216	0.00493009	0.0470391	0.0099154	0.00520691	0.0101195	0.00246641	0.00353982	0.000417085	0.00472902
k	9.39887e-05	0.0122321	0.120336	0.107839	0.0428448	0.0176494	0.0961015	0.209894	0.120143	0.0183312	0.0435925	0.182029	0.0086776	0.00375797	0.000431819	0.0116219	0.00442424
ω	1.39926e-06	0.00128845	0.0720738	0.0570292	0.0166818	0.00367406	0.0261527	0.128333	0.538878	0.0249982	0.0555738	0.0606296	0.0060723	0.00357302	0.000523432	0.0010876	0.00342946
ώ	6.10835e-05	0.00729027	0.0443043	0.079297	0.101125	0.0246485	0.0779879	0.206363	0.21034	0.159366	0.057697	0.00735307	0.00403158	0.004189	0.00268278	0.000354574	0.0129088
m	0.000189598	0.00350289	0.00138055	0.0116948	0.0695699	0.171262	0.26226	0.0783138	0.0179682	0.207262	0.0556375	0.0324356	0.0624325	0.0102171	0.0141688	0.000173103	0.00153236
á	0.000173406	0.00144938	0.00219533	0.0143651	0.024693	0.192551	0.205675	0.00690807	0.0212622	0.134278	0.139761	0.0165026	0.1134	0.0516967	0.00783485	0.010741	0.0565132
p	0.00042092	0.00293524	0.0014526	0.0112285	0.0363383	0.0595311	0.0739929	0.0347667	0.00779104	0.173063	0.277356	0.0826455	0.11524	0.0624141	0.0443113	0.00858454	0.00792781
