 	les	bananes	sont	pleines	</S>
a	0.631852	0.362397	0.00538559	0.000306817	5.84549e-05
t	0.138131	0.770754	0.0341261	0.0485494	0.0084392
ω	0.0252992	0.84141	0.0362954	0.0573495	0.0396461
r	0.215008	0.458903	0.242282	0.0442134	0.0395924
ω	0.228217	0.523883	0.181179	0.0205499	0.0461721
á	0.12658	0.0102532	0.813127	0.0150769	0.0349626
s	0.0869399	0.00281702	0.728401	0.0958684	0.0859734
á	0.0906135	0.000779679	0.175695	0.0294757	0.703436
a	0.396877	0.00189042	0.25055	0.0574264	0.293257
ω	0.0425729	0.00356417	0.137997	0.22021	0.595656
b	0.00228595	0.00230311	0.0383768	0.688556	0.268478
ε	0.00131333	0.00246736	0.0103485	0.947821	0.03805
n	0.0168827	0.00656683	0.207628	0.427881	0.341042
g	0.319275	0.0652051	0.291404	0.264533	0.0595823
ε	0.688811	0.0299584	0.124459	0.0636926	0.0930792
k	0.0233408	0.001061	0.100025	0.328759	0.546814
a	0.0894799	0.0776036	0.0352891	0.17904	0.618587
á	0.00289263	0.00845275	0.0220462	0.286654	0.679955
</S>	0.106826	0.00251439	0.194314	0.141896	0.55445
