 	il	est	avide	de	viande	</S>
w	0.868724	0.0848442	0.0143391	0.0260799	0.00547577	0.000537034
a	0.824496	0.0390878	0.00852851	0.122566	0.00473396	0.00058754
a	0.118573	0.70751	0.0557379	0.0406725	0.00418785	0.0733185
d	0.0868151	0.497546	0.234369	0.0767397	0.0112953	0.0932343
í	0.0117618	0.315318	0.283974	0.0405954	0.00201053	0.34634
l	0.0121672	0.0945221	0.267488	0.0905281	0.00918145	0.526113
a	0.0411239	0.117825	0.295359	0.19112	0.0971781	0.257393
o	0.00600885	0.0466957	0.343007	0.0690948	0.468918	0.0662756
t	0.000242911	0.0136977	0.853152	0.0433459	0.0538967	0.0356643
é	0.000118937	0.00690951	0.948278	0.0147764	0.00266815	0.0272492
m	0.000104168	0.0452579	0.873675	0.056361	0.0013209	0.0232813
a	0.00397951	0.0278766	0.187545	0.452221	0.0700567	0.258321
m	0.0134443	0.0524521	0.0609543	0.400796	0.0571767	0.415177
á	0.00785811	0.0105184	0.00711408	0.647126	0.117502	0.209882
n	0.012726	0.0058067	0.00928327	0.236312	0.588331	0.14754
y	0.000255478	6.49476e-05	0.000194007	0.00470402	0.965496	0.0292855
a	0.000266945	0.000224866	0.000433034	0.00226485	0.9906	0.00621069
m	0.000274396	0.00628186	0.0429325	0.0782413	0.339804	0.532466
a	0.00517312	0.00585534	0.0160903	0.248355	0.161741	0.562785
</S>	0.00095516	0.0177181	0.0196748	0.124496	0.0147978	0.822358
