 	cet	arbre	est	coupé	</S>
m	0.509309	0.47242	0.0108078	0.00683219	0.000631065
w	0.854864	0.0739458	0.0365119	0.00398668	0.0306918
e	0.613476	0.360289	0.00191354	0.0180627	0.00625851
r	0.31854	0.370195	0.00753159	0.0224539	0.28128
á	0.356681	0.325277	0.0360681	0.147716	0.134258
m	0.426596	0.294549	0.21419	0.0187572	0.0459079
ú	0.670282	0.173091	0.135829	0.00188134	0.0189166
u	0.23635	0.156168	0.548651	0.00708329	0.0517484
ó	0.135414	0.185796	0.354776	0.15729	0.166724
d	0.0186729	0.119512	0.347481	0.349066	0.165269
í	0.0375214	0.0659355	0.308455	0.246558	0.341529
o	0.0218298	0.0338112	0.569104	0.150906	0.224349
l	0.00122134	0.00712364	0.021569	0.910806	0.0592796
ε	0.00389894	0.00604095	0.0488674	0.824058	0.117135
n	0.0046724	0.0153669	0.174507	0.315153	0.4903
g	0.0282981	0.0857677	0.254441	0.24313	0.388364
έ	0.0733083	0.138973	0.0387905	0.444344	0.304584
l	0.00663753	0.00534783	0.0268605	0.636218	0.324936
ε	0.00654237	0.0213585	0.0550202	0.342296	0.574782
n	0.010817	0.0116079	0.0843823	0.304724	0.588468
g	0.0364771	0.00743565	0.0161499	0.194623	0.745314
ε	0.024444	0.00989365	0.0324364	0.106102	0.827124
</S>	0.00258389	0.00180403	0.0088722	0.0736752	0.913065
