 	les	branches	de	ce	safoutier	pousse	dans	tous	les	sens	</S>
o	0.683906	0.242586	0.0369343	0.0143652	0.00096571	0.00809904	0.00317761	0.00448821	0.00409603	0.00107833	0.000303713
s	0.461818	0.288417	0.078687	0.0420951	0.0538542	0.00905014	0.0135374	0.0112938	0.0119774	0.0172139	0.0120564
á	0.180729	0.0234196	0.0147679	0.0330889	0.716138	0.00323883	0.0132047	0.00322442	0.000471315	0.00344176	0.00827513
á	0.0517171	0.0280333	0.0414892	0.0500024	0.44568	0.00788629	0.0421105	0.0106796	0.00661369	0.0189815	0.296806
b	0.227043	0.230618	0.272024	0.125487	0.0767039	0.0136239	0.0130181	0.00676956	0.00828478	0.000512058	0.025915
v	0.126425	0.270537	0.313047	0.13277	0.0044553	0.0705224	0.0133226	0.0199398	0.0138032	0.00752008	0.0276582
ú	0.227765	0.155327	0.336727	0.158434	0.00550908	0.0483308	0.014267	0.0184902	0.00943424	0.00967208	0.0160426
á	0.150934	0.0839765	0.321978	0.358193	0.0138127	0.0121376	0.0109079	0.0141295	0.00830571	0.0123325	0.0132921
b	0.0246924	0.0412258	0.207221	0.263129	0.272925	0.0532038	0.0745114	0.0159317	0.00897803	0.00175014	0.0364318
h	0.0329576	0.0666383	0.27911	0.162623	0.00758222	0.230507	0.0857288	0.0620873	0.0275094	0.012598	0.032659
i	0.0767558	0.0972945	0.295303	0.20911	0.0152785	0.0816257	0.0854258	0.0541996	0.0323455	0.0112068	0.0414551
á	0.0251733	0.0507159	0.168477	0.265647	0.148051	0.100387	0.122557	0.0483565	0.0196035	0.00727492	0.043757
a	0.00555677	0.00712885	0.053198	0.136501	0.194908	0.130625	0.313696	0.0762505	0.0426828	0.00852191	0.030931
d	0.00885052	0.0114521	0.030625	0.0400618	0.115442	0.203898	0.294608	0.107158	0.0172062	0.0332147	0.137484
z	0.00587913	0.0019893	0.0107604	0.0468921	0.31114	0.0427274	0.249337	0.0545646	0.0169192	0.00465673	0.255134
é	0.01904	0.00240484	0.0316531	0.204126	0.403386	0.0403239	0.0905362	0.0521244	0.0218007	0.00828678	0.126318
e	0.00157006	0.00219396	0.0264559	0.0462096	0.123228	0.0636931	0.281309	0.21819	0.0728454	0.0204477	0.143857
e	0.00103662	0.00192905	0.00734318	0.0100094	0.00367784	0.114852	0.234262	0.213922	0.0565444	0.168763	0.18766
f	0.00177049	0.00199034	0.00487225	0.00532997	0.00472403	0.0561851	0.12772	0.150613	0.0455273	0.377552	0.223715
ú	0.000921206	0.00159144	0.00501025	0.0088133	0.010901	0.0642082	0.143867	0.159168	0.0172534	0.475025	0.11324
l	0.000506415	6.97115e-05	0.00082141	0.00400765	0.00161912	0.0122451	0.0777622	0.293128	0.0276788	0.335398	0.246764
u	0.0021445	0.000377825	0.00388438	0.0131285	0.00160749	0.0163494	0.120627	0.253364	0.164079	0.275222	0.149216
</S>	0.000798286	0.000425019	0.00390795	0.00753594	0.000839131	0.015725	0.0817029	0.132328	0.351709	0.091901	0.313128
