 	voici	le	sentier	du	phacochère	</S>
t	0.884048	0.108782	0.00159417	0.00458935	0.000902557	8.37105e-05
a	0.732006	0.206193	0.0112163	0.0182607	0.0290814	0.00324264
á	0.263441	0.625018	0.0518095	0.0323829	0.00654799	0.0208009
k	0.223485	0.484778	0.0889103	0.0215666	0.00238383	0.178876
ó	0.0666682	0.493759	0.297263	0.0408087	0.00770764	0.0937935
ó	0.0479454	0.21867	0.553753	0.120823	0.00163807	0.057171
y	0.0615291	0.100847	0.322522	0.443237	0.00431784	0.0675475
e	0.0458056	0.144579	0.136285	0.241906	0.0254973	0.405926
e	0.18325	0.104864	0.045127	0.498312	0.0746697	0.0937764
b	0.00314574	0.024431	0.173731	0.386551	0.331897	0.0802442
h	0.0170501	0.0552568	0.214277	0.209017	0.474474	0.0299258
é	0.00141568	0.025752	0.683739	0.136743	0.101776	0.050574
m	0.00344896	0.0428564	0.100294	0.479687	0.136829	0.236884
b	0.000778973	0.000776426	0.00064857	0.0786469	0.858863	0.0602857
á	0.00118516	0.00215053	0.000901083	0.0628022	0.781689	0.151272
l	0.00576999	0.00356833	0.000753315	0.218066	0.357756	0.414086
e	0.0124443	0.0057457	0.00169947	0.117575	0.164209	0.698326
m	0.00804316	0.00432075	0.00407361	0.1253	0.359042	0.499221
b	0.000320622	0.00126089	0.00129572	0.0570159	0.904536	0.0355705
e	0.000112571	0.000510743	0.000270374	0.0171421	0.969746	0.0122186
m	0.000394317	0.00533371	0.00329255	0.0735147	0.680806	0.236659
b	0.00367085	0.00221896	0.000466791	0.0185578	0.908924	0.0661616
e	0.0146291	0.00272499	0.00135826	0.00786547	0.89513	0.0782918
</S>	0.0016973	0.00857995	0.00690609	0.0683201	0.0381337	0.876363
