 	inyanga	fille	de	mbossa	est	une	femme	élancée	</S>
i	0.917101	0.0347788	0.0233645	0.00827168	0.00951804	0.00639288	6.0825e-05	0.000422229	8.98842e-05
n	0.976047	0.0115107	0.00292436	0.00582998	0.000897212	0.000369907	6.78891e-05	0.000152256	0.00220026
y	0.647516	0.324167	0.0149942	0.00391107	0.00265569	0.00172859	0.00288932	0.000498895	0.00163935
á	0.805743	0.182964	0.00364049	0.000626257	0.000817812	0.00125609	0.000542275	0.000993756	0.00341697
n	0.841639	0.0887635	0.0227755	0.00348477	0.00650757	0.00963168	0.002069	0.00205235	0.0230765
g	0.573712	0.0469915	0.153173	0.0118193	0.0624858	0.0332776	0.00662011	0.00480172	0.107118
á	0.871401	0.112067	0.00754508	0.00109962	0.000994296	0.00130181	0.000763527	0.00197289	0.00285477
l	0.194187	0.188357	0.492165	0.0691957	0.0197038	0.0216594	0.00498506	0.0010199	0.0087275
á	0.268454	0.115947	0.268572	0.0175844	0.0423925	0.0213811	0.00663162	0.00980516	0.249232
m	0.039276	0.230667	0.494993	0.153815	0.0359922	0.0220773	0.0125777	0.00243631	0.00816557
b	0.000548808	0.110448	0.0508326	0.761342	0.00860195	0.00223025	0.0652321	7.57061e-05	0.000688203
ó	0.00480679	0.172657	0.0349906	0.758211	0.012652	0.00540666	0.00988896	0.000164521	0.00122183
s	0.00341893	0.0854201	0.0428077	0.845573	0.00959919	0.00342058	0.00771454	0.000265247	0.00178069
á	0.159991	0.260684	0.152087	0.229858	0.0708901	0.0300499	0.0207633	0.009217	0.0664584
a	0.0105734	0.0238762	0.254443	0.140557	0.304274	0.226598	0.0253305	0.00334219	0.0110054
d	0.013944	0.0163447	0.254104	0.0524131	0.316795	0.206779	0.0961575	0.00701308	0.0364488
i	0.000695189	0.00481727	0.0895316	0.0290544	0.207621	0.120223	0.0369281	0.0109706	0.500158
d	0.00214769	0.00686809	0.113353	0.072988	0.312601	0.298897	0.0704804	0.0221857	0.100479
z	0.00153506	0.0105767	0.283312	0.0930826	0.115386	0.165753	0.108963	0.0232512	0.198142
á	0.000387186	0.0095815	0.0448048	0.0560537	0.0690953	0.193135	0.589275	0.017825	0.0198426
n	0.000294152	0.00213843	0.0423717	0.0120315	0.203429	0.343562	0.123801	0.0717253	0.200647
g	0.00298474	0.00642923	0.0346616	0.00596883	0.0959718	0.443153	0.0934574	0.203088	0.114286
a	0.0108377	0.00731977	0.0251987	0.00398755	0.0592832	0.268064	0.158112	0.365491	0.101706
l	0.00161596	0.000405142	0.0272328	0.00155383	0.105677	0.324116	0.0312906	0.260035	0.248074
a	0.00331298	0.000583997	0.0185604	0.00178152	0.0593151	0.153054	0.0805258	0.250223	0.432643
l	0.000452258	0.000213774	0.00780308	0.00107385	0.0266814	0.084972	0.0635242	0.391706	0.423573
ó	0.00104853	0.000278161	0.0110799	0.0012415	0.0179281	0.0383834	0.0239654	0.453562	0.452513
y	0.000330594	0.000111123	0.00578394	0.0012192	0.00948086	0.025155	0.0145738	0.789098	0.154248
ú	0.00167754	0.00226585	0.018253	0.00460566	0.00603757	0.0348212	0.0710763	0.659886	0.201376
r	0.00129999	0.00296131	0.0142703	0.00163887	0.0105068	0.0423847	0.05521	0.0920466	0.779681
u	0.00210836	0.00338441	0.0103467	0.00413513	0.0283826	0.154903	0.0355298	0.544696	0.216515
</S>	0.000624534	0.000122801	0.00522839	0.000109314	0.0162103	0.0612667	0.00374182	0.104541	0.808156
